Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	EGFR	14	572	607	791	7.485578683046792e-93	-4.970535236503675	3.7652460775725365e-90
KRAS	TP53	257	329	894	504	1.2750501673319953e-16	-1.1831703222247647	3.206751170839968e-14
KRAS	ERBB2	3	583	82	1316	5.163032881357934e-10	-3.5979978033621824	8.656685131076804e-08
KRAS	RB1	18	568	102	1296	0.0001108796952222978	-1.3123974571492405	0.01394312167420395
KRAS	CTNNB1	11	575	67	1331	0.0009891529117718252	-1.395780861740321	0.09950878292424561
KRAS	BRAF	21	565	98	1300	0.0016275703508663406	-1.0202035707231811	0.1364446477476282
KRAS	SOS1	0	586	17	1381	0.0025284272086618163	-10.0	0.18168555513669907
KRAS	ARAF	3	583	27	1371	0.010251159555689004	-1.9362642188635828	0.6445416570639462
KRAS	INPP4A	2	584	20	1378	0.02242125003479392	-2.0833924810630884	1.0
KRAS	SMAD4	18	568	71	1327	0.029011524274170038	-0.7556165821968583	1.0
KRAS	MDM2	1	585	14	1384	0.037683105432140394	-2.565019508891646	1.0
KRAS	SESN1	0	586	9	1389	0.042498624119526214	-10.0	1.0
KRAS	NF1	38	548	121	1277	0.06058588090707522	-0.45042499708881195	1.0
KRAS	DICER1	10	576	42	1356	0.06326141853426322	-0.8351728661973664	1.0
KRAS	CSF3R	2	584	16	1382	0.06411843632611271	-1.757282658491759	1.0
KRAS	JAK1	2	584	16	1382	0.06411843632611271	-1.757282658491759	1.0
KRAS	MET	17	569	62	1336	0.06808518949576015	-0.6353140189690656	1.0
KRAS	MAP2K4	5	581	26	1372	0.06810803302400138	-1.1388412104854464	1.0
KRAS	GAB1	0	586	7	1391	0.08586705131724669	-10.0	1.0
KRAS	HIST1H3A	0	586	7	1391	0.08586705131724669	-10.0	1.0
KRAS	PIK3R3	0	586	7	1391	0.08586705131724669	-10.0	1.0
KRAS	SPEN	12	574	45	1353	0.09817532284928286	-0.6698513983076693	1.0
KRAS	RPS6KA4	3	583	17	1381	0.11417606248496372	-1.2583548094716286	1.0
KRAS	MYC	0	586	6	1392	0.1220151059666049	-10.0	1.0
KRAS	BCL2	0	586	6	1392	0.1220151059666049	-10.0	1.0
KRAS	HIST1H3I	0	586	6	1392	0.1220151059666049	-10.0	1.0
KRAS	SUZ12	2	584	13	1385	0.13394357145937946	-1.4545940160845587	1.0
KRAS	CASP8	2	584	13	1385	0.13394357145937946	-1.4545940160845587	1.0
KRAS	MAP2K1	5	581	22	1376	0.14558708867046494	-0.8936331224523657	1.0
KRAS	ERCC4	5	581	22	1376	0.14558708867046494	-0.8936331224523657	1.0
KRAS	SESN3	1	585	9	1389	0.15598608923668117	-1.9223869319316866	1.0
KRAS	CBFB	0	586	5	1393	0.17334378658141494	-10.0	1.0
KRAS	CD79A	0	586	5	1393	0.17334378658141494	-10.0	1.0
KRAS	RRAS	0	586	5	1393	0.17334378658141494	-10.0	1.0
KRAS	NUP93	3	583	15	1383	0.17398672503534554	-1.0756947269373645	1.0
KRAS	EP300	14	572	46	1352	0.17794916768788804	-0.47519893449561396	1.0
KRAS	DDR2	10	576	35	1363	0.17894553365372898	-0.5647100766947069	1.0
KRAS	PTCH1	8	578	29	1369	0.19003124381146394	-0.6139999463703513	1.0
KRAS	PTEN	12	574	40	1358	0.19052531512027746	-0.49460475659716224	1.0
KRAS	ZRSR2	1	585	8	1390	0.2037487993759155	-1.7514236468598972	1.0
KRAS	RIT1	1	585	8	1390	0.2037487993759155	-1.7514236468598972	1.0
KRAS	RHOA	1	585	8	1390	0.2037487993759155	-1.7514236468598972	1.0
KRAS	SRC	1	585	8	1390	0.2037487993759155	-1.7514236468598972	1.0
KRAS	RFWD2	5	581	20	1378	0.20583417577321456	-0.7540341807002374	1.0
KRAS	PIK3CB	4	582	17	1381	0.20998084932791408	-0.8408405799005724	1.0
KRAS	TOP1	2	584	11	1387	0.211890503581331	-1.2115041051937117	1.0
KRAS	TRAF2	2	584	11	1387	0.211890503581331	-1.2115041051937117	1.0
KRAS	BIRC3	3	583	14	1384	0.212554410679302	-0.9751162669002198	1.0
KRAS	CDK12	7	579	25	1373	0.22650070453309898	-0.5908048955592565	1.0
KRAS	FOXL2	5	581	19	1379	0.2424224684822975	-0.6789870304467717	1.0
KRAS	HLA-C	0	586	4	1394	0.24621283890330098	-10.0	1.0
KRAS	CRKL	0	586	4	1394	0.24621283890330098	-10.0	1.0
KRAS	MAP3K13	4	582	16	1382	0.2503270041344244	-0.7523334425200253	1.0
KRAS	MUTYH	3	583	13	1385	0.25766279578285994	-0.8671590296838817	1.0
KRAS	SMARCB1	3	583	13	1385	0.25766279578285994	-0.8671590296838817	1.0
KRAS	AKT2	2	584	10	1388	0.2633113399763099	-1.0729608011891187	1.0
KRAS	EZH2	2	584	10	1388	0.2633113399763099	-1.0729608011891187	1.0
KRAS	LZTR1	2	584	10	1388	0.2633113399763099	-1.0729608011891187	1.0
KRAS	PRKAR1A	1	585	7	1391	0.26402923872409856	-1.5577410319861318	1.0
KRAS	ALB	1	585	7	1391	0.26402923872409856	-1.5577410319861318	1.0
KRAS	CCND1	1	585	7	1391	0.26402923872409856	-1.5577410319861318	1.0
KRAS	TAP2	1	585	7	1391	0.26402923872409856	-1.5577410319861318	1.0
KRAS	RECQL	1	585	7	1391	0.26402923872409856	-1.5577410319861318	1.0
KRAS	SDHA	6	580	21	1377	0.2718236294292817	-0.5599511679375745	1.0
KRAS	NRAS	5	581	18	1380	0.2835622034003604	-0.5999387082939476	1.0
KRAS	MLH1	4	582	15	1383	0.29616350336218195	-0.6581804973663083	1.0
KRAS	FGFR1	4	582	15	1383	0.29616350336218195	-0.6581804973663083	1.0
KRAS	ARID1B	12	574	36	1362	0.30103044751683217	-0.3383584393847727	1.0
KRAS	SOX2	2	584	9	1389	0.32414760669751125	-0.9199186763409369	1.0
KRAS	CDK6	2	584	9	1389	0.32414760669751125	-0.9199186763409369	1.0
KRAS	RAD21	5	581	17	1381	0.3292805034078467	-0.516431495509455	1.0
KRAS	MEN1	5	581	17	1381	0.3292805034078467	-0.516431495509455	1.0
KRAS	RNF43	5	581	17	1381	0.3292805034078467	-0.516431495509455	1.0
KRAS	MAPK3	1	585	6	1392	0.33890343386275384	-1.3343118193431949	1.0
KRAS	ZNRF3	1	585	6	1392	0.33890343386275384	-1.3343118193431949	1.0
KRAS	STK19	1	585	6	1392	0.33890343386275384	-1.3343118193431949	1.0
KRAS	HIST1H3H	1	585	6	1392	0.33890343386275384	-1.3343118193431949	1.0
KRAS	HIST1H3F	1	585	6	1392	0.33890343386275384	-1.3343118193431949	1.0
KRAS	RUNX1	4	582	14	1384	0.34754131043314923	-0.5576020373291632	1.0
KRAS	USP8	0	586	3	1395	0.3496398809085587	-10.0	1.0
KRAS	ETAA1	0	586	3	1395	0.3496398809085587	-10.0	1.0
KRAS	RAB35	0	586	3	1395	0.3496398809085587	-10.0	1.0
KRAS	MSI2	0	586	3	1395	0.3496398809085587	-10.0	1.0
KRAS	MYCL1	0	586	3	1395	0.3496398809085587	-10.0	1.0
KRAS	ID3	0	586	3	1395	0.3496398809085587	-10.0	1.0
KRAS	PGBD5	0	586	3	1395	0.3496398809085587	-10.0	1.0
KRAS	RASA1	11	575	32	1366	0.3496663395005188	-0.2922447589043499	1.0
KRAS	SYK	3	583	11	1387	0.3688053643814324	-0.6240691187930348	1.0
KRAS	JUN	3	583	11	1387	0.3688053643814324	-0.6240691187930348	1.0
KRAS	MYOD1	7	579	21	1377	0.384062556828536	-0.33506919457542855	1.0
KRAS	AKT1	2	584	8	1390	0.3947996399328528	-0.7489553912691476	1.0
KRAS	VTCN1	2	584	8	1390	0.3947996399328528	-0.7489553912691476	1.0
