Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	37	1.0	0.7483	1.0	0.0946
KEAP1	14	0.3784	0.0376	0.6167	0.3187
PREX2	13	0.3514	0.0368	0.6066	0.2821
GLI1	11	0.2973	0.0209	0.5873	0.3636
STK11	8	0.2162	0.007	0.5606	0.5
POLE	8	0.2162	0.0129	0.5606	0.3214
SOX17	7	0.1892	0.0044	0.5522	0.619
PDCD1	7	0.1892	0.0067	0.5522	0.4762
FLT1	7	0.1892	0.0061	0.5522	0.5238
INHBA	7	0.1892	0.0062	0.5522	0.4762
AMER1	6	0.1622	0.0054	0.5441	0.3333
FBXW7	5	0.1351	0.0041	0.5362	0.4
ATM	4	0.1081	0.0014	0.5286	0.5
CHEK2	4	0.1081	0.0003	0.5286	0.8333
STAG2	4	0.1081	0.0007	0.5286	0.6667
IDH1	4	0.1081	0.0005	0.5286	0.8333
AXIN2	4	0.1081	0.0015	0.5286	0.6667
PRDM14	4	0.1081	0.0019	0.5286	0.5
GATA3	3	0.0811	0.0	0.5211	1.0
NUF2	3	0.0811	0.0003	0.5211	0.6667
JAK2	3	0.0811	0.0	0.5211	1.0
FOXP1	3	0.0811	0.0	0.5211	1.0
SLX4	3	0.0811	0.0005	0.5211	0.6667
NEGR1	3	0.0811	0.0008	0.5211	0.6667
NFE2L2	3	0.0811	0.0008	0.5211	0.6667
ETV1	3	0.0811	0.0003	0.5211	0.6667
ERCC5	3	0.0811	0.0	0.5211	1.0
DNMT3B	2	0.0541	0.0	0.5139	1.0
REL	2	0.0541	0.0	0.5139	1.0
JAK3	2	0.0541	0.0	0.5139	1.0
PALB2	2	0.0541	0.0	0.5139	1.0
TGFBR2	2	0.0541	0.0	0.5139	1.0
MRE11A	2	0.0541	0.0	0.5139	1.0
HIST1H3E	2	0.0541	0.0	0.5139	1.0
CCNE1	2	0.0541	0.0	0.5139	1.0
MAX	1	0.027	0.0	0.5068	0.0
ERG	1	0.027	0.0	0.5068	0.0
NKX2-1	1	0.027	0.0	0.5068	0.0
