Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	ZFHX3	0.4186	0.3897	0.5513
0	PDGFRA	0.2791	0.218	0.5059
0	FAT1	0.2326	0.2054	0.4343
0	AMER1	0.2093	0.1299	0.4135
0	IL7R	0.186	0.1079	0.4943
0	BCOR	0.1628	0.0988	0.4674
0	PIK3C3	0.1628	0.0741	0.4778
0	SPEN	0.1628	0.1137	0.3874
0	KDM5A	0.1395	0.0597	0.4479
0	AKT3	0.1163	0.0203	0.3981
0	ARID2	0.1163	0.0808	0.4257
0	DOT1L	0.1163	0.0384	0.4216
0	SETD2	0.1163	0.0523	0.4257
0	BTK	0.093	0.1057	0.4526
0	KDM5C	0.093	0.0267	0.3909
0	PARK2	0.093	0.028	0.4216
0	KDM6A	0.0698	0.0	0.4057
0	MED12	0.0698	0.0586	0.3386
0	RICTOR	0.0698	0.0011	0.3308
0	BLM	0.0465	0.0072	0.3909
0	CD79A	0.0465	0.0	0.3007
0	ERCC5	0.0465	0.0	0.3707
0	ESR1	0.0465	0.0072	0.3874
0	MAP3K1	0.0465	0.0223	0.3739
0	MLH1	0.0465	0.0072	0.3909
0	NTRK2	0.0465	0.0037	0.3028
0	STAG2	0.0465	0.0134	0.3028
0	ABL1	0.0233	0.0	0.2945
0	AGO2	0.0233	0.0	0.305
0	ARAF	0.0233	0.0	0.3386
0	CDH1	0.0233	0.0	0.3007
0	EIF1AX	0.0233	0.0	0.3386
0	FBXW7	0.0233	0.0	0.3583
0	FGFR2	0.0233	0.0	0.281
0	GATA2	0.0233	0.0	0.3007
0	MRE11A	0.0233	0.0	0.305
0	MSH2	0.0233	0.0	0.2544
0	NBN	0.0233	0.0	0.305
0	NCOA3	0.0233	0.0	0.3209
0	NTRK1	0.0233	0.0	0.3116
0	PMS1	0.0233	0.0	0.3583
0	PPP2R1A	0.0233	0.0	0.305
0	PTEN	0.0233	0.0	0.3386
0	RUNX1	0.0233	0.0	0.2945
1	KEAP1	0.381	0.3561	0.5526
1	PTPRT	0.3333	0.3086	0.5455
1	SMARCA4	0.2857	0.2101	0.5455
1	EP300	0.1905	0.0958	0.4421
1	PGR	0.1905	0.1341	0.4773
1	EPHA5	0.1667	0.0701	0.4615
1	FGF3	0.1667	0.0684	0.4667
1	KRAS	0.1667	0.1274	0.3853
1	STK11	0.119	0.081	0.4719
1	APC	0.0952	0.0199	0.4158
1	FLT3	0.0952	0.0476	0.35
1	IKZF1	0.0952	0.021	0.375
1	MDC1	0.0952	0.0284	0.4615
1	PHOX2B	0.0952	0.004	0.3784
1	RET	0.0952	0.0432	0.4118
1	WT1	0.0952	0.0266	0.3818
1	GATA3	0.0714	0.0	0.3684
1	NF2	0.0714	0.0213	0.3784
1	BARD1	0.0476	0.0063	0.3333
1	CUL3	0.0476	0.007	0.3559
1	DNMT1	0.0476	0.0015	0.3415
1	HNF1A	0.0476	0.0066	0.3889
1	IGF1	0.0476	0.0	0.3621
1	IL10	0.0476	0.0168	0.3784
1	INHBA	0.0476	0.0	0.4
1	PAK7	0.0476	0.0039	0.375
1	POT1	0.0476	0.0064	0.3134
1	SOX17	0.0476	0.0218	0.3962
