Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Regulation of actin cytoskeleton	2/218	0.00035224713103801337	0.0295887590071931	0	0	183.15740740740745	1456.3170662409314	KRAS;ARHGAP35
GO_Biological_Process_2021	regulation of actin filament length (GO:0030832)	1/8	0.0011995541091196	0.0151995901189217	0	0	1427.857142857143	9603.48923469958	ARHGAP35
Reactome_2022	Sema4D Mediated Inhibition Of Cell Attachment And Migration R-HSA-416550	1/8	0.0011995541091196	0.0191776359399168	0	0	1427.857142857143	9603.48923469958	ARHGAP35
GO_Biological_Process_2021	regulation of actin filament organization (GO:0110053)	1/9	0.0013494318923464	0.0151995901189217	0	0	1249.3125	8255.5464452602	ARHGAP35
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	2/437	0.0014083085410726	0.0151995901189217	0	0	89.94022988505748	590.4905193119963	NF2;ARHGAP35
GO_Biological_Process_2021	neuron projection fasciculation (GO:0106030)	1/10	0.0014992947695318	0.0151995901189217	0	0	1110.4444444444443	7220.954198683598	ARHGAP35
GO_Biological_Process_2021	negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532)	1/10	0.0014992947695318	0.0151995901189217	0	0	1110.4444444444443	7220.954198683598	NF2
GO_Biological_Process_2021	negative regulation of receptor signaling pathway via STAT (GO:1904893)	1/11	0.0016491427308511	0.0151995901189217	0	0	999.35	6403.334808352065	NF2
GO_Biological_Process_2021	axonal fasciculation (GO:0007413)	1/12	0.0017989757687595	0.0151995901189217	0	0	908.4545454545456	5741.921288120221	ARHGAP35
GO_Biological_Process_2021	central nervous system neuron axonogenesis (GO:0021955)	1/13	0.0019487938770013	0.0151995901189217	0	0	832.7083333333334	5196.553511599695	ARHGAP35
Reactome_2022	PTK6 Regulates RHO GTPases, RAS GTPase And MAP Kinases R-HSA-8849471	1/13	0.0019487938770013	0.0191776359399168	0	0	832.7083333333334	5196.553511599695	ARHGAP35
GO_Biological_Process_2021	central nervous system neuron development (GO:0021954)	1/15	0.002248385285759	0.0151995901189217	0	0	713.6785714285714	4351.685756891909	ARHGAP35
GO_Biological_Process_2021	epiboly involved in wound healing (GO:0090505)	1/16	0.0023981585785517	0.0151995901189217	0	0	666.0666666666667	4018.416230915481	ARHGAP35
GO_Biological_Process_2021	negative regulation of receptor signaling pathway via JAK-STAT (GO:0046426)	1/16	0.0023981585785517	0.0151995901189217	0	0	666.0666666666667	4018.416230915481	NF2
GO_Biological_Process_2021	negative regulation of Rho protein signal transduction (GO:0035024)	1/18	0.0026976603266888	0.0151995901189217	0	0	587.6470588235294	3476.150033460634	ARHGAP35
GO_Biological_Process_2021	positive regulation of cilium assembly (GO:0045724)	1/19	0.002847388777574	0.0151995901189217	0	0	554.9722222222222	3252.888056951129	ARHGAP35
GO_Biological_Process_2021	regulation of hippo signaling (GO:0035330)	1/20	0.0029971022769704	0.0151995901189217	0	0	525.7368421052631	3054.5885497256336	NF2
Reactome_2022	Signaling By Rho GTPases R-HSA-194315	2/644	0.0030393235317948	0.0191776359399168	0	0	60.29595015576324	349.4825813544942	NF2;ARHGAP35
Reactome_2022	RHO GTPases Activate PAKs R-HSA-5627123	1/21	0.0031468008242819	0.0191776359399168	0	0	499.425	2877.371689634861	NF2
Reactome_2022	Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	2/660	0.0031906030685274	0.0191776359399168	0	0	58.78115501519757	337.8473530206426	NF2;ARHGAP35
GO_Biological_Process_2021	wound healing, spreading of cells (GO:0044319)	1/24	0.0035958067387344	0.0159563924031339	0	0	434.2173913043478	2443.7697931466887	ARHGAP35
GO_Biological_Process_2021	mammary gland development (GO:0030879)	1/24	0.0035958067387344	0.0159563924031339	0	0	434.2173913043478	2443.7697931466887	ARHGAP35
Reactome_2022	Sema4D In Semaphorin Signaling R-HSA-400685	1/24	0.0035958067387344	0.0191776359399168	0	0	434.2173913043478	2443.7697931466887	ARHGAP35
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	2/764	0.0042610808307712	0.0170133669585173	0	0	50.485564304461946	275.56194457265855	KRAS;NF2
GO_Biological_Process_2021	regulation of actin polymerization or depolymerization (GO:0008064)	1/29	0.0043438507968609	0.0170133669585173	0	0	356.5892857142857	1939.4870011141588	ARHGAP35
GO_Biological_Process_2021	negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)	1/31	0.0046429637132384	0.0170133669585173	0	0	332.78333333333336	1787.845973802925	NF2
GO_Biological_Process_2021	negative regulation of cell-matrix adhesion (GO:0001953)	1/32	0.0047924977347936	0.0170133669585173	0	0	322.03225806451616	1719.8788256956173	NF2
GO_Biological_Process_2021	negative regulation of Ras protein signal transduction (GO:0046580)	1/35	0.0052410100460964	0.017719605393945	0	0	293.5735294117647	1541.6253665904292	ARHGAP35
KEGG_2021_Human	Thyroid cancer	1/37	0.0055399434616103	0.0338413005436976	0	0	277.2361111111111	1440.4553417617176	KRAS
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	1/37	0.0055399434616103	0.0338413005436976	0	0	277.2361111111111	1440.4553417617176	KRAS
GO_Biological_Process_2021	negative regulation of cell-substrate adhesion (GO:0010812)	1/40	0.0059882314019791	0.0181034312898605	0	0	255.8717948717949	1309.541398623503	NF2
GO_Biological_Process_2021	negative regulation of cell-cell adhesion (GO:0022408)	1/41	0.0061376308005125	0.0181034312898605	0	0	249.4625	1270.5914609940403	NF2
KEGG_2021_Human	Bladder cancer	1/41	0.0061376308005125	0.0338413005436976	0	0	249.4625	1270.5914609940403	KRAS
Reactome_2022	RND1 GTPase Cycle R-HSA-9696273	1/42	0.0062870152415198	0.0196611961565433	0	0	243.3658536585366	1233.6869399593022	ARHGAP35
Reactome_2022	RND3 GTPase Cycle R-HSA-9696264	1/42	0.0062870152415198	0.0196611961565433	0	0	243.3658536585366	1233.6869399593022	ARHGAP35
GO_Biological_Process_2021	regulation of cell-cell adhesion (GO:0022407)	1/43	0.0064363847273157	0.0181034312898605	0	0	237.5595238095238	1198.6750596729298	NF2
Reactome_2022	RND2 GTPase Cycle R-HSA-9696270	1/43	0.0064363847273157	0.0196611961565433	0	0	237.5595238095238	1198.6750596729298	ARHGAP35
GO_Biological_Process_2021	positive regulation of stress fiber assembly (GO:0051496)	1/44	0.0065857392567594	0.0181034312898605	0	0	232.02325581395348	1165.417705666189	NF2
GO_Biological_Process_2021	regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	1/45	0.006735078830116	0.0181034312898605	0	0	226.7386363636364	1133.7897191126328	NF2
GO_Biological_Process_2021	positive regulation of organelle assembly (GO:1902117)	1/46	0.0068844034482568	0.0181034312898605	0	0	221.6888888888889	1103.6774229731402	ARHGAP35
GO_Biological_Process_2021	positive regulation of actin filament bundle assembly (GO:0032233)	1/51	0.0076308022208955	0.0186823088856408	0	0	199.47	972.5284117534744	NF2
GO_Biological_Process_2021	regulation of axonogenesis (GO:0050770)	1/51	0.0076308022208955	0.0186823088856408	0	0	199.47	972.5284117534744	ARHGAP35
Reactome_2022	RHOD GTPase Cycle R-HSA-9013405	1/52	0.0077800371147531	0.0196611961565433	0	0	195.54901960784315	949.624009021504	ARHGAP35
Reactome_2022	Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927	1/52	0.0077800371147531	0.0196611961565433	0	0	195.54901960784315	949.624009021504	ARHGAP35
Reactome_2022	RHOJ GTPase Cycle R-HSA-9013409	1/54	0.0080784620472779	0.0196611961565433	0	0	188.1509433962264	906.615436737158	ARHGAP35
KEGG_2021_Human	Endometrial cancer	1/58	0.0086751325027492	0.0338413005436976	0	0	174.91228070175438	830.360139497581	KRAS
KEGG_2021_Human	VEGF signaling pathway	1/59	0.0088242627423081	0.0338413005436976	0	0	171.88793103448276	813.0729238663458	KRAS
