Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	7/140	7.583588882922514e-11	4.7624938184753395e-08	0	0	74.60902255639098	1738.572977971691	PTPRT;PTPRD;PDGFRA;EPHA7;ERBB4;EPHB1;EPHA3
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	5/94	3.948407879058492e-08	1.2398000740243664e-05	0	0	69.83848314606742	1190.5623447439766	PDGFRA;EPHA7;ERBB4;EPHB1;EPHA3
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	5/114	1.0419708879570381e-07	1.862806958805768e-05	0	0	56.966743119266056	915.8532835972002	PDGFRA;EPHA7;ERBB4;EPHB1;EPHA3
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	7/404	1.186501247646986e-07	1.862806958805768e-05	0	0	24.662468513853906	393.29452615508126	PTPRT;PDGFRA;EPHA7;ERBB4;HGF;EPHB1;EPHA3
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	6/253	1.78703387473474e-07	2.2445145466668336e-05	0	0	31.954655870445343	496.49669452341226	PDGFRA;EPHA7;ERBB4;HGF;EPHB1;EPHA3
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	5/148	3.834690387542601e-07	4.013642605627922e-05	0	0	43.3479020979021	640.4222069821344	PDGFRA;EPHA7;ERBB4;EPHB1;EPHA3
Reactome_2022	TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204	3/20	1.1242376339211231e-06	0.00030129568589086107	0	0	195.7058823529412	2680.8585177409204	CREBBP;ATM;TP53
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	6/408	2.9077703439952824e-06	0.0002608685394327196	0	0	19.47960199004975	248.3283811582345	PTPRT;PDGFRA;ERBB4;HGF;NF1;ATM
GO_Biological_Process_2021	beta-catenin-TCF complex assembly (GO:1904837)	3/29	3.581695944793631e-06	0.0002811631316663	0	0	127.90384615384616	1603.8725522942525	KMT2D;CREBBP;SMARCA4
GO_Biological_Process_2021	regulation of cell adhesion (GO:0030155)	4/133	1.024561626786193e-05	0.0007149163351352545	0	0	36.20611035111719	415.95971437694106	EPHA7;ZFHX3;ATM;PIK3CG
KEGG_2021_Human	MAPK signaling pathway	5/294	1.1129226541564545e-05	0.0008798641603554503	0	0	21.291089965397923	242.8448071354925	PDGFRA;ERBB4;HGF;NF1;TP53
Reactome_2022	TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008	3/44	1.2851296895554653e-05	0.0014726702021534	0	0	81.04878048780488	912.7767009700026	CREBBP;ATM;TP53
GO_Biological_Process_2021	regulation of fibroblast proliferation (GO:0048145)	3/46	1.4710035469162465e-05	0.0008498346035802301	0	0	77.27131782945736	859.7964553617928	PDGFRA;NF1;TP53
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	8/1183	1.4885637960800207e-05	0.0008498346035802301	0	0	9.84824877250409	109.46440490256268	KMT2D;CREBBP;ZFHX3;ERBB4;HGF;ATM;TP53;SMARCA4
Reactome_2022	EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665	3/49	1.7817512304561558e-05	0.0014726702021534	0	0	72.22101449275362	789.7605359188174	EPHA7;EPHB1;EPHA3
GO_Biological_Process_2021	regulation of cell differentiation (GO:0045595)	4/156	1.9220333631323413e-05	0.0009759877939055024	0	0	30.691950464396285	333.3005188695845	CREBBP;ZFHX3;NF1;EPHA3
GO_Biological_Process_2021	protein autophosphorylation (GO:0046777)	4/159	2.0714911885333664e-05	0.0009759877939055024	0	0	30.09335863377609	324.5465429018899	PDGFRA;ERBB4;ATM;EPHB1
GO_Biological_Process_2021	positive regulation of protein kinase B signaling (GO:0051897)	4/161	2.17576896730526e-05	0.0009759877939055024	0	0	29.70700636942675	318.92085362984244	PDGFRA;ERBB4;HGF;PIK3CG
Reactome_2022	RUNX3 Regulates CDKN1A Transcription R-HSA-8941855	2/7	2.198015227094698e-05	0.0014726702021534	0	0	420.5052631578947	4510.074820809474	ZFHX3;TP53
KEGG_2021_Human	Hepatocellular carcinoma	4/168	2.5713348184880937e-05	0.0008798641603554503	0	0	28.428981348637016	300.4516983743296	HGF;KEAP1;TP53;SMARCA4
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	7/908	2.5802737481577137e-05	0.0010472377612871	0	0	10.587125416204218	111.85329729429476	KMT2D;CREBBP;ZFHX3;HGF;ATM;TP53;SMARCA4
GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	3/56	2.6681216848080254e-05	0.0010472377612871	0	0	62.66037735849056	659.9109428466196	PDGFRA;ERBB4;EPHA3
KEGG_2021_Human	PI3K-Akt signaling pathway	5/354	2.721229361924073e-05	0.0008798641603554503	0	0	17.577005730659025	184.76670207268413	PDGFRA;ERBB4;HGF;TP53;PIK3CG
Reactome_2022	Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722	3/60	3.284887289973361e-05	0.0017606995874257	0	0	58.251461988304094	601.3643924531315	KMT2D;CREBBP;SMARCA4
GO_Biological_Process_2021	cell chemotaxis (GO:0060326)	3/69	4.999021441682048e-05	0.0017441030363201	0	0	50.285353535353536	498.010215205614	PDGFRA;HGF;EPHB1
GO_Biological_Process_2021	peptidyl-tyrosine phosphorylation (GO:0018108)	3/69	4.999021441682048e-05	0.0017441030363201	0	0	50.285353535353536	498.010215205614	PDGFRA;ERBB4;EPHA3
GO_Biological_Process_2021	phosphatidylinositol-mediated signaling (GO:0048015)	3/71	5.445924868517141e-05	0.0018000214828572	0	0	48.8014705882353	479.1356622071685	PDGFRA;NF1;PIK3CG
KEGG_2021_Human	Melanoma	3/72	5.678871416682245e-05	0.0013771263185454	0	0	48.091787439613526	470.1536313027804	PDGFRA;HGF;TP53
GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	4/207	5.810524341304149e-05	0.0018245046431695	0	0	22.92205157925239	223.5646061553019	PDGFRA;ERBB4;HGF;PIK3CG
GO_Biological_Process_2021	replicative senescence (GO:0090399)	2/12	6.886279771921025e-05	0.0019815753711858	0	0	210.2	2014.429517969875	ATM;TP53
Reactome_2022	TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207	2/12	6.886279771921025e-05	0.003075871631458	0	0	210.2	2014.429517969875	ATM;TP53
GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	3/77	6.941824548740276e-05	0.0019815753711858	0	0	44.83108108108108	429.27377737948746	PDGFRA;HGF;PIK3CG
