Cluster_ID	Gene
0	ABL1
0	AGO2
0	AKT3
0	AMER1
0	ARAF
0	ARID2
0	BCOR
0	BLM
0	BTK
0	CD79A
0	CDH1
0	DOT1L
0	EIF1AX
0	ERCC5
0	ESR1
0	FAT1
0	FBXW7
0	FGFR2
0	GATA2
0	IL7R
0	KDM5A
0	KDM5C
0	KDM6A
0	MAP3K1
0	MED12
0	MLH1
0	MRE11A
0	MSH2
0	NBN
0	NCOA3
0	NTRK1
0	NTRK2
0	PARK2
0	PDGFRA
0	PIK3C3
0	PMS1
0	PPP2R1A
0	PTEN
0	RICTOR
0	RUNX1
0	SETD2
0	SPEN
0	STAG2
0	ZFHX3
1	APC
1	ARHGAP35
1	BARD1
1	BRAF
1	CUL3
1	DNMT1
1	EP300
1	EPCAM
1	EPHA5
1	ERBB3
1	ERCC2
1	FGF3
1	FLT3
1	GATA3
1	HNF1A
1	IGF1
1	IKZF1
1	IL10
1	INHBA
1	KEAP1
1	KNSTRN
1	KRAS
1	MDC1
1	NF2
1	NKX2-1
1	PAK7
1	PGR
1	PHOX2B
1	PMS2
1	POT1
1	PRDM1
1	PRKD1
1	PTPRS
1	PTPRT
1	REL
1	RET
1	SESN2
1	SMARCA4
1	SOX17
1	SOX9
1	STK11
1	UPF1
1	WT1
2	AR
2	ATRX
2	CBFB
2	CDKN2A
2	CTLA4
2	DAXX
2	DDR2
2	ERBB2
2	ERBB4
2	ERCC3
2	FLT1
2	HIST1H3B
2	INPP4A
2	JAK3
2	KMT2D
2	LYN
2	MTOR
2	NEGR1
2	NFE2L2
2	NOTCH1
2	NOTCH3
2	NOTCH4
2	NSD1
2	PBRM1
2	PIK3CA
2	PIK3CB
2	PRDM14
2	PRKCI
2	RASA1
2	RB1
2	RECQL4
2	RNF43
2	ROS1
2	SLX4
2	STAT3
2	STAT5A
2	TEK
2	TERT
2	TET1
2	TP53
2	TP53BP1
2	TP63
2	WHSC1
3	ATR
3	AXIN2
3	B2M
3	BRCA2
3	CARD11
3	CASP8
3	CTCF
3	CYSLTR2
3	DICER1
3	DNMT3B
3	DROSHA
3	EPHB1
3	FGFR4
3	FLT4
3	FOXL2
3	GATA1
3	HGF
3	INPP4B
3	IRF4
3	JAK2
3	KIT
3	KMT2A
3	KMT2B
3	KMT2C
3	MEN1
3	NF1
3	NOTCH2
3	NRAS
3	POLD1
3	POLE
3	PTCH1
3	RBM10
3	RPS6KA4
3	SMAD4
3	SMO
3	SOX2
3	SPRED1
3	STAT5B
3	TNFAIP3
3	TOP1
3	TSC2
3	VEGFA
4	ANKRD11
4	ARID1B
4	ARID5B
4	ASXL1
4	ATM
4	AXL
4	BRD4
4	BRIP1
4	CBL
4	CIC
4	CSF1R
4	ERCC4
4	ERF
4	ETV6
4	FANCA
4	FH
4	FOXA1
4	H3F3C
4	HIST1H3G
4	IRS1
4	IRS2
4	KDR
4	MLL2
4	MSH3
4	MSH6
4	NTRK3
4	PIK3C2G
4	PIK3CD
4	PIK3CG
4	PREX2
4	PTPRD
4	RECQL
4	SDHA
4	TBX3
4	TSC1
4	TSHR
4	YES1
5	ALK
5	ALOX12B
5	ARID1A
5	ASXL2
5	BRCA1
5	CD79B
5	CSF3R
5	CXCR4
5	DIS3
5	DNMT3A
5	EPHA3
5	EPHA7
5	GLI1
5	GRIN2A
5	HIST1H3D
5	INPPL1
5	LATS1
5	LATS2
5	MGA
5	MST1R
5	MYOD1
5	NCOR1
5	RFWD2
5	RPTOR
5	SF3B1
5	SHQ1
5	SMAD2
5	TCF3
5	TET2
5	TGFBR2
5	U2AF1
6	CREBBP
6	CYLD
6	FAM46C
6	IKBKE
6	PALB2
6	PTPN11
6	TGFBR1
7	CTNNB1
7	EGFR
