Metodo	Cluster_ID	Gene
Leiden	0	ARID2
Leiden	0	RICTOR
Leiden	0	MED12
Leiden	0	BCOR
Leiden	0	NTRK1
Leiden	0	PDGFRA
Leiden	0	SPEN
Leiden	0	AMER1
Leiden	0	KDM6A
Leiden	0	CD79A
Leiden	0	AGO2
Leiden	0	MRE11A
Leiden	0	KDM5C
Leiden	0	PPP2R1A
Leiden	0	FGFR2
Leiden	0	FAT1
Leiden	0	SETD2
Leiden	0	BTK
Leiden	0	NCOA3
Leiden	0	BLM
Leiden	0	ERCC5
Leiden	0	ABL1
Leiden	0	MAP3K1
Leiden	0	PTEN
Leiden	0	PMS1
Leiden	0	ZFHX3
Leiden	0	RUNX1
Leiden	0	EIF1AX
Leiden	0	STAG2
Leiden	0	ESR1
Leiden	0	MSH2
Leiden	0	ARAF
Leiden	0	PARK2
Leiden	0	IL7R
Leiden	0	MLH1
Leiden	0	NBN
Leiden	0	CDH1
Leiden	0	KDM5A
Leiden	0	NTRK2
Leiden	0	PIK3C3
Leiden	0	AKT3
Leiden	0	GATA2
Leiden	0	FBXW7
Leiden	0	DOT1L
Leiden	1	SOX9
Leiden	1	IGF1
Leiden	1	HNF1A
Leiden	1	PAK7
Leiden	1	EP300
Leiden	1	SMARCA4
Leiden	1	GATA3
Leiden	1	KEAP1
Leiden	1	RET
Leiden	1	PGR
Leiden	1	NF2
Leiden	1	PTPRT
Leiden	1	PHOX2B
Leiden	1	NKX2-1
Leiden	1	SOX17
Leiden	1	PRDM1
Leiden	1	WT1
Leiden	1	PTPRS
Leiden	1	KRAS
Leiden	1	CUL3
Leiden	1	EPCAM
Leiden	1	APC
Leiden	1	INHBA
Leiden	1	SESN2
Leiden	1	IKZF1
Leiden	1	MDC1
Leiden	1	ARHGAP35
Leiden	1	PRKD1
Leiden	1	DNMT1
Leiden	1	ERBB3
Leiden	1	EPHA5
Leiden	1	IL10
Leiden	1	REL
Leiden	1	PMS2
Leiden	1	FLT3
Leiden	1	BARD1
Leiden	1	UPF1
Leiden	1	BRAF
Leiden	1	POT1
Leiden	1	FGF3
Leiden	1	STK11
Leiden	1	ERCC2
Leiden	1	KNSTRN
Leiden	2	RB1
Leiden	2	TET1
Leiden	2	ERCC3
Leiden	2	MTOR
Leiden	2	NOTCH4
Leiden	2	CBFB
Leiden	2	DAXX
Leiden	2	CTLA4
Leiden	2	NSD1
Leiden	2	RECQL4
Leiden	2	AR
Leiden	2	INPP4A
Leiden	2	DDR2
Leiden	2	TP53
Leiden	2	CDKN2A
Leiden	2	TP53BP1
Leiden	2	ATRX
Leiden	2	PIK3CA
Leiden	2	FLT1
Leiden	2	LYN
Leiden	2	NOTCH1
Leiden	2	RNF43
Leiden	2	PBRM1
Leiden	2	TERT
Leiden	2	KMT2D
Leiden	2	RASA1
Leiden	2	PIK3CB
Leiden	2	NEGR1
Leiden	2	NFE2L2
Leiden	2	TEK
Leiden	2	WHSC1
Leiden	2	NOTCH3
Leiden	2	HIST1H3B
Leiden	2	SLX4
Leiden	2	ERBB2
Leiden	2	JAK3
Leiden	2	PRKCI
Leiden	2	PRDM14
Leiden	2	TP63
Leiden	2	STAT5A
Leiden	2	STAT3
Leiden	2	ERBB4
Leiden	2	ROS1
Leiden	3	HGF
Leiden	3	CASP8
Leiden	3	RBM10
Leiden	3	GATA1
Leiden	3	NF1
Leiden	3	CTCF
Leiden	3	IRF4
Leiden	3	FOXL2
Leiden	3	KMT2B
Leiden	3	JAK2
Leiden	3	FLT4
Leiden	3	AXIN2
Leiden	3	PTCH1
Leiden	3	MEN1
Leiden	3	EPHB1
Leiden	3	POLD1
Leiden	3	TSC2
Leiden	3	ATR
Leiden	3	SMO
Leiden	3	POLE
Leiden	3	CARD11
Leiden	3	STAT5B
Leiden	3	RPS6KA4
Leiden	3	KMT2C
Leiden	3	SMAD4
Leiden	3	SOX2
Leiden	3	KIT
Leiden	3	B2M
Leiden	3	FGFR4
Leiden	3	DNMT3B
Leiden	3	NRAS
Leiden	3	BRCA2
Leiden	3	VEGFA
Leiden	3	TOP1
Leiden	3	KMT2A
Leiden	3	SPRED1
Leiden	3	INPP4B
Leiden	3	CYSLTR2
Leiden	3	NOTCH2
Leiden	3	DROSHA
Leiden	3	DICER1
Leiden	3	TNFAIP3
Leiden	4	BRIP1
Leiden	4	FANCA
Leiden	4	RECQL
Leiden	4	PREX2
Leiden	4	SDHA
Leiden	4	CIC
Leiden	4	BRD4
Leiden	4	PIK3C2G
Leiden	4	NTRK3
Leiden	4	PIK3CG
Leiden	4	ERF
Leiden	4	ANKRD11
Leiden	4	ERCC4
Leiden	4	ARID1B
Leiden	4	HIST1H3G
Leiden	4	ASXL1
Leiden	4	MLL2
Leiden	4	PTPRD
Leiden	4	CSF1R
Leiden	4	AXL
Leiden	4	TSHR
Leiden	4	PIK3CD
Leiden	4	YES1
Leiden	4	ARID5B
Leiden	4	ETV6
Leiden	4	MSH3
Leiden	4	KDR
Leiden	4	CBL
Leiden	4	TBX3
Leiden	4	FH
Leiden	4	IRS1
Leiden	4	FOXA1
Leiden	4	IRS2
Leiden	4	H3F3C
Leiden	4	TSC1
Leiden	4	ATM
Leiden	4	MSH6
Leiden	5	LATS1
Leiden	5	RFWD2
Leiden	5	SHQ1
Leiden	5	EPHA7
Leiden	5	SF3B1
Leiden	5	TGFBR2
Leiden	5	MGA
Leiden	5	MST1R
Leiden	5	ARID1A
Leiden	5	HIST1H3D
Leiden	5	LATS2
Leiden	5	SMAD2
Leiden	5	CD79B
Leiden	5	CSF3R
Leiden	5	TET2
Leiden	5	RPTOR
Leiden	5	DNMT3A
Leiden	5	INPPL1
Leiden	5	ALK
Leiden	5	GLI1
Leiden	5	BRCA1
Leiden	5	CXCR4
Leiden	5	ALOX12B
Leiden	5	EPHA3
Leiden	5	TCF3
Leiden	5	U2AF1
Leiden	5	NCOR1
Leiden	5	GRIN2A
Leiden	5	DIS3
Leiden	5	ASXL2
Leiden	5	MYOD1
Leiden	6	FAM46C
Leiden	6	IKBKE
Leiden	6	PALB2
Leiden	6	CREBBP
Leiden	6	TGFBR1
Leiden	6	CYLD
Leiden	6	PTPN11
Leiden	7	EGFR
Leiden	7	CTNNB1
