Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Pathways in cancer	14/531	4.037285586596771e-12	5.81369124469935e-10	NTRK1;PDGFRA;NCOA3;ARAF;PTEN;MLH1;ESR1;RUNX1;MSH2;CDH1;AKT3;ABL1;IL7R;FGFR2
0	Reactome_Pathways_2024	Disease	23/2131	8.32575877746542e-12	4.337720323059484e-09	AMER1;NTRK2;PDGFRA;BLM;FBXW7;ARAF;PTEN;MLH1;ESR1;RUNX1;MED12;CD79A;MSH2;CDH1;PPP2R1A;AKT3;AGO2;ABL1;BTK;RICTOR;PIK3C3;NBN;FGFR2
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	12/451	1.639770698704841e-10	4.271602670126112e-08	AMER1;NTRK2;PDGFRA;PPP2R1A;FBXW7;AKT3;AGO2;ARAF;PTEN;RICTOR;ESR1;FGFR2
0	GO_Cellular_Component_2021	nucleus (GO:0005634)	29/4484	8.328997213430363e-10	4.914108355923914e-08	KDM5A;BLM;KDM5C;SETD2;DOT1L;PTEN;GATA2;MED12;PPP2R1A;ABL1;NBN;PMS1;KDM6A;SPEN;PDGFRA;ZFHX3;FBXW7;NCOA3;MLH1;ESR1;RUNX1;STAG2;MSH2;AGO2;BTK;FAT1;ERCC5;BCOR;FGFR2
0	Reactome_Pathways_2024	Gene Expression (Transcription)	18/1615	2.608260344689445e-09	4.003203024408665e-07	BLM;ZFHX3;NCOA3;PTEN;GATA2;MLH1;ESR1;RUNX1;MED12;MSH2;PPP2R1A;AKT3;AGO2;ABL1;RICTOR;NBN;ARID2;KDM6A
0	Reactome_Pathways_2024	Generic Transcription Pathway	16/1230	3.0734764102945606e-09	4.003203024408665e-07	BLM;ZFHX3;PTEN;GATA2;MLH1;ESR1;RUNX1;MED12;MSH2;PPP2R1A;AKT3;AGO2;ABL1;RICTOR;NBN;ARID2
0	Reactome_Pathways_2024	PI3K AKT Signaling in Cancer	7/110	4.066234166722688e-09	4.237016001725041e-07	NTRK2;PDGFRA;AKT3;PTEN;RICTOR;ESR1;FGFR2
0	GO_Biological_Process_2021	mismatch repair (GO:0006298)	5/29	4.652666989364417e-09	4.229274293332255e-06	SETD2;MSH2;ABL1;MLH1;PMS1
0	GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	30/5192	5.206771808906358e-09	1.5359976836273758e-07	AMER1;KDM5A;BLM;KDM5C;SETD2;DOT1L;PTEN;GATA2;MED12;PPP2R1A;ABL1;NBN;PMS1;KDM6A;SPEN;PDGFRA;ZFHX3;FBXW7;NCOA3;MLH1;ESR1;RUNX1;STAG2;MSH2;AGO2;BTK;FAT1;ERCC5;BCOR;FGFR2
0	Reactome_Pathways_2024	Negative Regulation of the PI3K AKT Network	7/118	6.650043176768057e-09	5.774454158493596e-07	NTRK2;PDGFRA;PPP2R1A;AKT3;PTEN;ESR1;FGFR2
0	Reactome_Pathways_2024	PIP3 Activates AKT Signaling	9/281	8.653084607429558e-09	6.440367257815428e-07	NTRK2;PDGFRA;PPP2R1A;AKT3;AGO2;PTEN;RICTOR;ESR1;FGFR2
