Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	ALK	2	0.022392492314082673	3.7641870629012306	0.08446179542429064
ABL1	AMER1	3	0.0010683295175401772	5.0078682433333395	0.038745588680675506
ABL1	ARID1B	3	0.000932176456206218	5.0852278368670305	0.03829801832744379
ABL1	CREBBP	2	0.015411342322090245	4.082462160191973	0.07597071836685183
ABL1	CYLD	2	0.006138532834358512	4.871186533926839	0.0570425454130091
ABL1	EPHB1	2	0.02837564461507577	3.5613940295827518	0.0948801092231266
ABL1	FGFR3	2	0.0009596034145649263	6.630974898477993	0.03829801832744379
ABL1	HGF	2	0.022392492314082673	3.7641870629012306	0.08446179542429064
ABL1	INPP4B	2	0.013851474359989627	4.173260714005568	0.07332958010260364
ABL1	INPPL1	2	0.0072221739695770065	4.73039294024272	0.05944450758620884
ABL1	KRAS	2	0.28597388005604885	1.332123861993251	0.346552139802125
ABL1	MED12	2	0.01704651425477503	3.99665655692563	0.07927412820140628
ABL1	NF1	2	0.06386664356012381	2.850104569516941	0.13607780639189943
ABL1	PDGFRA	2	0.02053821728829637	3.8379432418910273	0.08370299002634345
ABL1	PGR	2	0.01704651425477503	3.99665655692563	0.07927412820140628
ABL1	PIK3CG	2	0.05254484356417207	3.0245421842627915	0.1236762843268107
ABL1	PTPRT	2	0.04213533382712648	3.218953337369677	0.11008241721256329
ABL1	RUNX1	2	0.0009596034145649263	6.630974898477993	0.03829801832744379
ABL1	SLX4	2	0.006138532834358512	4.871186533926839	0.0570425454130091
ABL1	STAT5B	2	0.0009596034145649263	6.630974898477993	0.03829801832744379
ABL1	TP53	4	0.5607668682079952	0.6735705128776969	0.5921530735181442
ACVR1	DICER1	2	0.0018970898466192016	6.462706750670158	0.04229666193797739
ACVR1	EGFR	2	0.03320810853584578	4.0696735278068115	0.09873623865528931
ACVR1	FAT1	2	0.025889028505659644	4.2836396101629886	0.09072720474310549
ACVR1	KEAP1	2	0.07592051327795077	3.3257701611817567	0.14842887619106881
ACVR1	PIK3C2G	2	0.0034286000494152145	5.9641345474429945	0.0486908458096818
ACVR1	TP53	2	0.8042558530824224	-0.3353903546939248	0.813768228131416
AGO2	EP300	2	0.013862827195465676	4.352516414720785	0.07332958010260364
AGO2	EPHA7	2	0.013862827195465676	4.352516414720785	0.07332958010260364
AGO2	EPHB1	2	0.017646303676444187	4.149747119504682	0.08068512571915758
AGO2	FAT1	3	0.003186171175439244	4.9033675290448215	0.0486908458096818
AGO2	FLT3	2	0.006715746189143372	4.960829402719322	0.05944450758620884
AGO2	FLT4	2	0.011576640062296603	4.503616545645513	0.07034166948939362
AGO2	KEAP1	3	0.016561628112999046	3.930097986769844	0.07841269705819928
AGO2	KIT	2	0.007588315879810938	4.857980995127572	0.06004329770133133
AGO2	KMT2B	2	0.009483844066107895	4.670760373476385	0.06404166285855505
AGO2	MLH1	2	0.0008649211043165791	6.800899899920305	0.03799779953650097
AGO2	PIK3C2G	3	0.00014145390968705747	6.656012252080663	0.027961357604447398
AGO2	PTPRT	2	0.026441322730620713	3.807354922057604	0.09120425225531555
AGO2	SMARCA4	2	0.0528323225602343	3.2059042985478787	0.1236762843268107
AGO2	TP53	3	0.67983869578474	0.25404562260653923	0.7007741258204953
AGO2	UPF1	2	0.000578326667466201	7.219168520462161	0.032899591906213964
AKT1	DNMT3A	2	0.002607853094814991	6.193114628814202	0.0464383475530494
AKT1	TP53	2	0.8042558530824224	-0.3353903546939248	0.813768228131416
AKT2	FAT1	2	0.009199560443835032	10.0	0.06343237609065022
AKT2	TP53	2	0.5120051346383873	10.0	0.5475341752419441
AKT3	ALK	2	0.11897504087904998	2.0034309054002732	0.19215009196185867
AKT3	AMER1	3	0.018561720327260164	2.8142085930986664	0.08095845532602347
AKT3	AR	2	0.020824916728365884	3.635588573791124	0.08370299002634345
AKT3	ARID1A	2	0.3064977318782949	1.0071955014042038	0.36577628496727316
AKT3	ARID1B	2	0.11024344778758999	2.0772429989324603	0.1844600123422562
AKT3	ARID2	2	0.10171124049270364	2.154658244789002	0.1757920598970059
AKT3	ATM	2	0.20433295238637716	1.4576818366873374	0.2731752118440164
AKT3	ATRX	2	0.08530474330394089	2.321928094887362	0.15891901011679713
AKT3	AXL	2	0.020824916728365884	3.635588573791124	0.08370299002634345
AKT3	BARD1	2	0.025647919335964463	3.439623137557117	0.09006426722262535
AKT3	BCOR	2	0.036518062916168666	3.111031312388744	0.10255365796845563
AKT3	CD79A	3	5.594899985133372e-05	7.199672344836364	0.020490498416141395
AKT3	CSF1R	2	0.036518062916168666	3.111031312388744	0.10255365796845563
AKT3	CYSLTR2	2	0.006138532834358512	4.871186533926839	0.0570425454130091
AKT3	DIS3	2	0.012513774555752413	4.127633279725874	0.07050747546073712
AKT3	EPHB1	2	0.1462256995618853	1.8004685364723643	0.21939079037383638
AKT3	ERBB3	2	0.006138532834358512	4.871186533926839	0.0570425454130091
AKT3	ERBB4	3	0.05298210276720844	2.1438357725736514	0.1236762843268107
AKT3	ESR1	2	0.009072086954309692	4.452858964713811	0.06343237609065022
AKT3	FANCA	2	0.036518062916168666	3.111031312388744	0.10255365796845563
AKT3	FBXW7	2	0.06988043935298582	2.5092735691246095	0.14306991628138432
AKT3	FGF4	2	0.006138532834358512	4.871186533926839	0.0570425454130091
AKT3	FGFR4	2	0.016439248967688763	3.8612937291684077	0.07807075825540064
AKT3	HGF	2	0.11897504087904998	2.0034309054002732	0.19215009196185867
AKT3	IL7R	3	0.0027263775865618268	4.003335712563256	0.0466330408075108
AKT3	INPPL1	2	0.04252300247289025	2.9701843455644386	0.11008241721256329
AKT3	KDM5A	2	0.036518062916168666	3.111031312388744	0.10255365796845563
AKT3	KDM5C	2	0.08530474330394089	2.321928094887362	0.15891901011679713
AKT3	KDR	2	0.11897504087904998	2.0034309054002732	0.19215009196185867
AKT3	KEAP1	4	0.1287354351087605	1.3376524471803788	0.2018373448789585
AKT3	KMT2D	3	0.20264116926996198	1.1708621206963659	0.27190601721439295
AKT3	KRAS	3	0.48315927053352825	0.32296191438046457	0.5240678777598863
AKT3	MTOR	2	0.05557213059966728	2.722466024471091	0.12701618396238196
AKT3	NCOA3	2	0.009072086954309692	4.452858964713811	0.06343237609065022
AKT3	NOTCH3	3	0.028836248230541886	2.5374341306385704	0.09510283872131145
AKT3	NOTCH4	2	0.06257806207300924	2.6121839694561806	0.13458066130105545
AKT3	PDGFRA	4	0.0015973188056603606	3.557995453120887	0.03996974676059542
AKT3	PGR	4	0.0010893557780699242	3.7347096202258383	0.038745588680675506
AKT3	PIK3CG	2	0.2447730244139852	1.2630344058337937	0.31150115176692783
AKT3	POLD1	2	0.06988043935298582	2.5092735691246095	0.14306991628138432
AKT3	PTPRD	2	0.29618126373537784	1.0473057147783569	0.3561955858637169
AKT3	PTPRT	2	0.20433295238637716	1.4576818366873374	0.2731752118440164
AKT3	RB1	2	0.2652716620456903	1.1734828208555015	0.32938438699890094
AKT3	ROS1	2	0.1278917268002277	1.9328858041414632	0.2015322427380961
AKT3	RUNX1	2	0.006138532834358512	4.871186533926839	0.0570425454130091
AKT3	SETD2	3	0.007810232473185078	3.3491495636223867	0.06004329770133133
AKT3	SH2B3	2	0.0037382306933870704	5.459431618637297	0.0486908458096818
AKT3	SMARCA4	2	0.34765153008975386	0.8552649070189893	0.403820601928882
AKT3	SMO	2	0.025647919335964463	3.439623137557117	0.09006426722262535
AKT3	STK11	3	0.17467179131602226	1.2907433897018366	0.24800574261962213
AKT3	TP53	10	0.28937991119881523	1.0114047632722494	0.34950132436931597
AKT3	ZFHX3	2	0.1747856716394557	1.620151929183456	0.24800574261962213
ALB	AMER1	2	0.0024603475605605315	10.0	0.046000372108257866
ALB	EPHA3	2	0.0022464042944248335	10.0	0.04370404502758092
ALB	EPHA7	2	0.0024603475605605315	10.0	0.046000372108257866
ALB	MGA	2	0.0024603475605605315	10.0	0.046000372108257866
ALB	NOTCH2	2	0.0014878781690346298	10.0	0.03996974676059542
ALB	TP53	2	0.5120051346383873	10.0	0.5475341752419441
ALK	AMER1	4	0.0233277249773643	2.190645500296047	0.08657215506998873
ALK	APC	2	0.19147653295619285	1.504231228608299	0.2617770957806888
ALK	ARAF	2	0.04418030130060568	3.0204641025597154	0.11182869011329158
ALK	ARID1A	4	0.1532501556837834	1.1225304753714356	0.2266355033936426
ALK	ARID1B	2	0.30785995144859324	0.9687490660155602	0.3662786275021864
ALK	ATM	2	0.4939268389295541	0.3482504080676414	0.5337015791696292
ALK	ATRX	2	0.24925020137181908	1.2137066934702256	0.31522075030285307
ALK	AXIN2	3	0.018561720327260164	2.8142085930986664	0.08095845532602347
ALK	AXL	3	0.007840539837966972	3.4093909361377017	0.06004329770133133
ALK	BCOR	2	0.11897504087904998	2.0034309054002732	0.19215009196185867
ALK	BRCA1	2	0.0862682462486523	2.3321964303411895	0.15918380381224737
ALK	BRD4	2	0.03255590175386017	3.34577483684173	0.09782482833954315
ALK	CARD11	2	0.21053873006383264	1.4012316997538132	0.2787779951887329
ALK	CD79A	2	0.013862827195465676	4.352516414720785	0.07332958010260364
ALK	CDKN2A	3	0.4326969118246403	0.3997925433409069	0.4793542656619592
ALK	CHEK2	2	0.013862827195465676	4.352516414720785	0.07332958010260364
ALK	CREBBP	2	0.24925020137181908	1.2137066934702256	0.31522075030285307
ALK	CSF1R	3	0.018561720327260164	2.8142085930986664	0.08095845532602347
ALK	CSF3R	2	0.04418030130060568	3.0204641025597154	0.11182869011329158
ALK	CUL3	2	0.11897504087904998	2.0034309054002732	0.19215009196185867
ALK	CYLD	3	0.018561720327260164	2.8142085930986664	0.08095845532602347
ALK	DDR2	2	0.11897504087904998	2.0034309054002732	0.19215009196185867
ALK	DNMT3A	2	0.15430620003293435	1.7335265101994353	0.2276481539923433
ALK	EIF1AX	2	0.11897504087904998	2.0034309054002732	0.19215009196185867
ALK	EP300	2	0.3273309379753456	0.8948452539479255	0.38495701168010993
ALK	EPHA3	5	0.0031504217484184236	2.7580272096940357	0.04867127991477197
ALK	EPHA5	3	0.14957781429188718	1.3469568893788848	0.22370201099718703
ALK	EPHA7	4	0.0233277249773643	2.190645500296047	0.08657215506998873
ALK	ERBB4	6	0.004502557683717562	2.34478076594118	0.05230023160228645
ALK	ERCC3	2	0.03255590175386017	3.34577483684173	0.09782482833954315
ALK	ERCC4	2	0.057104969253027396	2.7540391075251476	0.12853779413208552
ALK	ESR1	2	0.03255590175386017	3.34577483684173	0.09782482833954315
ALK	FGFR4	2	0.057104969253027396	2.7540391075251476	0.12853779413208552
ALK	FLT3	2	0.19147653295619285	1.504231228608299	0.2617770957806888
ALK	GATA3	2	0.057104969253027396	2.7540391075251476	0.12853779413208552
ALK	GLI1	3	0.018561720327260164	2.8142085930986664	0.08095845532602347
ALK	GRIN2A	3	0.20145270108866645	1.1103155123041573	0.2704862016342543
