Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	TP53	54	42	271	87	0.000206257360090404	-1.2766354661204349	0.09632218716221866
KRAS	RB1	1	95	37	321	0.0009531372139272149	-3.4528794868375945	0.22255753945200465
KRAS	NFE2L2	0	96	26	332	0.0016998830541643554	-10.0	0.264615128764918
KRAS	EGFR	4	92	46	312	0.008423229225426992	-1.7617216932517774	0.9834120120686013
KRAS	RASA1	1	95	21	337	0.033891431178714945	-2.56556824992785	1.0
KRAS	KMT2C	3	93	32	326	0.03817067583611391	-1.6054681561557977	1.0
KRAS	CDKN2A	5	91	42	316	0.04055536237426698	-1.2744032199129913	1.0
KRAS	PTEN	2	94	26	332	0.0413880541807514	-1.8799891384718048	1.0
KRAS	RECQL4	0	96	13	345	0.04348288702423173	-10.0	1.0
KRAS	NF1	4	92	36	322	0.04702855860947677	-1.3625700793847082	1.0
KRAS	DDR2	0	96	12	346	0.05554750307719776	-10.0	1.0
KRAS	ERBB2	0	96	11	347	0.07091511199769053	-10.0	1.0
KRAS	KMT2D	8	88	52	306	0.07328403582883361	-0.9024834940857376	1.0
KRAS	TET2	1	95	16	342	0.09364989191048079	-2.15200309344505	1.0
KRAS	EP300	2	94	21	337	0.10137906397367875	-1.5503014932745391	1.0
KRAS	RPS6KA4	0	96	9	349	0.11536580565576267	-10.0	1.0
KRAS	NCOR1	0	96	9	349	0.11536580565576267	-10.0	1.0
KRAS	FH	0	96	9	349	0.11536580565576267	-10.0	1.0
KRAS	GATA1	0	96	8	350	0.14700899806420048	-10.0	1.0
KRAS	INPP4A	0	96	8	350	0.14700899806420048	-10.0	1.0
KRAS	NOTCH1	3	93	23	335	0.1614325302680278	-1.0897409810987533	1.0
KRAS	SOX2	0	96	7	351	0.18721658727834076	-10.0	1.0
KRAS	ETV6	0	96	7	351	0.18721658727834076	-10.0	1.0
KRAS	SPRED1	0	96	7	351	0.18721658727834076	-10.0	1.0
KRAS	YAP1	0	96	7	351	0.18721658727834076	-10.0	1.0
KRAS	WHSC1L1	0	96	7	351	0.18721658727834076	-10.0	1.0
KRAS	CTNNB1	0	96	7	351	0.18721658727834076	-10.0	1.0
KRAS	FAM46C	0	96	7	351	0.18721658727834076	-10.0	1.0
