Cluster_ID	Meta_Term	Best_P-value	Aggregated_Terms	All_Genes	N_Terms_Merged
0	Pathways in cancer	4.072952056614601e-16	Pathways in cancer	GSK3B;NFE2L2;PIK3R2;CDH1;NKX3-1;SMO;RAF1;STAT3;NTRK1;KIT;FGFR4;BIRC3;JAK1;JUN;MTOR;MET;ALK;CTNNB1;PIK3CB;MITF;ESR1	1
0	enzyme linked receptor protein signaling pathway (GO:0007167)	5.756463377467467e-15	enzyme linked receptor protein signaling pathway (GO:0007167) | protein tyrosine kinase activity (GO:0004713) | transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169) | PI3K-Akt signaling pathway | transmembrane receptor protein kinase activity (GO:0019199) | transmembrane receptor protein tyrosine kinase activity (GO:0004714) | protein autophosphorylation (GO:0046777) | regulation of protein kinase B signaling (GO:0051896) | regulation of kinase activity (GO:0043549) | positive regulation of intracellular signal transduction (GO:1902533) | Ras signaling pathway | positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068) | MAPK cascade (GO:0000165) | peptidyl-tyrosine modification (GO:0018212) | positive regulation of protein kinase B signaling (GO:0051897) | peptidyl-tyrosine phosphorylation (GO:0018108) | regulation of phosphatidylinositol 3-kinase signaling (GO:0014066) | positive regulation of transferase activity (GO:0051347) | positive regulation of kinase activity (GO:0033674) | Rap1 signaling pathway | protein phosphorylation (GO:0006468) | MAPK signaling pathway | positive regulation of phosphorylation (GO:0042327) | regulation of MAPK cascade (GO:0043408) | positive regulation of MAPK cascade (GO:0043410) | Calcium signaling pathway | integral component of plasma membrane (GO:0005887)	ATR;GSK3B;RASA1;PIK3R2;CDH1;NKX3-1;ATM;RAF1;STAT3;NTRK1;ERBB4;FYN;PIK3CG;KIT;FGFR4;PTPRD;IRS2;NF1;BIRC3;JAK1;JUN;FAT1;TEK;MTOR;KDR;FLT1;FLCN;MET;SHOC2;CARD11;ALK;TOP1;CTNNB1;BRCA1;PIK3CB;INSR;ESR1	27
0	positive regulation of transcription, DNA-templated (GO:0045893)	8.985699301640866e-15	positive regulation of transcription, DNA-templated (GO:0045893) | nucleus (GO:0005634) | positive regulation of transcription by RNA polymerase II (GO:0045944) | intracellular membrane-bounded organelle (GO:0043231) | regulation of transcription by RNA polymerase II (GO:0006357) | regulation of gene expression (GO:0010468) | negative regulation of transcription, DNA-templated (GO:0045892) | positive regulation of nucleic acid-templated transcription (GO:1903508) | regulation of transcription, DNA-templated (GO:0006355)	SETD2;ATR;GSK3B;NFE2L2;PIK3R2;CDH1;PARP1;NKX3-1;ATM;IKZF1;SMO;RECQL4;STAT3;ERBB4;TP53BP1;PPM1D;TCF3;FYN;DNMT3A;GATA1;TET2;INPPL1;KIT;FGFR4;WWTR1;AMER1;UPF1;NF1;POLE;BIRC3;JAK1;JUN;KMT2C;NSD1;MDM4;PGR;FAT1;PMS1;MTOR;ASXL2;ERF;KDR;FLCN;XPO1;MET;PRDM1;SHOC2;ERCC4;AGO2;TOP1;CTNNB1;BRCA1;PIK3CB;INSR;TBX3;MITF;ESR1	9
0	Breast cancer	8.811241880540884e-12	Breast cancer | Kaposi sarcoma-associated herpesvirus infection | Hepatocellular carcinoma | ErbB signaling pathway | Colorectal cancer | Prostate cancer | Endometrial cancer | Gastric cancer | Acute myeloid leukemia | Prolactin signaling pathway | Thyroid hormone signaling pathway | Human cytomegalovirus infection | Chemical carcinogenesis | Human papillomavirus infection | Neurotrophin signaling pathway | Alzheimer disease | Estrogen signaling pathway | Choline metabolism in cancer	ATR;GSK3B;NFE2L2;PIK3R2;CDH1;NKX3-1;ATM;RAF1;STAT3;ERBB4;NTRK1;PIK3CG;KIT;IRS2;PIK3C3;JAK1;PBRM1;JUN;PGR;MTOR;MET;CTNNB1;BRCA1;PIK3CB;INSR;ESR1	18
0	regulation of cell population proliferation (GO:0042127)	4.528164816681611e-11	regulation of cell population proliferation (GO:0042127) | negative regulation of cell population proliferation (GO:0008285) | positive regulation of cellular process (GO:0048522) | positive regulation of cell population proliferation (GO:0008284)	NKX3-1;ATM;RAF1;STAT3;NTRK1;PPM1D;ERBB4;KIT;FGFR4;IRS2;WWTR1;NF1;PBRM1;JUN;MDM4;KDR;FLT1;FLCN;ALK;CTNNB1;INSR;TBX3	4
0	Signaling pathways regulating pluripotency of stem cells	1.6220317082420752e-10	Signaling pathways regulating pluripotency of stem cells | Growth hormone synthesis, secretion and action | Pancreatic cancer | Hepatitis C | Measles | Hepatitis B | JAK-STAT signaling pathway | Chemokine signaling pathway | Regulation of actin cytoskeleton	JAK1;TCF3;JUN;PIK3CG;GSK3B;PIK3R2;FGFR4;IRS2;MTOR;CTNNB1;PIK3CB;RAF1;TBX3;STAT3	9
0	Focal adhesion	2.600097270696125e-10	Focal adhesion | T cell receptor signaling pathway | Renal cell carcinoma | Axon guidance | vascular endothelial growth factor receptor signaling pathway (GO:0048010) | Fluid shear stress and atherosclerosis	MET;JUN;FYN;GSK3B;CARD11;PIK3R2;RASA1;NFE2L2;KDR;CTNNB1;FLT1;PIK3CB;SMO;RAF1;FLCN;BIRC3	6
0	Proteoglycans in cancer	3.2086265446350643e-10	Proteoglycans in cancer | Non-small cell lung cancer	ERBB4;MET;PIK3R2;MTOR;KDR;ALK;CTNNB1;PIK3CB;SMO;RAF1;ESR1;STAT3	2
0	PD-L1 expression and PD-1 checkpoint pathway in cancer	1.6430963356232762e-09	PD-L1 expression and PD-1 checkpoint pathway in cancer | Osteoclast differentiation | Autophagy | Human immunodeficiency virus 1 infection | Cellular senescence | Lipid and atherosclerosis | Glioma | Influenza A | AGE-RAGE signaling pathway in diabetic complications | C-type lectin receptor signaling pathway | Th17 cell differentiation | Epstein-Barr virus infection | Viral carcinogenesis | Relaxin signaling pathway | Coronavirus disease | Neutrophil extracellular trap formation | cAMP signaling pathway	PIK3C3;JAK1;XPO1;JUN;FYN;ATR;GSK3B;NFE2L2;PIK3R2;IRS2;ALK;MTOR;ATM;PIK3CB;RAF1;MITF;STAT3	17
0	positive regulation of macromolecule metabolic process (GO:0010604)	2.0148714443871487e-09	positive regulation of macromolecule metabolic process (GO:0010604) | positive regulation of gene expression (GO:0010628)	ATM;PIK3CG;GSK3B;AGO2;NFE2L2;FGFR4;MTOR;NKX3-1;BRCA1;PIK3CB;SMO;INSR;MITF;STAT3	2
