Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
0	GO	GO: Biological regulation	11	5.822371020045391e-11	34	39.53	86	regulation of cell population proliferation (GO:0042127) | regulation of cell cycle (GO:0051726) | regulation of immune response (GO:0050776) | regulation of programmed cell death (GO:0043067) | regulation of cellular component organization (GO:0051128) | regulation of vesicle-mediated transport (GO:0060627) | regulation of signal transduction (GO:0009966) | regulation of cell adhesion (GO:0030155) | negative regulation of response to stimulus (GO:0048585) | regulation of cell adhesion molecule production (GO:0060353) | regulation of actin filament-based process (GO:0032970)	ABL1;AXIN2;BAP1;BARD1;CTCF;DAXX;DOT1L;EGFR;FGFR2;FLT4;FOXP1;GLI1;HLA-A;HLA-B;HLA-C;IL7R;JAK3;MAP2K1;MST1R;NOTCH1;NOTCH2;PDCD1;PTCH1;RHOA;RPTOR;SH2B3;SMAD3;SOX9;TCF7L2;TGFBR2;TP53;TSC2;VEGFA;ZFHX3
0	GO	GO: Animal organ development	9	5.310961514014025e-07	14	16.28	86	heart development (GO:0007507) | embryonic organ development (GO:0048568) | respiratory tube development (GO:0030323) | lung development (GO:0030324) | bone development (GO:0060348) | brain development (GO:0007420) | ureter development (GO:0072189) | kidney development (GO:0001822) | gland development (GO:0048732)	BCOR;FGFR2;KDM6A;KMT2A;NOTCH1;PTCH1;SH2B3;SOX17;SOX9;TGFBR2;TP53;TSC2;VEGFA;ZFHX3
0	GO	GO: Regulation of intracellular signal transduction	9	3.697267519373829e-06	22	25.58	86	positive regulation of intracellular signal transduction (GO:1902533) | regulation of MAPK cascade (GO:0043408) | regulation of protein kinase B signaling (GO:0051896) | regulation of nitric oxide mediated signal transduction (GO:0010749) | regulation of signal transduction by p53 class mediator (GO:1901796) | regulation of protein kinase C signaling (GO:0090036) | regulation of TOR signaling (GO:0032006) | regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035358) | regulation of NIK/NF-kappaB signaling (GO:1901222)	ARAF;ASXL1;BARD1;BRIP1;CHEK2;DAXX;EGFR;EPHB1;FGFR2;FLT4;MAP2K1;MST1R;PIK3R2;RHOA;RPTOR;SH2B3;SOX9;TCF7L2;TP53;TRAF7;TSC2;VEGFA
0	GO	GO: Regulation of cell population proliferation	8	1.1387089104517281e-07	21	24.42	86	positive regulation of cell population proliferation (GO:0008284) | regulation of mesenchymal cell proliferation (GO:0010464) | negative regulation of cell population proliferation (GO:0008285) | regulation of epithelial cell proliferation (GO:0050678) | regulation of cardiac muscle cell proliferation (GO:0060043) | regulation of osteoblast proliferation (GO:0033688) | regulation of smooth muscle cell proliferation (GO:0048660) | regulation of glial cell proliferation (GO:0060251)	AXIN2;BAP1;CTCF;DOT1L;EGFR;FGFR2;FLT4;FOXP1;GLI1;IL7R;MAP2K1;MST1R;NOTCH1;RHOA;SH2B3;SOX9;TCF7L2;TGFBR2;TP53;TSC2;VEGFA
0	GO	GO: Regulation of cell differentiation	8	0.0003229210320555	14	16.28	86	regulation of epithelial to mesenchymal transition (GO:0010717) | regulation of osteoblast differentiation (GO:0045667) | regulation of muscle cell differentiation (GO:0051147) | regulation of stem cell differentiation (GO:2000736) | regulation of hematopoietic progenitor cell differentiation (GO:1901532) | regulation of neuron differentiation (GO:0045664) | regulation of myoblast differentiation (GO:0045661) | regulation of fat cell differentiation (GO:0045598)	ABL1;ASXL1;AXIN2;FGFR2;KMT2A;NOTCH1;PTCH1;RHOA;SMAD2;SMAD3;SOX9;TCF3;TGFBR2;ZFHX3
0	GO	GO: Developmental process	7	6.974658678749827e-08	17	19.77	86	circulatory system development (GO:0072359) | central nervous system development (GO:0007417) | respiratory system development (GO:0060541) | renal system development (GO:0072001) | exocrine system development (GO:0035272) | skeletal system development (GO:0001501) | nervous system development (GO:0007399)	ANKRD11;BCOR;EPHB1;FGFR2;FLT4;KDM6A;MST1R;NOTCH1;NOTCH2;PTCH1;SMO;SOX17;SOX9;TGFBR2;TSC2;VEGFA;ZFHX3
0	GO	GO: Cell surface receptor signaling pathway	7	2.400355413733925e-06	26	30.23	86	enzyme linked receptor protein signaling pathway (GO:0007167) | cytokine-mediated signaling pathway (GO:0019221) | smoothened signaling pathway (GO:0007224) | Notch signaling pathway (GO:0007219) | cell surface receptor signaling pathway involved in heart development (GO:0061311) | Roundabout signaling pathway (GO:0035385) | extrinsic apoptotic signaling pathway (GO:0097191)	CSF3R;CTR9;DAXX;EGFR;EPHB1;FGFR2;FLT4;GLI1;HLA-A;HLA-B;HLA-C;IL7R;JAK3;MST1R;NOTCH1;NOTCH2;PTCH1;RHOA;RPS6KA4;SH2B3;SMAD3;SMO;TP53;TRAF7;VEGFA;YES1
0	GO	GO: Regulation of signal transduction	7	1.801018464903273e-05	25	29.07	86	regulation of intracellular signal transduction (GO:1902531) | regulation of receptor signaling pathway via STAT (GO:1904892) | regulation of smoothened signaling pathway (GO:0008589) | positive regulation of signal transduction (GO:0009967) | regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092) | regulation of Wnt signaling pathway (GO:0030111) | regulation of Notch signaling pathway (GO:0008593)	ARAF;ASXL1;BARD1;BRIP1;CHEK2;DAXX;DOT1L;EGFR;FGFR2;GLI1;IL7R;JAK3;LATS2;NOTCH1;PIK3R2;PTCH1;RHOA;RNF43;SMAD2;SMAD3;SMO;TP53;TRAF7;TSC2;VEGFA
0	GO	GO: Cell surface receptor protein tyrosine kinase signaling pathway	7	0.0001986714682015	11	12.79	86	vascular endothelial growth factor receptor signaling pathway (GO:0048010) | vascular endothelial growth factor signaling pathway (GO:0038084) | ephrin receptor signaling pathway (GO:0048013) | ERBB signaling pathway (GO:0038127) | insulin receptor signaling pathway (GO:0008286) | hepatocyte growth factor receptor signaling pathway (GO:0048012) | insulin-like growth factor receptor signaling pathway (GO:0048009)	EGFR;EPHB1;FLT4;MST1R;PIK3R2;PIK3R3;RHOA;SOX9;TSC2;VEGFA;YES1
0	GO	GO: Regulation of multicellular organismal process	6	0.0007153842389857	15	17.44	86	positive regulation of multicellular organismal process (GO:0051240) | negative regulation of multicellular organismal process (GO:0051241) | regulation of ossification (GO:0030278) | regulation of morphogenesis of a branching structure (GO:0060688) | regulation of cytokine production (GO:0001817) | regulation of organ growth (GO:0046620)	AXIN2;EGFR;FGFR2;FOXP1;HLA-B;LATS2;NOTCH1;PTCH1;RPS6KA4;SMAD2;SMAD3;SMO;SOX9;TGFBR2;VEGFA
