Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
0	GO	GO: Developmental process	12	0.000999685933713	12	20.34	59	sympathetic nervous system development (GO:0048485) | pharyngeal system development (GO:0060037) | autonomic nervous system development (GO:0048483) | nervous system development (GO:0007399) | circulatory system development (GO:0072359) | skeletal system development (GO:0001501) | renal system development (GO:0072001) | enteric nervous system development (GO:0048484) | urogenital system development (GO:0001655) | ovarian follicle development (GO:0001541) | central nervous system development (GO:0007417) | vasculature development (GO:0001944)	EP300;GATA3;GRIN2A;IGF2;INHBA;MET;PDGFRA;PHOX2B;SMO;SOX9;TEK;TGFBR1
0	GO	GO: Cell differentiation	8	8.328220403776717e-11	14	23.73	59	neuron differentiation (GO:0030182) | myeloid cell differentiation (GO:0030099) | glial cell differentiation (GO:0010001) | chondrocyte differentiation (GO:0002062) | hematopoietic progenitor cell differentiation (GO:0002244) | mesenchymal cell differentiation (GO:0048762) | foam cell differentiation (GO:0090077) | cell differentiation in hindbrain (GO:0021533)	ALK;EP300;EPHA5;ERCC2;FLT3;FOXA1;INHBA;JAK3;MET;NTRK2;PHOX2B;RUNX1;SOX9;TGFBR1
0	GO	GO: Regulation of cytokine production	8	0.0030568158039005	7	11.86	59	positive regulation of cytokine production (GO:0001819) | regulation of interleukin-10 production (GO:0032653) | regulation of interleukin-2 production (GO:0032663) | regulation of interleukin-12 production (GO:0032655) | regulation of interleukin-23 production (GO:0032667) | regulation of interferon-gamma production (GO:0032649) | regulation of interleukin-5 production (GO:0032674) | regulation of interleukin-13 production (GO:0032656)	EP300;GATA3;HLA-A;INHBA;JAK3;PLCG2;RUNX1
0	GO	GO: Biological regulation	7	3.048886966725845e-13	25	42.37	59	regulation of cell population proliferation (GO:0042127) | regulation of cell cycle (GO:0051726) | regulation of cell differentiation (GO:0045595) | regulation of programmed cell death (GO:0043067) | negative regulation of cellular process (GO:0048523) | regulation of response to cytokine stimulus (GO:0060759) | regulation of cellular response to stress (GO:0080135)	ALK;ARID2;BARD1;BCL6;CTCF;EP300;FGF4;FGFR4;FLT3;GATA3;IGF2;IL7R;INHBA;JAK3;NBN;NTRK2;PDGFRA;PHOX2B;RPTOR;RUNX1;SH2B3;SOX9;TGFBR1;TSC1;TSHR
0	GO	GO: Regulation of cell differentiation	6	0.0002484437447361	7	11.86	59	negative regulation of cell differentiation (GO:0045596) | regulation of epithelial cell differentiation (GO:0030856) | regulation of epithelial to mesenchymal transition (GO:0010717) | regulation of stem cell differentiation (GO:2000736) | regulation of chondrocyte differentiation (GO:0032330) | regulation of hematopoietic progenitor cell differentiation (GO:1901532)	FOXA1;GATA3;IGF2;PDGFRA;RUNX1;SOX9;TGFBR1
0	GO	GO: Cellular response to cytokine stimulus	6	0.000379173204115	5	8.47	59	cellular response to interleukin-4 (GO:0071353) | cellular response to interleukin-7 (GO:0098761) | cellular response to interleukin-6 (GO:0071354) | cellular response to interferon-alpha (GO:0035457) | cellular response to interleukin-2 (GO:0071352) | cellular response to interleukin-15 (GO:0071350)	CBL;GATA3;IL7R;JAK3;PTPRT
0	GO	GO: Animal organ development	6	0.000486268839959	8	13.56	59	cartilage development (GO:0051216) | gland development (GO:0048732) | heart development (GO:0007507) | embryonic organ development (GO:0048568) | kidney development (GO:0001822) | pancreas development (GO:0031016)	FGF4;GATA3;MET;RUNX1;SH2B3;SOX9;TEK;TGFBR1
0	GO	GO: Regulation of intracellular signal transduction	5	2.026938771206388e-11	23	38.98	59	regulation of protein kinase B signaling (GO:0051896) | regulation of signal transduction by p53 class mediator (GO:1901796) | regulation of MAPK cascade (GO:0043408) | regulation of TOR signaling (GO:0032006) | regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	ARAF;BARD1;BRIP1;EP300;FGF4;FGFR4;FLT3;GATA3;IGF2;MET;NBN;NTRK2;PDGFRA;PLCG2;PRDM1;RAD50;ROS1;RPTOR;RUNX1;SH2B3;TEK;TGFBR1;TSC1
0	GO	GO: Regulation of protein phosphorylation	5	7.105934645517382e-10	12	20.34	59	positive regulation of protein phosphorylation (GO:0001934) | regulation of protein autophosphorylation (GO:0031952) | regulation of I-kappaB phosphorylation (GO:1903719) | regulation of peptidyl-tyrosine phosphorylation (GO:0050730) | regulation of peptidyl-serine phosphorylation (GO:0033135)	ARAF;FGF4;IGF2;INHBA;NBN;NTRK2;PLCG2;RAD50;RPTOR;SOX9;TEK;TGFBR1
0	GO	GO: Dna binding	5	1.8548045044966346e-05	15	25.42	59	double-stranded DNA binding (GO:0003690) | sequence-specific DNA binding (GO:0043565) | damaged DNA binding (GO:0003684) | G-quadruplex DNA binding (GO:0051880) | single-stranded DNA binding (GO:0003697)	BCL6;CTCF;EP300;ERCC2;ETV1;FOXA1;GATA3;MLH1;MSH3;MYCN;NBN;PHOX2B;PRDM1;RAD50;SOX9
0	GO	GO: Dna metabolic process	5	2.284709801604102e-05	6	10.17	59	DNA double-strand break processing (GO:0000729) | DNA recombination (GO:0006310) | DNA replication (GO:0006260) | DNA strand elongation (GO:0022616) | telomere maintenance (GO:0000723)	BARD1;BRIP1;MSH3;NBN;RAD50;XRCC2
0	GO	GO: Neuron differentiation	5	8.506401139074483e-05	6	10.17	59	peripheral nervous system neuron differentiation (GO:0048934) | dopaminergic neuron differentiation (GO:0071542) | central nervous system neuron differentiation (GO:0021953) | noradrenergic neuron differentiation (GO:0003357) | hair cell differentiation (GO:0035315)	ERCC2;ETV1;FOXA1;NTRK2;PHOX2B;RUNX1
0	GO	GO: Cytokine-mediated signaling pathway	5	0.00141647463282	2	3.39	59	interleukin-7-mediated signaling pathway (GO:0038111) | interleukin-21-mediated signaling pathway (GO:0038114) | interleukin-9-mediated signaling pathway (GO:0038113) | interleukin-2-mediated signaling pathway (GO:0038110) | interleukin-15-mediated signaling pathway (GO:0035723)	IL7R;JAK3
0	GO	GO: Response to oxygen-containing compound	5	0.0035290537376922	6	10.17	59	response to alcohol (GO:0097305) | cellular response to oxygen-containing compound (GO:1901701) | response to heparin (GO:0071503) | response to leucine (GO:0043201) | response to sterol (GO:0036314)	GRIN2A;PDGFRA;RPTOR;SOX9;TGFBR1;TSHR
0	GO	GO: Regulation of signal transduction	4	5.207772396070202e-08	16	27.12	59	regulation of intracellular signal transduction (GO:1902531) | regulation of receptor signaling pathway via STAT (GO:1904892) | regulation of antigen receptor-mediated signaling pathway (GO:0050854) | regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640)	ARAF;BARD1;BRIP1;CBL;EP300;IL7R;JAK3;NBN;NTRK2;PLCG2;PRDM1;PTPRT;RAD50;ROS1;RUNX1;TEK
0	GO	GO: Regulation of cell population proliferation	4	1.1292517850574011e-06	17	28.81	59	positive regulation of cell population proliferation (GO:0008284) | negative regulation of cell population proliferation (GO:0008285) | regulation of cardiac muscle cell proliferation (GO:0060043) | regulation of mesenchymal cell proliferation (GO:0010464)	ARID2;CTCF;FGF4;FGFR4;FLT3;GATA3;IGF2;IL7R;INHBA;NTRK2;PDGFRA;RUNX1;SH2B3;SOX9;TGFBR1;TSC1;TSHR
0	GO	GO: Cell development	4	3.966886351431553e-06	11	18.64	59	neuron development (GO:0048666) | hemopoiesis (GO:0030097) | chondrocyte development (GO:0002063) | bone cell development (GO:0098751)	ALK;EPHA5;ETV1;FLT3;INHBA;NTRK2;PHOX2B;RUNX1;SH2B3;SOX9;TEK
0	GO	GO: Response to cytokine	4	8.096790537242727e-05	8	13.56	59	cellular response to cytokine stimulus (GO:0071345) | response to interleukin-4 (GO:0070670) | response to interleukin-6 (GO:0070741) | response to chemokine (GO:1990868)	BCL6;CBL;FLT3;GATA3;JAK3;PTPRT;SH2B3;SOX9
0	GO	GO: Dna repair	4	0.0001221166995878	9	15.25	59	double-strand break repair (GO:0006302) | recombinational repair (GO:0000725) | mismatch repair (GO:0006298) | nucleotide-excision repair (GO:0006289)	BARD1;BRIP1;EP300;ERCC2;MLH1;MSH3;NBN;RAD50;XRCC2
0	GO	GO: Regulation of lymphocyte differentiation	4	0.0002066329339331	5	8.47	59	regulation of T cell differentiation (GO:0045580) | positive regulation of lymphocyte differentiation (GO:0045621) | regulation of natural killer cell differentiation (GO:0032823) | negative regulation of lymphocyte differentiation (GO:0045620)	BTK;GATA3;INHBA;PRDM1;RUNX1
0	GO	GO: Enzyme binding	4	0.0003578632462315	11	18.64	59	phosphatase binding (GO:0019902) | kinase binding (GO:0019900) | DEAD/H-box RNA helicase binding (GO:0017151) | phospholipase binding (GO:0043274)	BARD1;BTK;DROSHA;JAK3;MAP3K1;MET;MYCN;PLCG2;PTPRT;ROS1;RPTOR
0	GO	GO: Negative regulation of multicellular organismal process	4	0.0007609758027855	6	10.17	59	negative regulation of cartilage development (GO:0061037) | negative regulation of epithelial to mesenchymal transition (GO:0010719) | negative regulation of gonadotropin secretion (GO:0032277) | negative regulation of cell activation (GO:0050866)	FOXA1;GATA3;INHBA;PDGFRA;SOX9;TGFBR1
