Gene	ClusterID_kras_pancreas	Centr_kras_pancreas	ClusterID_kras_lung	Centr_kras_lung	ClusterID_kras_colon	Centr_kras_colon	Min_Centrality	Geometric_Mean
ATM	0	0.4286	7	0.75	1	0.3333	0.3333	0.47495184738097906
ARID1A	0	0.4286	6	0.3214	0	0.6118	0.3214	0.43843226175093825
SMARCA4	3	0.4286	3	0.6	3	0.2542	0.2542	0.4028341876879728
KMT2D	0	0.2857	4	0.2069	3	0.7458	0.2069	0.3532626344522849
PTPRD	3	0.1429	0	0.4151	1	0.3939	0.1429	0.2858843056631315
NOTCH3	0	0.1429	1	0.1944	3	0.6102	0.1429	0.2568819351614748
MGA	3	0.1429	1	0.1944	0	0.3412	0.1429	0.2116309447157901
ZFHX3	1	0.1333	6	0.3214	0	0.5882	0.1333	0.2931795545643725
PIK3CA	1	0.1333	6	0.1786	2	0.3968	0.1333	0.21139485957056148
RB1	3	0.2857	0	0.1321	3	0.4237	0.1321	0.2519361610200206
EP300	0	0.3333	2	0.125	2	0.6825	0.125	0.30522211268795146
PREX2	2	0.25	5	0.1071	1	0.4091	0.1071	0.22208521807489265
CDKN2A	4	1.0	3	0.1	2	0.1429	0.1	0.24266701216926753
DOT1L	0	0.1429	3	0.1	0	0.2588	0.1	0.1546436768081872
PTPRT	0	0.0952	5	0.4286	4	1.0	0.0952	0.3442677742002455
KMT2C	3	0.5714	0	0.0943	1	0.5606	0.0943	0.31143566149040164
FLT1	3	0.1429	0	0.0943	1	0.3939	0.0943	0.1744388844963059
BRCA1	3	0.1429	0	0.0943	1	0.2879	0.0943	0.157130995557215
SETD2	2	0.0833	6	0.3214	1	0.5152	0.0833	0.2398219386657505
TET1	2	0.0833	4	0.2069	2	0.5714	0.0833	0.21434593057451412
BCOR	1	0.2	1	0.0833	0	0.4471	0.0833	0.19529594335599934
PGR	2	0.0833	0	0.1509	1	0.1667	0.0833	0.12796463050658852
ARID1B	0	0.0952	6	0.0714	3	0.4576	0.0714	0.14597340054607283
KMT2A	2	0.0833	5	0.0714	0	0.4353	0.0714	0.1373126746910006
RBM10	1	0.2667	5	0.25	0	0.0706	0.0706	0.1675930128684337
BRCA2	0	0.3333	3	0.0667	2	0.5556	0.0667	0.23115739674981764
PTEN	1	0.0667	1	0.1111	2	0.6349	0.0667	0.16756439390010386
AR	1	0.0667	6	0.1071	2	0.6349	0.0667	0.16552879134493306
FLT4	1	0.0667	0	0.0943	0	0.5176	0.0667	0.14820991724159502
RET	1	0.0667	4	0.3448	3	0.1017	0.0667	0.13274087660069978
TSC2	0	0.1905	3	0.0667	0	0.1412	0.0667	0.12151181378463591
CSF1R	1	0.0667	4	0.1034	2	0.1111	0.0667	0.09150682294568355
LATS2	0	0.0952	2	0.0625	0	0.3412	0.0625	0.1266218524138928
CTCF	2	0.0833	2	0.0625	0	0.2	0.0625	0.10135651545258757
KDM6A	4	0.1429	0	0.0566	0	0.1882	0.0566	0.11503308305898319
FAT1	0	0.0476	1	0.6389	3	0.7119	0.0476	0.2787102523995579
POLE	0	0.0476	1	0.1944	1	0.5909	0.0476	0.1761728855589343
NTRK3	0	0.0476	5	0.2143	3	0.1356	0.0476	0.11141994449224829
RPTOR	0	0.0476	1	0.0556	0	0.3529	0.0476	0.0977487324050753
AXIN2	0	0.0476	0	0.0943	0	0.1294	0.0476	0.08343551941639143
INPPL1	0	0.0476	0	0.0377	3	0.5085	0.0377	0.09699434621809945
PTPRS	1	0.0667	5	0.0357	0	0.6118	0.0357	0.113362089141146
FANCA	2	0.0833	6	0.0357	0	0.0941	0.0357	0.06540851365379174
TP53	4	0.1429	0	0.7547	0	0.0353	0.0353	0.15614464503056094
JAK3	1	0.0667	2	0.1562	0	0.0353	0.0353	0.07164631469209773
TGFBR2	1	0.1333	4	0.0345	0	0.6235	0.0345	0.14206766224270878
ANKRD11	2	0.0833	4	0.0345	0	0.5882	0.0345	0.11912320572921214
POLD1	1	0.0667	3	0.0333	0	0.5176	0.0333	0.10475822028854805
SMAD4	2	0.8333	4	0.069	1	0.0303	0.0303	0.1203273540987582
TBX3	4	0.1429	2	0.1875	1	0.0303	0.0303	0.09328791281330966
BAP1	4	0.1429	1	0.0278	0	0.2941	0.0278	0.10532319290522492
AXIN1	0	0.0952	1	0.0278	2	0.127	0.0278	0.06952833377105501
MAP2K4	0	0.0476	0	0.0189	2	0.1111	0.0189	0.04640815168413483
PALB2	0	0.0476	5	0.0714	3	0.0169	0.0169	0.03858311520458276
GATA1	2	0.0833	5	0.0357	1	0.0152	0.0152	0.035622052153743415
