Cluster_ID	Meta_Term	Best_P-value	Aggregated_Terms	All_Genes	N_Terms_Merged
0	positive regulation of transcription, DNA-templated (GO:0045893)	6.740344295325572e-08	positive regulation of transcription, DNA-templated (GO:0045893) | DNA binding (GO:0003677) | positive regulation of nucleic acid-templated transcription (GO:1903508) | Hepatocellular carcinoma | nucleus (GO:0005634) | regulation of transcription, DNA-templated (GO:0006355) | intracellular membrane-bounded organelle (GO:0043231) | positive regulation of transcription by RNA polymerase II (GO:0045944) | regulation of transcription by RNA polymerase II (GO:0006357)	SMAD2;RPTOR;ARID1A;SMARCA4;KMT2C;AXIN1;CCND2;FAT1;BRCA2;BRCA1;INSR;POLE;KMT2D	9
0	regulation of intracellular estrogen receptor signaling pathway (GO:0033146)	2.0540807489581383e-06	regulation of intracellular estrogen receptor signaling pathway (GO:0033146) | Breast cancer | response to estrogen (GO:0043627) | ubiquitin protein ligase binding (GO:0031625) | protein-containing complex assembly (GO:0065003) | ubiquitin-like protein ligase binding (GO:0044389) | positive regulation of protein modification by small protein conjugation or removal (GO:1903322) | positive regulation of protein ubiquitination (GO:0031398) | regulation of protein ubiquitination (GO:0031396) | Cushing syndrome | transcription cis-regulatory region binding (GO:0000976) | regulation of gene expression (GO:0010468)	SMAD2;SMARCA4;AXIN1;BRCA2;BRCA1;INSR;KMT2D	12
0	PI3K-Akt signaling pathway	6.282802494740554e-06	PI3K-Akt signaling pathway | positive regulation of phosphorylation (GO:0042327) | positive regulation of protein serine/threonine kinase activity (GO:0071902) | positive regulation of cellular process (GO:0048522) | positive regulation of protein phosphorylation (GO:0001934) | positive regulation of G1/S transition of mitotic cell cycle (GO:1900087) | positive regulation of cell cycle G1/S phase transition (GO:1902808) | positive regulation of cell population proliferation (GO:0008284) | peptidyl-tyrosine modification (GO:0018212) | positive regulation of mitotic cell cycle phase transition (GO:1901992) | transmembrane receptor protein kinase activity (GO:0019199) | transmembrane receptor protein tyrosine kinase activity (GO:0004714) | peptidyl-tyrosine phosphorylation (GO:0018108) | regulation of G1/S transition of mitotic cell cycle (GO:2000045) | positive regulation of growth (GO:0045927) | positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068) | MicroRNAs in cancer | regulation of kinase activity (GO:0043549) | regulation of cell population proliferation (GO:0042127) | protein kinase regulator activity (GO:0019887) | Longevity regulating pathway | positive regulation of vasculature development (GO:1904018) | cellular response to organonitrogen compound (GO:0071417) | regulation of phosphatidylinositol 3-kinase signaling (GO:0014066) | protein tyrosine kinase activity (GO:0004713) | HIF-1 signaling pathway | regulation of protein serine/threonine kinase activity (GO:0071900) | positive regulation of kinase activity (GO:0033674) | positive regulation of angiogenesis (GO:0045766) | AMPK signaling pathway | FoxO signaling pathway | Insulin signaling pathway | mTOR signaling pathway | protein autophosphorylation (GO:0046777) | regulation of MAPK cascade (GO:0043408) | positive regulation of intracellular signal transduction (GO:1902533)	BRCA1;RPTOR;AXIN1;CCND2;FLT1;INSR;KMT2D	36
1	positive regulation of histone methylation (GO:0031062)	5.529361600084322e-07	positive regulation of histone methylation (GO:0031062) | regulation of histone H3-K9 acetylation (GO:2000615) | positive regulation of histone H3-K4 methylation (GO:0051571) | positive regulation of transcription, DNA-templated (GO:0045893) | sequence-specific DNA binding (GO:0043565) | regulation of histone H3-K4 methylation (GO:0051569) | positive regulation of transcription by RNA polymerase II (GO:0045944) | positive regulation of nucleic acid-templated transcription (GO:1903508) | zinc ion binding (GO:0008270) | regulation of transcription by RNA polymerase II (GO:0006357) | transition metal ion binding (GO:0046914)	SMAD4;GATA1;CTCF;PGR;KMT2A;TET1	11
1	transcription coregulator binding (GO:0001221)	4.931859336660132e-06	transcription coregulator binding (GO:0001221) | transcription coactivator binding (GO:0001223) | DNA binding (GO:0003677) | transcription regulatory region nucleic acid binding (GO:0001067) | DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228) | transcription cis-regulatory region binding (GO:0000976) | RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) | cis-regulatory region sequence-specific DNA binding (GO:0000987) | negative regulation of transcription by RNA polymerase II (GO:0000122) | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) | sequence-specific double-stranded DNA binding (GO:1990837)	SMAD4;GATA1;CTCF;PGR;TET1	11
1	peptidyl-lysine dimethylation (GO:0018027)	6.627587463235582e-05	peptidyl-lysine dimethylation (GO:0018027) | peptidyl-lysine trimethylation (GO:0018023) | histone-lysine N-methyltransferase activity (GO:0018024) | Lysine degradation | regulation of ribonucleoprotein complex localization (GO:2000197) | protein-DNA complex subunit organization (GO:0071824) | regulation of mRNA export from nucleus (GO:0010793) | histone H3-K36 methylation (GO:0010452) | histone H3-K4 dimethylation (GO:0044648) | S-methyltransferase activity (GO:0008172) | minor groove of adenine-thymine-rich DNA binding (GO:0003680) | histone H3-K4 monomethylation (GO:0097692) | regulation of protein localization to chromatin (GO:1905634) | unmethylated CpG binding (GO:0045322) | response to type I interferon (GO:0034340) | regulation of DNA methylation (GO:0044030) | peptidyl-lysine monomethylation (GO:0018026) | histone methyltransferase activity (H3-K36 specific) (GO:0046975) | regulation of RNA export from nucleus (GO:0046831) | positive regulation of transporter activity (GO:0032411) | embryonic hemopoiesis (GO:0035162) | histone H3-K4 trimethylation (GO:0080182)	SETD2;KMT2A	22
2	Pathways in cancer	1.0901155842591329e-11	Pathways in cancer | protein tyrosine kinase activity (GO:0004713) | circulatory system development (GO:0072359) | enzyme linked receptor protein signaling pathway (GO:0007167) | transmembrane receptor protein kinase activity (GO:0019199) | Rap1 signaling pathway | protein phosphorylation (GO:0006468) | PI3K-Akt signaling pathway | transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169) | positive regulation of cell population proliferation (GO:0008284) | Human T-cell leukemia virus 1 infection | positive regulation of phosphorylation (GO:0042327) | positive regulation of cellular process (GO:0048522) | regulation of cell population proliferation (GO:0042127) | phosphorylation (GO:0016310) | cellular protein modification process (GO:0006464)	TGFBR2;BCOR;PIK3CA;JAK3;SRC;RET;FLT4;PTPRS;GNAS;CSF1R;AR;PTEN	16
2	peptidyl-tyrosine modification (GO:0018212)	5.4021146214199655e-08	peptidyl-tyrosine modification (GO:0018212) | peptidyl-tyrosine phosphorylation (GO:0018108) | transmembrane receptor protein tyrosine kinase activity (GO:0004714) | vascular endothelial growth factor receptor signaling pathway (GO:0048010) | hemopoiesis (GO:0030097) | regulation of kinase activity (GO:0043549) | positive regulation of kinase activity (GO:0033674) | osteoclast differentiation (GO:0030316) | positive regulation of transferase activity (GO:0051347) | response to cytokine (GO:0034097) | positive regulation of protein kinase activity (GO:0045860) | protein autophosphorylation (GO:0046777) | hematopoietic progenitor cell differentiation (GO:0002244) | Chemokine signaling pathway | Viral carcinogenesis | positive regulation of protein tyrosine kinase activity (GO:0061098) | Ras signaling pathway | regulation of ERK1 and ERK2 cascade (GO:0070372) | cytokine-mediated signaling pathway (GO:0019221) | regulation of protein phosphorylation (GO:0001932) | positive regulation of cell migration (GO:0030335) | positive regulation of MAPK cascade (GO:0043410) | MAPK signaling pathway | positive regulation of epithelial cell migration (GO:0010634) | positive regulation of protein phosphorylation (GO:0001934) | positive regulation of protein serine/threonine kinase activity (GO:0071902) | regulation of protein serine/threonine kinase activity (GO:0071900) | phosphatase binding (GO:0019902) | protein phosphatase binding (GO:0019903) | positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731) | cellular response to cytokine stimulus (GO:0071345) | negative regulation of apoptotic process (GO:0043066) | positive regulation of ERK1 and ERK2 cascade (GO:0070374) | positive regulation of protein modification process (GO:0031401)	TGFBR2;PIK3CA;SRC;JAK3;FLT4;RET;CSF1R;PTEN	34
2	Relaxin signaling pathway	1.572620469784357e-06	Relaxin signaling pathway | Hepatitis B | Chemical carcinogenesis | Inflammatory mediator regulation of TRP channels | Chagas disease | regulation of phosphatidylinositol 3-kinase signaling (GO:0014066) | negative regulation of anoikis (GO:2000811) | Platelet activation | Osteoclast differentiation | FoxO signaling pathway | regulation of anoikis (GO:2000209) | Estrogen signaling pathway | Cellular senescence | positive regulation of protein kinase B signaling (GO:0051897) | Hepatocellular carcinoma | ERBB2 signaling pathway (GO:0038128) | positive regulation of lamellipodium organization (GO:1902745) | Diabetic cardiomyopathy | axon guidance (GO:0007411) | Human cytomegalovirus infection | epidermal growth factor receptor signaling pathway (GO:0007173) | Regulation of lipolysis in adipocytes | VEGF signaling pathway | caveola (GO:0005901) | ERBB signaling pathway (GO:0038127) | Prolactin signaling pathway | Adherens junction | Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096) | Fc-gamma receptor signaling pathway (GO:0038094) | Fc receptor mediated stimulatory signaling pathway (GO:0002431) | Chronic myeloid leukemia | Pancreatic cancer | Bacterial invasion of epithelial cells | positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068) | Human papillomavirus infection | plasma membrane raft (GO:0044853) | ErbB signaling pathway | Colorectal cancer | Gap junction | transforming growth factor beta receptor signaling pathway (GO:0007179) | GnRH signaling pathway | AGE-RAGE signaling pathway in diabetic complications | Amoebiasis | C-type lectin receptor signaling pathway | cellular response to transforming growth factor beta stimulus (GO:0071560) | Growth hormone synthesis, secretion and action | Thyroid hormone signaling pathway | transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178) | Yersinia infection | Fluid shear stress and atherosclerosis | Phospholipase D signaling pathway | Gastric cancer | Oxytocin signaling pathway | membrane raft (GO:0045121) | Axon guidance | Neutrophil extracellular trap formation | Kaposi sarcoma-associated herpesvirus infection | Proteoglycans in cancer | Lipid and atherosclerosis | cAMP signaling pathway | Regulation of actin cytoskeleton	TGFBR2;PIK3CA;JAK3;SRC;RET;GNAS;CSF1R;AR;PTEN	61
3	Chronic myeloid leukemia	1.3318607445555034e-08	Chronic myeloid leukemia | regulation of cell cycle (GO:0051726) | regulation of peptidyl-tyrosine phosphorylation (GO:0050730) | nucleus (GO:0005634) | replicative senescence (GO:0090399) | Neurotrophin signaling pathway | Cell cycle | positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731) | regulation of cellular component organization (GO:0051128) | intracellular membrane-bounded organelle (GO:0043231) | protein kinase binding (GO:0019901) | negative regulation of phosphate metabolic process (GO:0045936) | regulation of transcription, DNA-templated (GO:0006355) | RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629) | Viral carcinogenesis | negative regulation of transferase activity (GO:0051348) | regulation of cell growth (GO:0001558) | Ras signaling pathway | phosphotyrosine residue binding (GO:0001784) | Bladder cancer | protein phosphorylated amino acid binding (GO:0045309) | DNA repair (GO:0006281) | intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630) | signal transduction in response to DNA damage (GO:0042770) | MicroRNAs in cancer | regulation of DNA-templated transcription, initiation (GO:2000142) | regulation of transcription initiation from RNA polymerase II promoter (GO:0060260) | positive regulation of protein phosphorylation (GO:0001934) | Melanoma | Non-small cell lung cancer | protein tyrosine kinase binding (GO:1990782) | p53 signaling pathway | Glioma | Pancreatic cancer | negative regulation of protein serine/threonine kinase activity (GO:0071901) | kinase binding (GO:0019900) | regulation of transcription by RNA polymerase II (GO:0006357) | intrinsic apoptotic signaling pathway (GO:0097193) | small GTPase mediated signal transduction (GO:0007264) | Pathways in cancer | positive regulation of intracellular signal transduction (GO:1902533) | cellular response to oxidative stress (GO:0034599) | negative regulation of cell growth (GO:0030308) | negative regulation of growth (GO:0045926) | negative regulation of cellular process (GO:0048523) | regulation of cell adhesion (GO:0030155) | Ras protein signal transduction (GO:0007265) | Cellular senescence | Hepatocellular carcinoma | sequence-specific double-stranded DNA binding (GO:1990837) | Axon guidance | regulation of apoptotic process (GO:0042981) | regulation of programmed cell death (GO:0043067) | Pathogenic Escherichia coli infection | Proteoglycans in cancer | DNA binding (GO:0003677) | Human T-cell leukemia virus 1 infection | Human cytomegalovirus infection | positive regulation of programmed cell death (GO:0043068) | positive regulation of apoptotic process (GO:0043065) | cellular response to DNA damage stimulus (GO:0006974)	TP53;PTPN11;ABL1;BAP1;KDM6A;CDKN2A;REL;TBX3	61
