Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
0	GO	GO: Biological regulation	11	5.822371020045391e-11	34	39.53	86	regulation of cell population proliferation (GO:0042127) | regulation of cell cycle (GO:0051726) | regulation of immune response (GO:0050776) | regulation of programmed cell death (GO:0043067) | regulation of cellular component organization (GO:0051128) | regulation of vesicle-mediated transport (GO:0060627) | regulation of signal transduction (GO:0009966) | regulation of cell adhesion (GO:0030155) | negative regulation of response to stimulus (GO:0048585) | regulation of cell adhesion molecule production (GO:0060353) | regulation of actin filament-based process (GO:0032970)	ABL1;AXIN2;BAP1;BARD1;CTCF;DAXX;DOT1L;EGFR;FGFR2;FLT4;FOXP1;GLI1;HLA-A;HLA-B;HLA-C;IL7R;JAK3;MAP2K1;MST1R;NOTCH1;NOTCH2;PDCD1;PTCH1;RHOA;RPTOR;SH2B3;SMAD3;SOX9;TCF7L2;TGFBR2;TP53;TSC2;VEGFA;ZFHX3
0	GO	GO: Animal organ development	9	5.310961514014025e-07	14	16.28	86	heart development (GO:0007507) | embryonic organ development (GO:0048568) | respiratory tube development (GO:0030323) | lung development (GO:0030324) | bone development (GO:0060348) | brain development (GO:0007420) | ureter development (GO:0072189) | kidney development (GO:0001822) | gland development (GO:0048732)	BCOR;FGFR2;KDM6A;KMT2A;NOTCH1;PTCH1;SH2B3;SOX17;SOX9;TGFBR2;TP53;TSC2;VEGFA;ZFHX3
0	GO	GO: Regulation of intracellular signal transduction	9	3.697267519373829e-06	22	25.58	86	positive regulation of intracellular signal transduction (GO:1902533) | regulation of MAPK cascade (GO:0043408) | regulation of protein kinase B signaling (GO:0051896) | regulation of nitric oxide mediated signal transduction (GO:0010749) | regulation of signal transduction by p53 class mediator (GO:1901796) | regulation of protein kinase C signaling (GO:0090036) | regulation of TOR signaling (GO:0032006) | regulation of peroxisome proliferator activated receptor signaling pathway (GO:0035358) | regulation of NIK/NF-kappaB signaling (GO:1901222)	ARAF;ASXL1;BARD1;BRIP1;CHEK2;DAXX;EGFR;EPHB1;FGFR2;FLT4;MAP2K1;MST1R;PIK3R2;RHOA;RPTOR;SH2B3;SOX9;TCF7L2;TP53;TRAF7;TSC2;VEGFA
0	GO	GO: Regulation of cell population proliferation	8	1.1387089104517281e-07	21	24.42	86	positive regulation of cell population proliferation (GO:0008284) | regulation of mesenchymal cell proliferation (GO:0010464) | negative regulation of cell population proliferation (GO:0008285) | regulation of epithelial cell proliferation (GO:0050678) | regulation of cardiac muscle cell proliferation (GO:0060043) | regulation of osteoblast proliferation (GO:0033688) | regulation of smooth muscle cell proliferation (GO:0048660) | regulation of glial cell proliferation (GO:0060251)	AXIN2;BAP1;CTCF;DOT1L;EGFR;FGFR2;FLT4;FOXP1;GLI1;IL7R;MAP2K1;MST1R;NOTCH1;RHOA;SH2B3;SOX9;TCF7L2;TGFBR2;TP53;TSC2;VEGFA
0	GO	GO: Regulation of cell differentiation	8	0.0003229210320555	14	16.28	86	regulation of epithelial to mesenchymal transition (GO:0010717) | regulation of osteoblast differentiation (GO:0045667) | regulation of muscle cell differentiation (GO:0051147) | regulation of stem cell differentiation (GO:2000736) | regulation of hematopoietic progenitor cell differentiation (GO:1901532) | regulation of neuron differentiation (GO:0045664) | regulation of myoblast differentiation (GO:0045661) | regulation of fat cell differentiation (GO:0045598)	ABL1;ASXL1;AXIN2;FGFR2;KMT2A;NOTCH1;PTCH1;RHOA;SMAD2;SMAD3;SOX9;TCF3;TGFBR2;ZFHX3
0	KEGG	KEGG: Signal transduction	22	3.6524552574000245e-09	36	41.86	86	PI3K-Akt signaling pathway | MAPK signaling pathway | FoxO signaling pathway | Ras signaling pathway | ErbB signaling pathway | Rap1 signaling pathway | JAK-STAT signaling pathway | Wnt signaling pathway | cAMP signaling pathway | Phospholipase D signaling pathway | mTOR signaling pathway | Hippo signaling pathway | HIF-1 signaling pathway | VEGF signaling pathway | Sphingolipid signaling pathway | Calcium signaling pathway | TGF-beta signaling pathway | TNF signaling pathway | AMPK signaling pathway | Hedgehog signaling pathway | Apelin signaling pathway | Notch signaling pathway	ABL1;ARAF;AXIN2;CSF3R;CYSLTR2;DAXX;EGFR;FGFR2;FLT4;GLI1;IL7R;JAK3;LATS2;MAP2K1;MAP3K1;MPL;MST1R;NOTCH1;NOTCH2;PIK3R2;PIK3R3;PTCH1;RHOA;RNF43;RPS6KA4;RPTOR;SMAD2;SMAD3;SMO;SOX17;SOX9;TCF7L2;TGFBR2;TP53;TSC2;VEGFA
0	KEGG	KEGG: Cancer: specific types	17	1.5003092141250668e-20	27	31.4	86	Colorectal cancer | Gastric cancer | Pancreatic cancer | Endometrial cancer | Hepatocellular carcinoma | Breast cancer | Prostate cancer | Chronic myeloid leukemia | Non-small cell lung cancer | Basal cell carcinoma | Melanoma | Glioma | Bladder cancer | Acute myeloid leukemia | Renal cell carcinoma | Thyroid cancer | Small cell lung cancer	ABL1;ARAF;ARID1A;AXIN2;EGFR;ERG;FGFR2;FLT4;GLI1;JAK3;MAP2K1;MLH1;MSH3;MSH6;NOTCH1;NOTCH2;PIK3R2;PIK3R3;PTCH1;RHOA;SMAD2;SMAD3;SMO;TCF7L2;TGFBR2;TP53;VEGFA
0	KEGG	KEGG: Immune system	13	1.5387425444077309e-06	17	19.77	86	Natural killer cell mediated cytotoxicity | T cell receptor signaling pathway | Antigen processing and presentation | Th17 cell differentiation | Chemokine signaling pathway | Fc epsilon RI signaling pathway | B cell receptor signaling pathway | Th1 and Th2 cell differentiation | Toll-like receptor signaling pathway | C-type lectin receptor signaling pathway | Leukocyte transendothelial migration | Platelet activation | Neutrophil extracellular trap formation	ARAF;CTLA4;HLA-A;HLA-B;HLA-C;JAK3;MAP2K1;NOTCH1;NOTCH2;PDCD1;PIK3R2;PIK3R3;RHOA;SMAD2;SMAD3;TAP2;TGFBR2
0	KEGG	KEGG: Endocrine system	12	5.0842368184393816e-08	16	18.6	86	Thyroid hormone signaling pathway | Relaxin signaling pathway | Insulin signaling pathway | Progesterone-mediated oocyte maturation | Parathyroid hormone synthesis, secretion and action | Growth hormone synthesis, secretion and action | GnRH secretion | Estrogen signaling pathway | Prolactin signaling pathway | GnRH signaling pathway | Regulation of lipolysis in adipocytes | Oxytocin signaling pathway	ARAF;EGFR;MAP2K1;MAP3K1;NCOR1;NOTCH1;NOTCH2;PIK3R2;PIK3R3;RHOA;RPTOR;SMAD2;TGFBR2;TP53;TSC2;VEGFA
0	KEGG	KEGG: Infectious disease: viral	11	5.313691141100481e-13	25	29.07	86	Human T-cell leukemia virus 1 infection | Human papillomavirus infection | Human cytomegalovirus infection | Hepatitis B | Kaposi sarcoma-associated herpesvirus infection | Epstein-Barr virus infection | Human immunodeficiency virus 1 infection | Hepatitis C | Herpes simplex virus 1 infection | Measles | Influenza A	ARAF;AXIN2;CHEK2;DAXX;EGFR;HLA-A;HLA-B;HLA-C;JAK3;MAP2K1;MAP3K1;NOTCH1;NOTCH2;PIK3R2;PIK3R3;RHOA;SMAD2;SMAD3;TAP2;TCF3;TCF7L2;TGFBR2;TP53;TSC2;VEGFA
