Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
0	GO	GO: Regulation of intracellular signal transduction	8	1.833732548635896e-08	19	35.19	54	positive regulation of intracellular signal transduction (GO:1902533) | regulation of protein kinase B signaling (GO:0051896) | regulation of MAPK cascade (GO:0043408) | regulation of signal transduction by p53 class mediator (GO:1901796) | negative regulation of intracellular signal transduction (GO:1902532) | regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122) | regulation of intrinsic apoptotic signaling pathway (GO:2001242) | regulation of protein kinase C signaling (GO:0090036)	ATR;BRCA1;BRD4;CYLD;EPHB1;ERBB4;ESR1;FGF19;FGF3;FGFR3;FLT1;FLT4;HGF;MTOR;NF1;PDGFRB;PRKD1;TNFAIP3;TP53
0	GO	GO: Enzyme binding	8	0.001453945582274	13	24.07	54	histone acetyltransferase binding (GO:0035035) | kinase binding (GO:0019900) | ubiquitin-like protein ligase binding (GO:0044389) | ATPase binding (GO:0051117) | histone deacetylase binding (GO:0042826) | phosphatase binding (GO:0019902) | protease binding (GO:0002020) | RNA polymerase binding (GO:0070063)	AXIN2;BRCA1;CCND2;CYLD;EPAS1;ESR1;FLT4;NCOR1;PDGFRB;PGR;RB1;TNFAIP3;TP53
0	GO	GO: Cell surface receptor protein tyrosine kinase signaling pathway	6	0.000788771507073	10	18.52	54	vascular endothelial growth factor receptor signaling pathway (GO:0048010) | fibroblast growth factor receptor signaling pathway (GO:0008543) | ephrin receptor signaling pathway (GO:0048013) | hepatocyte growth factor receptor signaling pathway (GO:0048012) | vascular endothelial growth factor signaling pathway (GO:0038084) | platelet-derived growth factor receptor signaling pathway (GO:0048008)	EPHB1;FGF19;FGF3;FGFR3;FLT1;FLT4;HGF;PDGFRB;PRKD1;RASA1
0	GO	GO: Biological regulation	5	3.251576735985038e-05	17	31.48	54	regulation of cell population proliferation (GO:0042127) | regulation of cell cycle (GO:0051726) | regulation of actin filament-based process (GO:0032970) | regulation of cellular response to stress (GO:0080135) | regulation of response to external stimulus (GO:0032101)	ATR;AXIN2;BRCA1;BRD4;CCND2;CYLD;ERBB4;FGF19;FGF3;FGFR3;FLT1;FLT4;MTOR;NOTCH2;PDGFRB;RB1;TP53
0	GO	GO: Regulation of cell population proliferation	5	3.7494144676643296e-05	14	25.93	54	positive regulation of cell population proliferation (GO:0008284) | negative regulation of cell population proliferation (GO:0008285) | regulation of fibroblast proliferation (GO:0048145) | regulation of smooth muscle cell proliferation (GO:0048660) | regulation of epithelial cell proliferation (GO:0050678)	AXIN2;B2M;CCND2;ERBB4;FGF19;FGF3;FGFR3;FLT1;FLT4;NF1;PDGFRB;PRKD1;TNFAIP3;TP53
0	KEGG	KEGG: Cancer: specific types	15	1.689849233140391e-13	15	27.78	54	Breast cancer | Melanoma | Gastric cancer | Glioma | Hepatocellular carcinoma | Prostate cancer | Bladder cancer | Non-small cell lung cancer | Pancreatic cancer | Colorectal cancer | Endometrial cancer | Basal cell carcinoma | Renal cell carcinoma | Chronic myeloid leukemia | Small cell lung cancer	AXIN2;BRCA1;EPAS1;ESR1;FGF19;FGF3;FGFR3;FLT4;HGF;MTOR;NOTCH2;PDGFRB;PGR;RB1;TP53
0	KEGG	KEGG: Signal transduction	12	1.6094698309880954e-11	21	38.89	54	MAPK signaling pathway | PI3K-Akt signaling pathway | Ras signaling pathway | Rap1 signaling pathway | Calcium signaling pathway | ErbB signaling pathway | JAK-STAT signaling pathway | Wnt signaling pathway | Phosphatidylinositol signaling system | NF-kappa B signaling pathway | HIF-1 signaling pathway | TNF signaling pathway	AXIN2;BRCA1;CCND2;CYLD;ERBB4;FGF19;FGF3;FGFR3;FLT1;FLT4;HGF;INPP4B;INPPL1;MAP2K4;MTOR;NF1;PDGFRB;PRKD1;RASA1;TNFAIP3;TP53
0	KEGG	KEGG: Cancer: overview	8	8.932453079187127e-11	21	38.89	54	Pathways in cancer | MicroRNAs in cancer | Central carbon metabolism in cancer | Chemical carcinogenesis | Transcriptional misregulation in cancer | Proteoglycans in cancer | Viral carcinogenesis | Choline metabolism in cancer	AXIN2;BRCA1;CCND2;DNMT3A;EPAS1;ERBB4;ESR1;FGF19;FGF3;FGFR3;FLT1;FLT4;HGF;KDM6A;MTOR;NCOR1;NOTCH2;PDGFRB;PGR;RB1;TP53
0	KEGG	KEGG: Infectious disease: viral	8	1.961919096320476e-06	12	22.22	54	Human T-cell leukemia virus 1 infection | Human papillomavirus infection | Epstein-Barr virus infection | Kaposi sarcoma-associated herpesvirus infection | Human cytomegalovirus infection | Measles | Hepatitis B | Human immunodeficiency virus 1 infection	ATR;AXIN2;B2M;CCND2;MAP2K4;MTOR;NOTCH2;PDGFRB;RB1;TNFAIP3;TP53;XPO1
0	KEGG	KEGG: Endocrine system	3	8.81744284197585e-07	8	14.81	54	Thyroid hormone signaling pathway | Prolactin signaling pathway | Growth hormone synthesis, secretion and action	CCND2;ESR1;MAP2K4;MED12;MTOR;NCOR1;NOTCH2;TP53
