Cluster_ID	Database	Native_Macro_Sector	N_Pathways_Aggregated	Best_P-value	Unique_Genes_Count	Coverage_%	Total_Input_Genes	Original_Pathways	All_Unique_Genes
0	GO	GO: Dna metabolic process	6	0.0032997207202743	2	12.5	16	DNA replication (GO:0006260) | DNA double-strand break processing (GO:0000729) | nucleotide-excision repair, DNA gap filling (GO:0006297) | base-excision repair, gap-filling (GO:0006287) | DNA replication initiation (GO:0006270) | DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	BRCA1;POLE
0	GO	GO: Regulation of intracellular steroid hormone receptor signaling pathway	4	2.0540807489581383e-06	4	25.0	16	regulation of intracellular estrogen receptor signaling pathway (GO:0033146) | negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144) | positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145) | regulation of androgen receptor signaling pathway (GO:0060765)	AXIN1;BRCA1;KMT2D;SMARCA4
0	GO	GO: Cellular component assembly	4	0.001158311938128	5	31.25	16	protein-containing complex assembly (GO:0065003) | cellular protein-containing complex assembly (GO:0034622) | presynapse assembly (GO:0099054) | membrane assembly (GO:0071709)	AXIN1;KMT2D;PTPRD;SMAD2;SMARCA4
0	GO	GO: Enzyme binding	4	0.0013555575841727	6	37.5	16	ubiquitin-like protein ligase binding (GO:0044389) | kinase binding (GO:0019900) | RNA polymerase binding (GO:0070063) | DNA polymerase binding (GO:0070182)	AXIN1;BRCA1;CCND2;RPTOR;SMAD2;SMARCA4
0	GO	GO: Dna repair	4	0.0017834370707108	3	18.75	16	recombinational repair (GO:0000725) | nucleotide-excision repair (GO:0006289) | double-strand break repair (GO:0006302) | base-excision repair (GO:0006284)	BRCA1;BRCA2;POLE
0	KEGG	KEGG: Signal transduction	11	6.282802494740554e-06	8	50.0	16	PI3K-Akt signaling pathway | Hippo signaling pathway | MAPK signaling pathway | HIF-1 signaling pathway | AMPK signaling pathway | FoxO signaling pathway | mTOR signaling pathway | Wnt signaling pathway | Rap1 signaling pathway | Ras signaling pathway | Hedgehog signaling pathway	AXIN1;BRCA1;CCND2;FLT1;INSR;MAP2K4;RPTOR;SMAD2
0	KEGG	KEGG: Cancer: specific types	7	8.079933616668079e-06	6	37.5	16	Hepatocellular carcinoma | Breast cancer | Pancreatic cancer | Colorectal cancer | Gastric cancer | Endometrial cancer | Basal cell carcinoma	ARID1A;AXIN1;BRCA1;BRCA2;SMAD2;SMARCA4
0	KEGG	KEGG: Replication and repair	5	0.0004831376724596	3	18.75	16	Homologous recombination | Fanconi anemia pathway | Base excision repair | DNA replication | Nucleotide excision repair	BRCA1;BRCA2;POLE
0	KEGG	KEGG: Endocrine system	4	0.0046689935198571	4	25.0	16	Relaxin signaling pathway | Insulin signaling pathway | Ovarian steroidogenesis | Regulation of lipolysis in adipocytes	INSR;MAP2K4;RPTOR;SMAD2
0	KEGG	KEGG: Infectious disease: viral	3	0.0006527219075953	4	25.0	16	Human T-cell leukemia virus 1 infection | Epstein-Barr virus infection | Human papillomavirus infection	AXIN1;CCND2;MAP2K4;SMAD2
0	Reactome	Reactome: Transcriptional regulation by runx1	1	7.253283564179311e-09	6	37.5	16	Transcriptional Regulation by RUNX1	ARID1A;AXIN1;CCND2;KMT2C;KMT2D;SMARCA4
0	Reactome	Reactome: Generic transcription pathway	1	9.434094709783024e-08	9	56.25	16	Generic Transcription Pathway	ARID1A;AXIN1;BRCA1;CCND2;KMT2C;KMT2D;RPTOR;SMAD2;SMARCA4
0	Reactome	Reactome: Rna polymerase ii transcription	1	2.2377844125896666e-07	9	56.25	16	RNA Polymerase II Transcription	ARID1A;AXIN1;BRCA1;CCND2;KMT2C;KMT2D;RPTOR;SMAD2;SMARCA4
0	Reactome	Reactome: Gene expression (transcription)	1	9.685780755566907e-07	9	56.25	16	Gene Expression (Transcription)	ARID1A;AXIN1;BRCA1;CCND2;KMT2C;KMT2D;RPTOR;SMAD2;SMARCA4
0	Reactome	Reactome: Hdr through homologous recombination (hrr)	1	2.131029472269665e-05	3	18.75	16	HDR Through Homologous Recombination (HRR)	BRCA1;BRCA2;POLE
1	GO	GO: Peptidyl-lysine methylation	3	6.627587463235582e-05	2	15.38	13	peptidyl-lysine dimethylation (GO:0018027) | peptidyl-lysine trimethylation (GO:0018023) | peptidyl-lysine monomethylation (GO:0018026)	KMT2A;SETD2
1	GO	GO: Regulation of cell differentiation	3	0.0010536951813892	3	23.08	13	regulation of hematopoietic progenitor cell differentiation (GO:1901532) | regulation of stem cell differentiation (GO:2000736) | regulation of epithelial to mesenchymal transition (GO:0010717)	GATA1;KMT2A;SMAD4
1	GO	GO: Regulation of extrinsic apoptotic signaling pathway	3	0.0011976875256538	2	15.38	13	negative regulation of extrinsic apoptotic signaling pathway (GO:2001237) | regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239) | regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	CASP8;GATA1
1	GO	GO: Cellular component organization or biogenesis	3	0.0023284996017432	3	23.08	13	protein-containing complex subunit organization (GO:0043933) | cellular component assembly (GO:0022607) | chromatin assembly (GO:0031497)	CTCF;FANCA;KMT2A
1	GO	GO: Myeloid cell differentiation	3	0.0077742172076079	2	15.38	13	megakaryocyte differentiation (GO:0030219) | erythrocyte differentiation (GO:0030218) | myeloid leukocyte differentiation (GO:0002573)	CASP8;GATA1
1	KEGG	KEGG: Cancer: specific types	12	0.0010817770250507	3	23.08	13	Chronic myeloid leukemia | Pancreatic cancer | Colorectal cancer | Breast cancer | Gastric cancer | Hepatocellular carcinoma | Endometrial cancer | Acute myeloid leukemia | Renal cell carcinoma | Melanoma | Non-small cell lung cancer | Glioma	AKT3;PGR;SMAD4
1	KEGG	KEGG: Infectious disease: viral	11	0.0001405566888731	3	23.08	13	Hepatitis B | Measles | Hepatitis C | Influenza A | Kaposi sarcoma-associated herpesvirus infection | Epstein-Barr virus infection | Human immunodeficiency virus 1 infection | Human T-cell leukemia virus 1 infection | Human cytomegalovirus infection | Human papillomavirus infection | Herpes simplex virus 1 infection	AKT3;CASP8;SMAD4
1	KEGG	KEGG: Endocrine system	6	0.0018624280503563	2	15.38	13	Progesterone-mediated oocyte maturation | Estrogen signaling pathway | Regulation of lipolysis in adipocytes | GnRH secretion | Adipocytokine signaling pathway | Prolactin signaling pathway	AKT3;PGR
1	KEGG	KEGG: Immune system	4	0.0020122339799297	2	15.38	13	Toll-like receptor signaling pathway | C-type lectin receptor signaling pathway | Fc epsilon RI signaling pathway | RIG-I-like receptor signaling pathway	AKT3;CASP8
1	KEGG	KEGG: Signal transduction	4	0.0023284996017432	3	23.08	13	TNF signaling pathway | FoxO signaling pathway | Apelin signaling pathway | VEGF signaling pathway	AKT3;CASP8;SMAD4
1	Reactome	Reactome: Gene expression (transcription)	1	0.0002866835365524	6	46.15	13	Gene Expression (Transcription)	AKT3;GATA1;KMT2A;PGR;SMAD4;TET1
1	Reactome	Reactome: Pkmts methylate histone lysines	1	0.0003971974518746	2	15.38	13	PKMTs Methylate Histone Lysines	KMT2A;SETD2
1	Reactome	Reactome: Intrinsic pathway for apoptosis	1	0.0005680161453256	2	15.38	13	Intrinsic Pathway for Apoptosis	AKT3;CASP8
1	Reactome	Reactome: Regulation of pten stability and activity	1	0.0005888380181985	2	15.38	13	Regulation of PTEN Stability and Activity	AKT3;PREX2
1	Reactome	Reactome: Generic transcription pathway	1	0.0007405501035429	5	38.46	13	Generic Transcription Pathway	AKT3;GATA1;KMT2A;PGR;SMAD4
2	GO	GO: Regulation of intracellular signal transduction	7	1.0286569552437218e-05	6	42.86	14	regulation of protein kinase B signaling (GO:0051896) | positive regulation of intracellular signal transduction (GO:1902533) | regulation of MAPK cascade (GO:0043408) | regulation of protein kinase C signaling (GO:0090036) | regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143) | regulation of intrinsic apoptotic signaling pathway (GO:2001242) | regulation of TOR signaling (GO:0032006)	AR;FLT4;PIK3CA;PTEN;RET;SRC
2	GO	GO: Cellular response to cytokine stimulus	7	0.0034953988931204	3	21.43	14	cellular response to macrophage colony-stimulating factor stimulus (GO:0036006) | cellular response to interleukin-9 (GO:0071355) | cellular response to interleukin-4 (GO:0071353) | cellular response to interleukin-2 (GO:0071352) | cellular response to interleukin-15 (GO:0071350) | cellular response to interleukin-7 (GO:0098761) | cellular response to interleukin-6 (GO:0071354)	CSF1R;JAK3;SRC
2	GO	GO: Cell surface receptor protein tyrosine kinase signaling pathway	6	1.2738201511546348e-05	5	35.71	14	vascular endothelial growth factor receptor signaling pathway (GO:0048010) | vascular endothelial growth factor signaling pathway (GO:0038084) | ERBB signaling pathway (GO:0038127) | glial cell-derived neurotrophic factor receptor signaling pathway (GO:0035860) | growth hormone receptor signaling pathway (GO:0060396) | insulin receptor signaling pathway (GO:0008286)	FLT4;JAK3;PIK3CA;RET;SRC
2	GO	GO: Cytokine-mediated signaling pathway	6	0.0055872022837974	2	14.29	14	interleukin-21-mediated signaling pathway (GO:0038114) | interleukin-9-mediated signaling pathway (GO:0038113) | interleukin-2-mediated signaling pathway (GO:0038110) | interleukin-15-mediated signaling pathway (GO:0035723) | interleukin-6-mediated signaling pathway (GO:0070102) | interleukin-7-mediated signaling pathway (GO:0038111)	JAK3;SRC
2	GO	GO: Positive regulation of intracellular signal transduction	5	0.0001746067893066	5	35.71	14	positive regulation of protein kinase B signaling (GO:0051897) | positive regulation of MAPK cascade (GO:0043410) | positive regulation of protein kinase C signaling (GO:0090037) | positive regulation of small GTPase mediated signal transduction (GO:0051057) | positive regulation of TOR signaling (GO:0032008)	CSF1R;FLT4;PIK3CA;RET;SRC
2	KEGG	KEGG: Cancer: specific types	16	1.5825925432177543e-05	9	64.29	14	Non-small cell lung cancer | Prostate cancer | Breast cancer | Hepatocellular carcinoma | Endometrial cancer | Acute myeloid leukemia | Melanoma | Glioma | Chronic myeloid leukemia | Pancreatic cancer | Colorectal cancer | Small cell lung cancer | Gastric cancer | Thyroid cancer | Bladder cancer | Renal cell carcinoma	AR;CSF1R;FLT4;JAK3;PIK3CA;PTEN;RET;SRC;TGFBR2
2	KEGG	KEGG: Signal transduction	14	2.255474929251375e-07	9	64.29	14	Rap1 signaling pathway | PI3K-Akt signaling pathway | FoxO signaling pathway | Ras signaling pathway | Calcium signaling pathway | VEGF signaling pathway | MAPK signaling pathway | ErbB signaling pathway | Phosphatidylinositol signaling system | Sphingolipid signaling pathway | Phospholipase D signaling pathway | mTOR signaling pathway | JAK-STAT signaling pathway | cAMP signaling pathway	CSF1R;FLT4;GNAS;JAK3;PIK3CA;PTEN;RET;SRC;TGFBR2
2	KEGG	KEGG: Endocrine system	12	1.572620469784357e-06	4	28.57	14	Relaxin signaling pathway | Estrogen signaling pathway | Regulation of lipolysis in adipocytes | Prolactin signaling pathway | GnRH signaling pathway | Growth hormone synthesis, secretion and action | Thyroid hormone signaling pathway | Oxytocin signaling pathway | Ovarian steroidogenesis | GnRH secretion | Cortisol synthesis and secretion | Renin secretion	GNAS;PIK3CA;SRC;TGFBR2
2	KEGG	KEGG: Cancer: overview	8	1.0901155842591329e-11	10	71.43	14	Pathways in cancer | Central carbon metabolism in cancer | Chemical carcinogenesis | Viral carcinogenesis | PD-L1 expression and PD-1 checkpoint pathway in cancer | Transcriptional misregulation in cancer | Proteoglycans in cancer | MicroRNAs in cancer	AR;CSF1R;FLT4;GNAS;JAK3;PIK3CA;PTEN;RET;SRC;TGFBR2
