Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Chronic myeloid leukemia	2/76	4.264460772896206e-05	0.001640150710087	0	0	538.4594594594595	5418.307392068358	KRAS;TGFBR2
KEGG_2021_Human	Pancreatic cancer	2/76	4.264460772896206e-05	0.001640150710087	0	0	538.4594594594595	5418.307392068358	KRAS;TGFBR2
KEGG_2021_Human	Colorectal cancer	2/86	5.467169033623489e-05	0.001640150710087	0	0	474.1190476190476	4653.082338545235	KRAS;TGFBR2
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	7.400792319418548e-05	0.0016651782718691	0	0	406.1020408163265	3862.5739352565297	KRAS;TGFBR2
KEGG_2021_Human	Relaxin signaling pathway	2/129	0.00012331707297803986	0.0018833293710832	0	0	312.9133858267717	2816.455686430498	KRAS;TGFBR2
KEGG_2021_Human	FoxO signaling pathway	2/131	0.00012717718560009654	0.0018833293710832	0	0	308.031007751938	2763.016356085559	KRAS;TGFBR2
KEGG_2021_Human	Gastric cancer	2/149	0.00016458175008521891	0.0018833293710832	0	0	270.06802721088434	2352.8605106318937	KRAS;TGFBR2
KEGG_2021_Human	Cellular senescence	2/156	0.0001804215708467929	0.0018833293710832	0	0	257.7012987012987	2221.4404421399886	KRAS;TGFBR2
KEGG_2021_Human	Hepatitis B	2/162	0.0001945745324387528	0.0018833293710832	0	0	247.9625	2118.764000418472	KRAS;TGFBR2
KEGG_2021_Human	Hepatocellular carcinoma	2/168	0.0002092588190092538	0.0018833293710832	0	0	238.9277108433735	2024.180920875619	KRAS;TGFBR2
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	0.00035548173580292634	0.0029084869292966	0	0	182.30414746543775	1447.8662272028034	KRAS;TGFBR2
KEGG_2021_Human	MAPK signaling pathway	2/294	0.000639791313184298	0.0047984348488822	0	0	134.96575342465752	992.5878866358192	KRAS;TGFBR2
GO_Biological_Process_2021	positive regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000563)	1/5	0.0007498314718703743	0.009348295952448	0	0	2499.125	17982.858997820545	TGFBR2
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905007)	1/5	0.0007498314718703743	0.009348295952448	0	0	2499.125	17982.858997820545	TGFBR2
GO_Biological_Process_2021	tricuspid valve development (GO:0003175)	1/5	0.0007498314718703743	0.009348295952448	0	0	2499.125	17982.858997820545	TGFBR2
GO_Biological_Process_2021	tricuspid valve morphogenesis (GO:0003186)	1/5	0.0007498314718703743	0.009348295952448	0	0	2499.125	17982.858997820545	TGFBR2
Reactome_2022	SMAD2/3 Phosphorylation Motif Mutants In Cancer R-HSA-3304356	1/6	0.0008997538788767587	0.0046418909604057	0	0	1999.2	14021.167888467728	TGFBR2
Reactome_2022	Loss Of Function Of SMAD2/3 In Cancer R-HSA-3304349	1/7	0.0010496614322994	0.0046418909604057	0	0	1665.9166666666667	11427.001554688257	TGFBR2
Reactome_2022	Signaling By RNF43 Mutants R-HSA-5340588	1/7	0.0010496614322994	0.0046418909604057	0	0	1665.9166666666667	11427.001554688257	RNF43
GO_Biological_Process_2021	regulation of T cell tolerance induction (GO:0002664)	1/7	0.0010496614322994	0.009348295952448	0	0	1665.9166666666667	11427.001554688257	TGFBR2
GO_Biological_Process_2021	positive regulation of cardiac epithelial to mesenchymal transition (GO:0062043)	1/7	0.0010496614322994	0.009348295952448	0	0	1665.9166666666667	11427.001554688257	TGFBR2
Reactome_2022	Loss Of Function Of TGFBR1 In Cancer R-HSA-3656534	1/7	0.0010496614322994	0.0046418909604057	0	0	1665.9166666666667	11427.001554688257	TGFBR2
GO_Biological_Process_2021	regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005)	1/8	0.0011995541091196	0.009348295952448	0	0	1427.857142857143	9603.48923469958	TGFBR2
Reactome_2022	Signaling By TGF-beta Receptor Complex In Cancer R-HSA-3304351	1/8	0.0011995541091196	0.0046418909604057	0	0	1427.857142857143	9603.48923469958	TGFBR2
Reactome_2022	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	2/424	0.0013262545601159	0.0046418909604057	0	0	92.77251184834124	614.6546687732613	RNF43;TGFBR2
GO_Biological_Process_2021	positive regulation of mesenchymal cell proliferation (GO:0002053)	1/10	0.0014992947695318	0.009348295952448	0	0	1110.4444444444443	7220.954198683598	TGFBR2
GO_Biological_Process_2021	myeloid dendritic cell differentiation (GO:0043011)	1/10	0.0014992947695318	0.009348295952448	0	0	1110.4444444444443	7220.954198683598	TGFBR2
GO_Biological_Process_2021	regulation of mesenchymal cell proliferation (GO:0010464)	1/11	0.0016491427308511	0.009348295952448	0	0	999.35	6403.334808352065	TGFBR2
GO_Biological_Process_2021	response to sterol (GO:0036314)	1/11	0.0016491427308511	0.009348295952448	0	0	999.35	6403.334808352065	TGFBR2
GO_Biological_Process_2021	regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000561)	1/11	0.0016491427308511	0.009348295952448	0	0	999.35	6403.334808352065	TGFBR2
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	2/474	0.0016551062913558	0.009348295952448	0	0	82.73305084745763	529.8133609487451	KRAS;TGFBR2
GO_Biological_Process_2021	pathway-restricted SMAD protein phosphorylation (GO:0060389)	1/13	0.0019487938770013	0.009348295952448	0	0	832.7083333333334	5196.553511599695	TGFBR2
GO_Biological_Process_2021	positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	1/13	0.0019487938770013	0.009348295952448	0	0	832.7083333333334	5196.553511599695	TGFBR2
GO_Biological_Process_2021	embryonic hemopoiesis (GO:0035162)	1/13	0.0019487938770013	0.009348295952448	0	0	832.7083333333334	5196.553511599695	TGFBR2
KEGG_2021_Human	Pathways in cancer	2/531	0.0020735672725505	0.0143554657330422	0	0	73.60302457466919	454.75517113327186	KRAS;TGFBR2
GO_Biological_Process_2021	cardiac left ventricle morphogenesis (GO:0003214)	1/14	0.0020985970505495	0.009348295952448	0	0	768.6153846153846	4739.656184381286	TGFBR2
GO_Biological_Process_2021	positive regulation of alpha-beta T cell differentiation (GO:0046638)	1/14	0.0020985970505495	0.009348295952448	0	0	768.6153846153846	4739.656184381286	TGFBR2
GO_Biological_Process_2021	branching involved in blood vessel morphogenesis (GO:0001569)	1/14	0.0020985970505495	0.009348295952448	0	0	768.6153846153846	4739.656184381286	TGFBR2
GO_Biological_Process_2021	myeloid dendritic cell activation (GO:0001773)	1/14	0.0020985970505495	0.009348295952448	0	0	768.6153846153846	4739.656184381286	TGFBR2
GO_Biological_Process_2021	atrioventricular valve development (GO:0003171)	1/14	0.0020985970505495	0.009348295952448	0	0	768.6153846153846	4739.656184381286	TGFBR2
GO_Biological_Process_2021	secondary palate development (GO:0062009)	1/14	0.0020985970505495	0.009348295952448	0	0	768.6153846153846	4739.656184381286	TGFBR2
GO_Biological_Process_2021	embryonic cranial skeleton morphogenesis (GO:0048701)	1/15	0.002248385285759	0.0095800764349731	0	0	713.6785714285714	4351.685756891909	TGFBR2
Reactome_2022	TGF-beta Receptor Signaling In EMT (Epithelial To Mesenchymal Transition) R-HSA-2173791	1/16	0.0023981585785517	0.0071944757356553	0	0	666.0666666666667	4018.4162309154817	TGFBR2
GO_Biological_Process_2021	positive regulation of alpha-beta T cell proliferation (GO:0046641)	1/16	0.0023981585785517	0.0097924808624198	0	0	666.0666666666667	4018.4162309154817	TGFBR2
GO_Biological_Process_2021	atrioventricular valve morphogenesis (GO:0003181)	1/19	0.002847388777574	0.01002521301792	0	0	554.9722222222222	3252.888056951129	TGFBR2
GO_Biological_Process_2021	endocardial cushion morphogenesis (GO:0003203)	1/19	0.002847388777574	0.01002521301792	0	0	554.9722222222222	3252.888056951129	TGFBR2
GO_Biological_Process_2021	response to cholesterol (GO:0070723)	1/19	0.002847388777574	0.01002521301792	0	0	554.9722222222222	3252.888056951129	TGFBR2
GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	2/625	0.0028643465765485	0.01002521301792	0	0	62.195826645264845	364.18237788324177	KRAS;TGFBR2
Reactome_2022	Regulation Of FZD By Ubiquitination R-HSA-4641263	1/20	0.0029971022769704	0.0078673934770475	0	0	525.7368421052631	3054.5885497256336	RNF43
GO_Biological_Process_2021	dendritic cell differentiation (GO:0097028)	1/24	0.0035958067387344	0.0118404405036907	0	0	434.2173913043478	2443.7697931466887	TGFBR2
GO_Biological_Process_2021	outflow tract septum morphogenesis (GO:0003148)	1/25	0.0037454454654532	0.0118404405036907	0	0	416.1041666666667	2324.8633249285726	TGFBR2
GO_Biological_Process_2021	receptor catabolic process (GO:0032801)	1/25	0.0037454454654532	0.0118404405036907	0	0	416.1041666666667	2324.8633249285726	RNF43
Reactome_2022	Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788	1/26	0.003895069234369	0.0090884948801943	0	0	399.44	2216.1106253087632	TGFBR2
GO_Biological_Process_2021	ventricular septum morphogenesis (GO:0060412)	1/28	0.0041942719009199	0.0126541188307752	0	0	369.8148148148149	2024.379431258311	TGFBR2
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	2/764	0.0042610808307712	0.0126541188307752	0	0	50.485564304461946	275.56194457265855	KRAS;TGFBR2
GO_Biological_Process_2021	response to alcohol (GO:0097305)	1/30	0.0044934147342301	0.0129516071751338	0	0	344.2758620689655	1860.860040913568	TGFBR2
GO_Biological_Process_2021	embryonic skeletal system morphogenesis (GO:0048704)	1/31	0.0046429637132384	0.0130002983970677	0	0	332.78333333333336	1787.845973802925	TGFBR2
GO_Biological_Process_2021	vasculogenesis (GO:0001570)	1/33	0.0049420167963792	0.0134532679456992	0	0	311.953125	1656.4654076932638	TGFBR2
Reactome_2022	Signaling By WNT In Cancer R-HSA-4791275	1/33	0.0049420167963792	0.0103782352723965	0	0	311.953125	1656.4654076932638	RNF43
KEGG_2021_Human	Thyroid cancer	1/37	0.0055399434616103	0.0310393222017543	0	0	277.2361111111111	1440.4553417617176	KRAS
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	1/37	0.0055399434616103	0.0310393222017543	0	0	277.2361111111111	1440.4553417617176	KRAS
GO_Biological_Process_2021	ventricular septum development (GO:0003281)	1/38	0.0056893877328946	0.0150691891303696	0	0	269.72972972972974	1394.274144706199	TGFBR2
KEGG_2021_Human	Bladder cancer	1/41	0.0061376308005125	0.0310393222017543	0	0	249.4625	1270.5914609940403	KRAS
GO_Biological_Process_2021	response to growth factor (GO:0070848)	1/41	0.0061376308005125	0.0153667249324387	0	0	249.4625	1270.5914609940403	TGFBR2
GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition (GO:0010718)	1/42	0.0062870152415198	0.0153667249324387	0	0	243.3658536585366	1233.6869399593022	TGFBR2
GO_Biological_Process_2021	heart looping (GO:0001947)	1/43	0.0064363847273157	0.0153667249324387	0	0	237.5595238095238	1198.6750596729298	TGFBR2
GO_Biological_Process_2021	cardiac ventricle morphogenesis (GO:0003208)	1/44	0.0065857392567594	0.0153667249324387	0	0	232.02325581395348	1165.417705666189	TGFBR2
GO_Biological_Process_2021	branching morphogenesis of an epithelial tube (GO:0048754)	1/44	0.0065857392567594	0.0153667249324387	0	0	232.02325581395348	1165.417705666189	TGFBR2
Reactome_2022	TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789	1/44	0.0065857392567594	0.0125727749447226	0	0	232.02325581395348	1165.417705666189	TGFBR2
GO_Biological_Process_2021	embryonic heart tube morphogenesis (GO:0003143)	1/47	0.0070337131109195	0.0156659973834116	0	0	216.8586956521739	1074.9773440238823	TGFBR2
GO_Biological_Process_2021	determination of heart left/right asymmetry (GO:0061371)	1/47	0.0070337131109195	0.0156659973834116	0	0	216.8586956521739	1074.9773440238823	TGFBR2
GO_Biological_Process_2021	positive regulation of reactive oxygen species metabolic process (GO:2000379)	1/49	0.0073322875730407	0.0159680929368443	0	0	207.80208333333337	1021.4444344646477	TGFBR2
GO_Biological_Process_2021	blood vessel morphogenesis (GO:0048514)	1/56	0.0083768271762176	0.0177775905689678	0	0	181.29090909090908	866.9849864024002	TGFBR2
GO_Biological_Process_2021	regulation of reactive oxygen species metabolic process (GO:2000377)	1/57	0.0085259873136886	0.0177775905689678	0	0	178.04464285714286	848.3179948344085	TGFBR2
KEGG_2021_Human	Endometrial cancer	1/58	0.0086751325027492	0.0310393222017543	0	0	174.91228070175438	830.360139497581	KRAS
