Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Pancreatic cancer	5/76	5.375906809808285e-10	6.827401648456523e-08	0	0	200.3722334004024	4276.72965355338	SMAD4;CDKN2A;AKT3;KRAS;BRCA2
Reactome_2022	Generic Transcription Pathway R-HSA-212436	9/1190	1.6961255968023396e-09	2.917336026500025e-07	0	0	47.773920406435224	964.7904647492412	KMT2D;SMAD4;ZFHX3;DAXX;CDKN2A;AKT3;TSC2;GATA1;MEN1
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	9/1312	4.023495986301771e-09	3.4602065482195226e-07	0	0	43.019953952417495	831.62366269017	KMT2D;SMAD4;ZFHX3;DAXX;CDKN2A;AKT3;TSC2;GATA1;MEN1
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	9/1449	9.669404605912596e-09	5.543791974056555e-07	0	0	38.641666666666666	713.1048744137862	KMT2D;SMAD4;ZFHX3;DAXX;CDKN2A;AKT3;TSC2;GATA1;MEN1
KEGG_2021_Human	Chronic myeloid leukemia	4/76	9.3104480691915e-08	5.912134523936603e-06	0	0	138.30555555555554	2239.103811566557	SMAD4;CDKN2A;AKT3;KRAS
Reactome_2022	Regulation Of TP53 Degradation R-HSA-6804757	3/36	1.165114570912483e-06	4.360172280083435e-05	0	0	201.56565656565655	2753.929308405045	DAXX;CDKN2A;AKT3
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	4/143	1.1862765415276138e-06	5.021904025800232e-05	0	0	71.39928057553956	974.2211291408432	SMAD4;ZFHX3;AKT3;KRAS
Reactome_2022	Regulation Of TP53 Expression And Degradation R-HSA-6806003	3/37	1.2674919418847194e-06	4.360172280083435e-05	0	0	195.62745098039215	2656.3215641045117	DAXX;CDKN2A;AKT3
KEGG_2021_Human	Cellular senescence	4/156	1.679074790814786e-06	5.331062460836945e-05	0	0	65.25	867.6467132492631	CDKN2A;AKT3;TSC2;KRAS
KEGG_2021_Human	Hepatocellular carcinoma	4/168	2.2560319027645705e-06	5.730321033022009e-05	0	0	60.4390243902439	785.8223375610082	SMAD4;CDKN2A;AKT3;KRAS
GO_Biological_Process_2021	regulation of cellular macromolecule biosynthetic process (GO:2000112)	5/468	4.7482997128176135e-06	0.0009092697992046104	0	0	30.121875964208577	369.2256407023876	KMT2D;ZFHX3;DAXX;BRCA2;GATA1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	4/219	6.462770512528016e-06	0.0001221067575662884	0	0	45.98372093023256	549.4802871989486	SMAD4;CDKN2A;AKT3;KRAS
Reactome_2022	RUNX3 Regulates CDKN1A Transcription R-HSA-8941855	2/7	6.918336203504576e-06	0.00019832563783379783	0	0	799.32	9496.988892240155	SMAD4;ZFHX3
KEGG_2021_Human	Human cytomegalovirus infection	4/225	7.192075749385283e-06	0.0001221067575662884	0	0	44.72171945701358	529.6183368965559	CDKN2A;AKT3;TSC2;KRAS
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	6/948	8.064368200449377e-06	0.0009092697992046104	0	0	20.21868365180467	237.1258376950504	SMAD4;ZFHX3;DAXX;CDKN2A;GATA1;MEN1
GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	8/2244	8.094389903898609e-06	0.0009092697992046104	0	0	15.8783542039356	186.16321285883672	KMT2D;SMAD4;ZFHX3;DAXX;CDKN2A;BRCA2;GATA1;MEN1
KEGG_2021_Human	Pathways in cancer	5/531	8.785597467790397e-06	0.0001221067575662884	0	0	26.428571428571427	307.69191618560654	SMAD4;CDKN2A;AKT3;KRAS;BRCA2
KEGG_2021_Human	Non-small cell lung cancer	3/72	9.61470532018019e-06	0.0001221067575662884	0	0	96.2270531400966	1111.6357825284751	CDKN2A;AKT3;KRAS
KEGG_2021_Human	Melanoma	3/72	9.61470532018019e-06	0.0001221067575662884	0	0	96.2270531400966	1111.6357825284751	CDKN2A;AKT3;KRAS
KEGG_2021_Human	Glioma	3/75	1.0874846030631151e-05	0.00012555504053546874	0	0	92.20370370370372	1053.801490278521	CDKN2A;AKT3;KRAS
KEGG_2021_Human	Colorectal cancer	3/86	1.6420668661716537e-05	0.0001737854100031667	0	0	79.93975903614458	880.6939057145314	SMAD4;AKT3;KRAS
Reactome_2022	Disease R-HSA-1643685	7/1736	1.9639084768894503e-05	0.0004760436605261587	0	0	14.784615384615384	160.23549678588668	RNF43;SMAD4;DAXX;CDKN2A;AKT3;TSC2;BRCA2
Reactome_2022	Transcriptional Regulation By RUNX3 R-HSA-8878159	3/95	2.2141565605867847e-05	0.0004760436605261587	0	0	72.08695652173913	772.631886876677	SMAD4;ZFHX3;CDKN2A
KEGG_2021_Human	Choline metabolism in cancer	3/98	2.4305401223411224e-05	0.00023199616701586145	0	0	69.8	741.611874790431	AKT3;TSC2;KRAS
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	2.5822694403897266e-05	0.00023199616701586145	0	0	68.35395189003437	722.1087027443646	SMAD4;AKT3;KRAS
KEGG_2021_Human	Longevity regulating pathway	3/102	2.7401122088487568e-05	0.00023199616701586145	0	0	66.96632996632997	703.4763805172735	AKT3;TSC2;KRAS
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	6/1183	2.8684393097768283e-05	0.0024166601184869	0	0	15.982158028887	167.15990605798476	KMT2D;SMAD4;ZFHX3;BRCA2;GATA1;MEN1
Reactome_2022	AKT Phosphorylates Targets In Cytosol R-HSA-198323	2/14	2.9910033177640367e-05	0.0005716139673949047	0	0	332.93333333333334	3468.271932060884	AKT3;TSC2
Reactome_2022	Transcriptional Regulation By TP53 R-HSA-3700989	4/354	4.2689669900564285e-05	0.0007342623222897056	0	0	28.054285714285715	282.2696991350724	DAXX;CDKN2A;AKT3;TSC2
KEGG_2021_Human	Thyroid hormone signaling pathway	3/121	4.566374199423552e-05	0.00036245595207924446	0	0	56.12994350282486	560.9742162707886	AKT3;TSC2;KRAS
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	5/764	5.082659073354817e-05	0.0027864482634743	0	0	18.096179183135703	178.91856853883323	KMT2D;CDKN2A;TSC2;KRAS;MEN1
GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	4/371	5.125759917423465e-05	0.0027864482634743	0	0	26.731607629427792	264.072106808936	SMAD4;DAXX;KRAS;GATA1
KEGG_2021_Human	FoxO signaling pathway	3/131	5.786206237200637e-05	0.00041983180171569753	0	0	51.71875	504.6430455506087	SMAD4;AKT3;KRAS
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	2/20	6.232515501994467e-05	0.0027864482634743	0	0	221.88888888888889	2148.58238291385	CDKN2A;MEN1
KEGG_2021_Human	Insulin signaling pathway	3/137	6.611524436467678e-05	0.00041983180171569753	0	0	49.38805970149254	475.316179107482	AKT3;TSC2;KRAS
KEGG_2021_Human	Autophagy	3/137	6.611524436467678e-05	0.00041983180171569753	0	0	49.38805970149254	475.316179107482	AKT3;TSC2;KRAS
KEGG_2021_Human	Apelin signaling pathway	3/137	6.611524436467678e-05	0.00041983180171569753	0	0	49.38805970149254	475.316179107482	SMAD4;AKT3;KRAS
KEGG_2021_Human	Apoptosis	3/142	7.355453278169462e-05	0.00044482979348929607	0	0	47.59952038369305	453.0276491095792	DAXX;AKT3;KRAS
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	2/22	7.572389207798609e-05	0.0027864482634743	0	0	199.68	1894.6470730177257	CDKN2A;MEN1
KEGG_2021_Human	Breast cancer	3/147	8.15225290910805e-05	0.00044905902399029594	0	0	45.93518518518518	432.4628251119535	AKT3;KRAS;BRCA2
KEGG_2021_Human	Phospholipase D signaling pathway	3/148	8.318105963217211e-05	0.00044905902399029594	0	0	45.61609195402299	428.5399600579239	AKT3;TSC2;KRAS
KEGG_2021_Human	Gastric cancer	3/149	8.486154784068585e-05	0.00044905902399029594	0	0	45.3013698630137	424.6772151390059	SMAD4;AKT3;KRAS
Reactome_2022	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	4/424	8.613130998441794e-05	0.0013467804833927	0	0	23.295238095238098	218.03498558260824	RNF43;SMAD4;AKT3;TSC2
GO_Biological_Process_2021	positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	2/24	9.041513427391056e-05	0.0027864482634743	0	0	181.5090909090909	1690.049094896529	SMAD4;MEN1
GO_Biological_Process_2021	positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	2/24	9.041513427391056e-05	0.0027864482634743	0	0	181.5090909090909	1690.049094896529	SMAD4;MEN1
GO_Biological_Process_2021	regulation of nucleic acid-templated transcription (GO:1903506)	4/430	9.095231720539457e-05	0.0027864482634743	0	0	22.960093896713616	213.64769575554575	KMT2D;ZFHX3;DAXX;BRCA2
KEGG_2021_Human	mTOR signaling pathway	3/154	9.359804139523996e-05	0.0004660562247351053	0	0	43.79028697571744	406.2206452979906	AKT3;TSC2;KRAS
KEGG_2021_Human	Cushing syndrome	3/155	9.541308537884043e-05	0.0004660562247351053	0	0	43.5	402.6923249142892	KMT2D;CDKN2A;MEN1
Reactome_2022	Regulation Of TP53 Activity R-HSA-5633007	3/157	9.911198337197704e-05	0.001407704637589	0	0	42.93073593073593	395.7896252054084	DAXX;CDKN2A;AKT3
Reactome_2022	Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400	2/26	0.00010639628074801148	0.001407704637589	0	0	166.36666666666667	1521.9788208594728	AKT3;TSC2
KEGG_2021_Human	Hepatitis B	3/162	0.0001087668014740999	0.0005116068069337291	0	0	41.57023060796646	379.38257865678554	SMAD4;AKT3;KRAS
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	5/908	0.00011565967619876464	0.0031648995141196	0	0	15.096503717766176	136.84767011924768	KMT2D;SMAD4;ZFHX3;GATA1;MEN1
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	4/464	0.00012208811182063783	0.0031648995141196	0	0	21.22608695652174	191.26333547372903	SMAD4;DAXX;CDKN2A;MEN1
GO_Biological_Process_2021	beta-catenin-TCF complex assembly (GO:1904837)	2/29	0.00013278088986713743	0.0031951621513702	0	0	147.85925925925926	1319.9115485815607	KMT2D;MEN1
GO_Biological_Process_2021	histone H3-K4 methylation (GO:0051568)	2/30	0.00014221789991262262	0.0031951621513702	0	0	142.57142857142858	1262.919124249693	KMT2D;MEN1
GO_Biological_Process_2021	regulation of cellular senescence (GO:2000772)	2/31	0.0001519754404094439	0.0032009827136239	0	0	137.64827586206897	1210.1749591161836	CDKN2A;AKT3
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	4/511	0.00017708511323590414	0.0034293121957797	0	0	19.212031558185405	165.97043663269312	SMAD4;ZFHX3;BRCA2;GATA1
