Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	SMAD4	1.0	1.0	1.0
0	GATA1	0.2	0.0	0.5556
0	AKT3	0.2	0.0	0.5556
0	CASP8	0.2	0.0	0.5556
0	FANCA	0.2	0.0	0.5556
0	HIST1H1C	0.2	0.0	0.5556
1	ZFHX3	0.3438	0.2069	0.5289
1	KMT2D	0.3281	0.1355	0.5161
1	BRCA2	0.3125	0.1672	0.5517
1	ATM	0.3125	0.1817	0.5079
1	ARID1A	0.25	0.1641	0.4507
1	DOT1L	0.2344	0.0612	0.5161
1	NOTCH3	0.2344	0.0685	0.5039
1	BCOR	0.1875	0.0709	0.4848
1	AXIN1	0.1562	0.0199	0.4776
1	EPHA7	0.1562	0.0636	0.4444
1	KMT2C	0.1406	0.089	0.4324
1	PREX2	0.1406	0.055	0.4354
1	NTRK3	0.125	0.0088	0.4706
1	ERF	0.125	0.0113	0.4238
1	EP300	0.125	0.0369	0.4776
1	PIK3CA	0.1094	0.0508	0.4076
1	INPPL1	0.0938	0.0043	0.381
1	RBM10	0.0938	0.0698	0.4
1	ANKRD11	0.0938	0.0046	0.4076
1	NOTCH1	0.0938	0.0337	0.4238
1	BRAF	0.0938	0.0149	0.4354
1	RICTOR	0.0781	0.0039	0.4
1	GNAS	0.0781	0.0739	0.4076
1	CREBBP	0.0781	0.0135	0.3926
1	SETD2	0.0781	0.017	0.4051
1	APC	0.0781	0.0099	0.3926
1	FAT1	0.0625	0.0075	0.4324
1	AMER1	0.0625	0.0331	0.3975
1	PRDM14	0.0625	0.0026	0.4
1	MSH2	0.0625	0.0033	0.4129
1	KMT2A	0.0625	0.0061	0.3855
1	JAK2	0.0469	0.0003	0.3536
1	KDM5C	0.0469	0.0002	0.3516
1	LATS2	0.0469	0.0	0.3832
1	PTPRS	0.0469	0.0008	0.3184
1	CDK12	0.0469	0.0049	0.3699
1	KDM5A	0.0469	0.0033	0.3926
1	INSR	0.0469	0.0003	0.4051
1	ERBB4	0.0312	0.0007	0.3062
1	CSF1R	0.0312	0.0003	0.3765
1	PBRM1	0.0312	0.0045	0.3616
1	PIK3CD	0.0312	0.0	0.3636
1	CBL	0.0312	0.0312	0.3422
1	ALK	0.0312	0.0	0.3282
1	ARID1B	0.0312	0.0003	0.3699
1	ARID2	0.0312	0.0312	0.2936
1	FLT4	0.0312	0.003	0.3657
1	WHSC1L1	0.0156	0.0	0.3122
1	SPEN	0.0156	0.0	0.3092
1	AXIN2	0.0156	0.0	0.3386
1	AXL	0.0156	0.0	0.2857
1	AR	0.0156	0.0	0.287
1	PGR	0.0156	0.0	0.2991
1	BRCA1	0.0156	0.0	0.3033
1	RPTOR	0.0156	0.0	0.3122
1	SRC	0.0156	0.0	0.287
1	POLD1	0.0156	0.0	0.3478
1	NCOR1	0.0156	0.0	0.3122
1	PTPRD	0.0156	0.0	0.3033
1	IRS1	0.0156	0.0	0.256
1	TET2	0.0156	0.0	0.2278
1	NTRK1	0.0156	0.0	0.2909
1	TET1	0.0156	0.0	0.3048
1	SMAD2	0.0156	0.0	0.3122
1	PALB2	0.0156	0.0	0.3386
2	CDKN2A	0.4615	0.641	0.5652
2	KRAS	0.3846	0.7179	0.619
2	RNF43	0.3077	0.2949	0.4643
2	TGFBR2	0.1538	0.0	0.4333
2	TP53	0.1538	0.1538	0.4194
2	U2AF1	0.0769	0.0	0.3023
2	JAK3	0.0769	0.0	0.325
2	RET	0.0769	0.0	0.325
2	PTPN11	0.0769	0.0	0.3714
2	KDM6A	0.0769	0.0	0.3939
2	ABL1	0.0769	0.0	0.3714
2	TBX3	0.0769	0.0	0.3714
2	ICOSLG	0.0769	0.0	0.3714
2	REL	0.0769	0.0	0.3714
3	TSC2	0.4667	0.7762	0.6
3	MEN1	0.4	0.319	0.4839
3	DAXX	0.2	0.0476	0.4412
3	SMARCA4	0.2	0.3619	0.4545
3	PTPRT	0.1333	0.2476	0.4286
3	FLT1	0.1333	0.1333	0.3333
3	ATRX	0.1333	0.0	0.4286
3	PTEN	0.1333	0.0	0.3409
3	RB1	0.1333	0.1333	0.3191
3	PIK3C2G	0.0667	0.0	0.3333
3	CCND2	0.0667	0.0	0.3191
3	CARD11	0.0667	0.0	0.2542
3	MET	0.0667	0.0	0.3333
3	NKX2-1	0.0667	0.0	0.3846
3	MGA	0.0667	0.0	0.2459
3	POLE	0.0667	0.0	0.3846
