Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Bladder cancer	2/41	1.2283872799867455e-05	0.0005899170735839752	0	0	1023.4871794871794	11572.79809377594	CDKN2A;KRAS
KEGG_2021_Human	Melanoma	2/72	3.825055232969356e-05	0.0005899170735839752	0	0	569.3428571428572	5790.986926267435	CDKN2A;KRAS
KEGG_2021_Human	Non-small cell lung cancer	2/72	3.825055232969356e-05	0.0005899170735839752	0	0	569.3428571428572	5790.986926267435	CDKN2A;KRAS
KEGG_2021_Human	Glioma	2/75	4.152375826331664e-05	0.0005899170735839752	0	0	545.8630136986301	5507.345575890424	CDKN2A;KRAS
KEGG_2021_Human	Chronic myeloid leukemia	2/76	4.264460772896206e-05	0.0005899170735839752	0	0	538.4594594594595	5418.307392068358	CDKN2A;KRAS
KEGG_2021_Human	Pancreatic cancer	2/76	4.264460772896206e-05	0.0005899170735839752	0	0	538.4594594594595	5418.307392068358	CDKN2A;KRAS
GO_Biological_Process_2021	small GTPase mediated signal transduction (GO:0007264)	2/106	8.318623739974671e-05	0.0052313126844844	0	0	382.5576923076923	3593.910940948432	CDKN2A;KRAS
GO_Biological_Process_2021	Ras protein signal transduction (GO:0007265)	2/142	0.00014946607669955573	0.0052313126844844	0	0	283.6714285714286	2498.7030710591503	CDKN2A;KRAS
KEGG_2021_Human	Cellular senescence	2/156	0.0001804215708467929	0.0021392843400405	0	0	257.7012987012987	2221.4404421399886	CDKN2A;KRAS
KEGG_2021_Human	Hepatocellular carcinoma	2/168	0.0002092588190092538	0.002171060247221	0	0	238.9277108433735	2024.180920875619	CDKN2A;KRAS
KEGG_2021_Human	Viral carcinogenesis	2/203	0.0003054899059331948	0.0028172957991616	0	0	196.97512437810943	1594.2366495640113	CDKN2A;KRAS
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	0.00035548173580292634	0.0028310353560347	0	0	182.30414746543775	1447.8662272028034	CDKN2A;KRAS
KEGG_2021_Human	Human cytomegalovirus infection	2/225	0.0003751974568238888	0.0028310353560347	0	0	177.34529147982062	1398.9099663314653	CDKN2A;KRAS
KEGG_2021_Human	MicroRNAs in cancer	2/310	0.000711065962322313	0.0049182062393959	0	0	127.85064935064936	926.7568010556682	CDKN2A;KRAS
GO_Biological_Process_2021	histone H3-K27 demethylation (GO:0071557)	1/5	0.0007498314718703743	0.0124014155809178	0	0	2499.125	17982.858997820545	KDM6A
GO_Biological_Process_2021	regulation of macrophage apoptotic process (GO:2000109)	1/6	0.0008997538788767587	0.0124014155809178	0	0	1999.2	14021.167888467728	CDKN2A
GO_Biological_Process_2021	positive regulation of myeloid cell apoptotic process (GO:0033034)	1/8	0.0011995541091196	0.0124014155809178	0	0	1427.857142857143	9603.48923469958	CDKN2A
GO_Biological_Process_2021	positive regulation of smooth muscle cell apoptotic process (GO:0034393)	1/9	0.0013494318923464	0.0124014155809178	0	0	1249.3125	8255.5464452602	CDKN2A
GO_Biological_Process_2021	regulation of smooth muscle cell apoptotic process (GO:0034391)	1/9	0.0013494318923464	0.0124014155809178	0	0	1249.3125	8255.5464452602	CDKN2A
Reactome_2022	RUNX3 Regulates p14-ARF R-HSA-8951936	1/10	0.0014992947695318	0.0286610851891586	0	0	1110.4444444444443	7220.954198683598	CDKN2A
GO_Biological_Process_2021	positive regulation of leukocyte apoptotic process (GO:2000108)	1/11	0.0016491427308511	0.0124014155809178	0	0	999.35	6403.334808352065	CDKN2A
GO_Biological_Process_2021	positive regulation of cellular senescence (GO:2000774)	1/12	0.0017989757687595	0.0124014155809178	0	0	908.4545454545456	5741.921288120221	CDKN2A
GO_Biological_Process_2021	replicative senescence (GO:0090399)	1/12	0.0017989757687595	0.0124014155809178	0	0	908.4545454545456	5741.921288120221	CDKN2A
GO_Biological_Process_2021	positive regulation of cell aging (GO:0090343)	1/13	0.0019487938770013	0.0124014155809178	0	0	832.7083333333334	5196.553511599695	CDKN2A
KEGG_2021_Human	Pathways in cancer	2/531	0.0020735672725505	0.0132389295093611	0	0	73.60302457466919	454.7551711332719	CDKN2A;KRAS
Reactome_2022	SUMOylation Of Transcription Factors R-HSA-3232118	1/19	0.002847388777574	0.0286610851891586	0	0	554.9722222222222	3252.888056951129	CDKN2A
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	1/20	0.0029971022769704	0.0159509001402934	0	0	525.7368421052631	3054.5885497256336	CDKN2A
Reactome_2022	Apoptotic Factor-Mediated Response R-HSA-111471	1/20	0.0029971022769704	0.0286610851891586	0	0	525.7368421052631	3054.5885497256336	CDKN2A
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	1/22	0.003296484417552	0.0159509001402934	0	0	475.6190476190476	2718.114679972292	CDKN2A
GO_Biological_Process_2021	negative regulation of phosphate metabolic process (GO:0045936)	1/22	0.003296484417552	0.0159509001402934	0	0	475.6190476190476	2718.114679972292	CDKN2A
Reactome_2022	Defective Intrinsic Pathway For Apoptosis R-HSA-9734009	1/24	0.0035958067387344	0.0286610851891586	0	0	434.2173913043478	2443.7697931466887	CDKN2A
GO_Biological_Process_2021	heterochromatin assembly (GO:0031507)	1/24	0.0035958067387344	0.0159509001402934	0	0	434.2173913043478	2443.7697931466887	CDKN2A
GO_Biological_Process_2021	histone lysine demethylation (GO:0070076)	1/26	0.003895069234369	0.0159509001402934	0	0	399.44	2216.1106253087632	KDM6A
Reactome_2022	HDMs Demethylate Histones R-HSA-3214842	1/26	0.003895069234369	0.0286610851891586	0	0	399.44	2216.1106253087632	KDM6A
