Cluster_ID	Gene
0	AR
0	ARID1A
0	ARID1B
0	ATM
0	AXIN1
0	AXIN2
0	BCOR
0	BRAF
0	BRCA2
0	CSF1R
0	DOT1L
0	EP300
0	FAT1
0	FLT4
0	GNAS
0	INPPL1
0	INSR
0	JAK3
0	KMT2D
0	LATS2
0	MGA
0	NOTCH3
0	NTRK3
0	PALB2
0	PIK3CD
0	POLD1
0	PTEN
0	PTPRS
0	PTPRT
0	RB1
0	RBM10
0	RET
0	RNF43
0	RPTOR
0	SMAD2
0	SRC
0	TGFBR2
0	TSC2
0	ZFHX3
1	AKT3
1	ANKRD11
1	CASP8
1	CTCF
1	FANCA
1	GATA1
1	HIST1H1C
1	KDM6A
1	KMT2A
1	PIK3CA
1	PREX2
1	SETD2
1	SMAD4
1	TET1
2	ABL1
2	BAP1
2	CDKN2A
2	KRAS
2	PTPN11
2	REL
2	TP53
2	U2AF1
3	BRCA1
3	CCND2
3	FLT1
3	KMT2C
3	PTPRD
3	SMARCA4
4	ERF
4	JAK2
