Metodo	Cluster_ID	Gene
Leiden	0	NTRK3
Leiden	0	ANKRD11
Leiden	0	EP300
Leiden	0	PTPRD
Leiden	0	TET1
Leiden	0	RBM10
Leiden	0	PTPRS
Leiden	0	PALB2
Leiden	0	KMT2A
Leiden	0	SRC
Leiden	0	PIK3CA
Leiden	0	CBL
Leiden	0	AXL
Leiden	0	ATM
Leiden	0	KMT2C
Leiden	0	GNAS
Leiden	0	INPPL1
Leiden	0	IRS1
Leiden	0	AXIN1
Leiden	0	JAK2
Leiden	0	DOT1L
Leiden	0	MSH2
Leiden	0	AR
Leiden	0	TET2
Leiden	0	ALK
Leiden	0	CDK12
Leiden	0	ERF
Leiden	0	ERBB4
Leiden	0	BRCA1
Leiden	0	ARID1A
Leiden	0	SPEN
Leiden	0	KDM5C
Leiden	0	LATS2
Leiden	0	PIK3CD
Leiden	0	CSF1R
Leiden	0	POLD1
Leiden	0	SMAD2
Leiden	0	EPHA7
Leiden	0	WHSC1L1
Leiden	0	KDM5A
Leiden	0	ARID1B
Leiden	0	AMER1
Leiden	0	KMT2D
Leiden	0	AXIN2
Leiden	0	FLT4
Leiden	0	RPTOR
Leiden	0	ARID2
Leiden	0	BCOR
Leiden	0	FAT1
Leiden	0	NTRK1
Leiden	0	NOTCH3
Leiden	0	APC
Leiden	0	SETD2
Leiden	0	PRDM14
Leiden	0	BRCA2
Leiden	0	PGR
Leiden	0	CREBBP
Leiden	0	INSR
Leiden	0	PREX2
Leiden	0	NOTCH1
Leiden	0	PBRM1
Leiden	0	ZFHX3
Leiden	0	NCOR1
Leiden	0	BRAF
Leiden	0	RICTOR
Leiden	1	ATRX
Leiden	1	NKX2-1
Leiden	1	FLT1
Leiden	1	PTEN
Leiden	1	CARD11
Leiden	1	MGA
Leiden	1	RB1
Leiden	1	TSC2
Leiden	1	PTPRT
Leiden	1	CCND2
Leiden	1	DAXX
Leiden	1	PIK3C2G
Leiden	1	MEN1
Leiden	1	SMARCA4
Leiden	1	POLE
Leiden	1	MET
Leiden	2	TBX3
Leiden	2	ICOSLG
Leiden	2	KDM6A
Leiden	2	RNF43
Leiden	2	ABL1
Leiden	2	PTPN11
Leiden	2	REL
Leiden	2	JAK3
Leiden	2	TGFBR2
Leiden	2	RET
Leiden	2	CDKN2A
Leiden	2	U2AF1
Leiden	2	TP53
Leiden	2	KRAS
Leiden	3	SMAD4
Leiden	3	HIST1H1C
Leiden	3	FANCA
Leiden	3	CASP8
Leiden	3	GATA1
Leiden	3	AKT3
