Metodo	Cluster_ID	Gene
Louvain	0	RB1
Louvain	0	BCOR
Louvain	0	RBM10
Louvain	0	PALB2
Louvain	0	EP300
Louvain	0	NTRK3
Louvain	0	TGFBR2
Louvain	0	MGA
Louvain	0	AR
Louvain	0	RET
Louvain	0	FAT1
Louvain	0	FLT4
Louvain	0	AXIN2
Louvain	0	PTPRT
Louvain	0	ARID1A
Louvain	0	SRC
Louvain	0	ARID1B
Louvain	0	POLD1
Louvain	0	SETD2
Louvain	0	TSC2
Louvain	0	RNF43
Louvain	0	LATS2
Louvain	0	PTPRS
Louvain	0	SMAD2
Louvain	0	PTEN
Louvain	0	KMT2D
Louvain	0	ZFHX3
Louvain	0	CSF1R
Louvain	0	AXIN1
Louvain	0	RPTOR
Louvain	0	PIK3CD
Louvain	0	INPPL1
Louvain	0	NOTCH3
Louvain	0	BRCA2
Louvain	0	INSR
Louvain	0	JAK3
Louvain	0	GNAS
Louvain	0	BRAF
Louvain	0	ATM
Louvain	0	DOT1L
Louvain	1	SMARCA4
Louvain	1	BRCA1
Louvain	1	KMT2C
Louvain	1	FLT1
Louvain	1	CCND2
Louvain	1	PTPRD
Louvain	2	TET1
Louvain	2	KMT2A
Louvain	2	FANCA
Louvain	2	CASP8
Louvain	2	SMAD4
Louvain	2	GATA1
Louvain	2	HIST1H1C
Louvain	2	PIK3CA
Louvain	2	PREX2
Louvain	2	KDM6A
Louvain	2	CTCF
Louvain	2	AKT3
Louvain	2	ANKRD11
Louvain	3	JAK2
Louvain	3	ERF
Louvain	4	TP53
Louvain	4	CDKN2A
Louvain	4	REL
Louvain	4	U2AF1
Louvain	4	ABL1
Louvain	4	BAP1
Louvain	4	KRAS
Louvain	4	PTPN11
