Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Hepatitis B	3/162	1.0248219937739922e-05	0.0011478006330268	SMAD4;CASP8;AKT3
0	KEGG_2021_Human	Chronic myeloid leukemia	2/76	0.0002116527257361983	0.0046776634448972	SMAD4;AKT3
0	KEGG_2021_Human	Pancreatic cancer	2/76	0.0002116527257361983	0.0046776634448972	SMAD4;AKT3
0	GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	2/80	0.00023454944800385777	0.0241554190796127	CASP8;GATA1
0	KEGG_2021_Human	Colorectal cancer	2/86	0.00027107354046006227	0.0046776634448972	SMAD4;AKT3
0	KEGG_2021_Human	Pathways in cancer	3/531	0.0003505841855305227	0.0046776634448972	SMAD4;CASP8;AKT3
0	KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	0.0003664321680484968	0.0046776634448972	SMAD4;AKT3
0	KEGG_2021_Human	Chagas disease	2/102	0.000381209751704544	0.0046776634448972	CASP8;AKT3
0	KEGG_2021_Human	Toll-like receptor signaling pathway	2/104	0.0003962753614965705	0.0046776634448972	CASP8;AKT3
0	KEGG_2021_Human	C-type lectin receptor signaling pathway	2/104	0.0003962753614965705	0.0046776634448972	CASP8;AKT3
0	KEGG_2021_Human	TNF signaling pathway	2/112	0.00045941337405240465	0.0046776634448972	CASP8;AKT3
0	KEGG_2021_Human	Toxoplasmosis	2/112	0.00045941337405240465	0.0046776634448972	CASP8;AKT3
0	KEGG_2021_Human	FoxO signaling pathway	2/131	0.0006277332252970674	0.0052310211308531	SMAD4;AKT3
0	KEGG_2021_Human	Apelin signaling pathway	2/137	0.0006862332622619815	0.0052310211308531	SMAD4;AKT3
0	KEGG_2021_Human	Measles	2/139	0.0007063014590670453	0.0052310211308531	CASP8;AKT3
0	KEGG_2021_Human	Apoptosis	2/142	0.0007369356271309148	0.0052310211308531	CASP8;AKT3
0	KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	2/143	0.0007472887329790241	0.0052310211308531	SMAD4;AKT3
0	KEGG_2021_Human	Gastric cancer	2/149	0.0008108933574650148	0.0053032237899047	SMAD4;AKT3
0	KEGG_2021_Human	Non-alcoholic fatty liver disease	2/155	0.0008770408644773522	0.0053032237899047	CASP8;AKT3
0	KEGG_2021_Human	Hepatitis C	2/157	0.0008996540357874079	0.0053032237899047	CASP8;AKT3
0	KEGG_2021_Human	Hepatocellular carcinoma	2/168	0.0010290541338208	0.0057504709555637	SMAD4;AKT3
0	KEGG_2021_Human	Influenza A	2/172	0.0010782133041681	0.0057504709555637	CASP8;AKT3
0	KEGG_2021_Human	Tuberculosis	2/180	0.001179888359317	0.0060067043747048	CASP8;AKT3
0	KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	2/193	0.001354623195509	0.0065964259955221	CASP8;AKT3
0	KEGG_2021_Human	Epstein-Barr virus infection	2/202	0.0014824644333117	0.0069181673554546	CASP8;AKT3
0	GO_Biological_Process_2021	regulation of glycoprotein metabolic process (GO:1903018)	1/5	0.0014992198216206	0.0241554190796127	GATA1
0	GO_Biological_Process_2021	positive regulation of cell proliferation involved in heart morphogenesis (GO:2000138)	1/5	0.0014992198216206	0.0241554190796127	SMAD4
0	GO_Biological_Process_2021	positive regulation of histone H3-K9 acetylation (GO:2000617)	1/5	0.0014992198216206	0.0241554190796127	SMAD4
0	GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	1/5	0.0014992198216206	0.0241554190796127	SMAD4
0	GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	1/5	0.0014992198216206	0.0241554190796127	SMAD4
0	GO_Cellular_Component_2021	CD95 death-inducing signaling complex (GO:0031265)	1/5	0.0014992198216206	0.0107903653615248	CASP8
0	KEGG_2021_Human	Human immunodeficiency virus 1 infection	2/212	0.0016310745215249	0.0072144514646243	CASP8;AKT3
0	GO_Molecular_Function_2021	transcription regulatory region nucleic acid binding (GO:0001067)	2/212	0.0016310745215249	0.0192517216852051	SMAD4;GATA1
0	KEGG_2021_Human	Lipid and atherosclerosis	2/215	0.0016770008542963	0.0072144514646243	CASP8;AKT3
0	KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	0.0017391981209362	0.0072144514646243	SMAD4;AKT3
0	GO_Biological_Process_2021	negative regulation of cardiac muscle cell differentiation (GO:2000726)	1/6	0.0017988408901478	0.0241554190796127	SMAD4
0	KEGG_2021_Human	Human cytomegalovirus infection	2/225	0.001834552070572	0.0073382082822883	CASP8;AKT3
0	GO_Biological_Process_2021	SMAD protein complex assembly (GO:0007183)	1/7	0.0020983872819732	0.0241554190796127	SMAD4
0	GO_Biological_Process_2021	regulation of transforming growth factor beta2 production (GO:0032909)	1/7	0.0020983872819732	0.0241554190796127	SMAD4
0	GO_Biological_Process_2021	atrioventricular valve formation (GO:0003190)	1/7	0.0020983872819732	0.0241554190796127	SMAD4
0	GO_Biological_Process_2021	TRAIL-activated apoptotic signaling pathway (GO:0036462)	1/7	0.0020983872819732	0.0241554190796127	CASP8
0	GO_Biological_Process_2021	death-inducing signaling complex assembly (GO:0071550)	1/7	0.0020983872819732	0.0241554190796127	CASP8
0	KEGG_2021_Human	Salmonella infection	2/249	0.0022405481775781	0.0086531515823707	CASP8;AKT3
0	GO_Biological_Process_2021	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269)	1/8	0.0023978589692277	0.0241554190796127	CASP8
0	GO_Biological_Process_2021	negative regulation of muscle hypertrophy (GO:0014741)	1/8	0.0023978589692277	0.0241554190796127	SMAD4
0	GO_Biological_Process_2021	self proteolysis (GO:0097264)	1/8	0.0023978589692277	0.0241554190796127	CASP8
0	GO_Cellular_Component_2021	death-inducing signaling complex (GO:0031264)	1/8	0.0023978589692277	0.0107903653615248	CASP8
0	GO_Biological_Process_2021	protein-containing complex assembly (GO:0065003)	2/267	0.0025706827099481	0.0241554190796127	CASP8;FANCA
0	GO_Biological_Process_2021	negative regulation of necroptotic process (GO:0060546)	1/9	0.0026972559359141	0.0241554190796127	CASP8
0	GO_Biological_Process_2021	regulation of glycoprotein biosynthetic process (GO:0010559)	1/10	0.0029965781728721	0.0241554190796127	GATA1
0	GO_Molecular_Function_2021	cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097199)	1/10	0.0029965781728721	0.0192517216852051	CASP8
