Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Thyroid cancer	2/37	1.9933285979787188e-05	0.0007997464472615098	KRAS;TP53
0	KEGG_2021_Human	Bladder cancer	2/41	2.4535984484988297e-05	0.0007997464472615098	KRAS;TP53
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	3/451	4.480127394826046e-05	0.0119619401441855	RNF43;KRAS;TP53
0	KEGG_2021_Human	Endometrial cancer	2/58	4.94051825135443e-05	0.0007997464472615098	KRAS;TP53
0	KEGG_2021_Human	Mitophagy	2/68	6.804004293678513e-05	0.0007997464472615098	KRAS;TP53
0	KEGG_2021_Human	Central carbon metabolism in cancer	2/70	7.212240452536874e-05	0.0007997464472615098	KRAS;TP53
0	KEGG_2021_Human	Melanoma	2/72	7.632311792468519e-05	0.0007997464472615098	KRAS;TP53
0	KEGG_2021_Human	Non-small cell lung cancer	2/72	7.632311792468519e-05	0.0007997464472615098	KRAS;TP53
0	KEGG_2021_Human	Glioma	2/75	8.284599327123829e-05	0.0007997464472615098	KRAS;TP53
0	KEGG_2021_Human	Chronic myeloid leukemia	2/76	8.507940928313934e-05	0.0007997464472615098	KRAS;TP53
0	KEGG_2021_Human	Pancreatic cancer	2/76	8.507940928313934e-05	0.0007997464472615098	KRAS;TP53
0	KEGG_2021_Human	Colorectal cancer	2/86	0.00010903795493729443	0.0009317788876459708	KRAS;TP53
0	Reactome_Pathways_2024	Transcriptional Regulation by RUNX3	2/86	0.00010903795493729443	0.0145565669841288	KRAS;TP53
0	KEGG_2021_Human	Prostate cancer	2/97	0.00013879851713065886	0.0010872550508568	KRAS;TP53
0	KEGG_2021_Human	Longevity regulating pathway	2/102	0.0001535036034265559	0.0011099491324689	KRAS;TP53
0	GO_Biological_Process_2021	small GTPase mediated signal transduction (GO:0007264)	2/106	0.00016579685908668418	0.0155868622075649	KRAS;TP53
0	Reactome_Pathways_2024	Maternal to Zygotic Transition (MZT)	2/109	0.00017532524303600028	0.015603946630204	TP53;KDM6A
0	KEGG_2021_Human	Sphingolipid signaling pathway	2/119	0.00020899373566679572	0.0012694651716275	KRAS;TP53
