Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Pathways in cancer	17/531	3.73427494474105e-17	6.572323902744249e-15	RB1;RET;SMAD2;CSF1R;NOTCH3;FLT4;PTEN;AXIN1;PIK3CD;BRAF;AXIN2;BRCA2;TGFBR2;AR;GNAS;EP300;JAK3
0	KEGG_2021_Human	Hepatocellular carcinoma	10/168	6.878596073409966e-13	6.053164544600769e-11	RB1;SMAD2;PTEN;AXIN1;PIK3CD;BRAF;AXIN2;ARID1A;ARID1B;TGFBR2
0	Reactome_Pathways_2024	Generic Transcription Pathway	18/1230	2.5382360738539385e-12	1.39856807669352e-09	RB1;RET;SMAD2;CSF1R;KMT2D;NOTCH3;ZFHX3;SRC;MGA;PTEN;AXIN1;TSC2;ARID1A;ARID1B;RPTOR;AR;EP300;ATM
0	KEGG_2021_Human	Breast cancer	9/147	8.585171077357406e-12	5.036633698716344e-10	RB1;NOTCH3;FLT4;PTEN;AXIN1;PIK3CD;BRAF;AXIN2;BRCA2
0	Reactome_Pathways_2024	RNA Polymerase II Transcription	18/1360	1.3663006571913386e-11	3.580014000301418e-09	RB1;RET;SMAD2;CSF1R;KMT2D;NOTCH3;ZFHX3;SRC;MGA;PTEN;AXIN1;TSC2;ARID1A;ARID1B;RPTOR;AR;EP300;ATM
0	Reactome_Pathways_2024	Signal Transduction	23/2613	1.9491909257539484e-11	3.580014000301418e-09	RET;SMAD2;KMT2D;NOTCH3;RNF43;PTPRS;SRC;FLT4;INSR;NTRK3;PTEN;AXIN1;PIK3CD;TSC2;BRAF;AXIN2;TGFBR2;RPTOR;AR;LATS2;GNAS;EP300;JAK3
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	12/451	3.3675369477922394e-11	4.6387821455838095e-09	RB1;SMAD2;RNF43;SRC;NTRK3;PTEN;AXIN1;PIK3CD;EP300;TSC2;BRAF;TGFBR2
0	GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	13/625	9.214936944640976e-11	4.9001528685229265e-08	CSF1R;KMT2D;ZFHX3;FLT4;INSR;NTRK3;DOT1L;PTEN;AXIN2;TGFBR2;RPTOR;AR;ATM
0	GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	12/496	1.0093002818790784e-10	4.9001528685229265e-08	RET;SMAD2;CSF1R;LATS2;SRC;FLT4;INSR;PIK3CD;BRAF;ATM;JAK3;TGFBR2
0	Reactome_Pathways_2024	Gene Expression (Transcription)	18/1615	2.3374460309855305e-10	2.5758655261460547e-08	RB1;RET;SMAD2;CSF1R;KMT2D;NOTCH3;ZFHX3;SRC;MGA;PTEN;AXIN1;TSC2;ARID1A;ARID1B;RPTOR;AR;EP300;ATM
0	GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	8/140	2.4136100495744467e-10	7.812051193789294e-08	PTPRT;RET;CSF1R;SRC;FLT4;INSR;NTRK3;JAK3
0	KEGG_2021_Human	Human papillomavirus infection	10/331	5.591461102443305e-10	2.4602428850750543e-08	RB1;NOTCH3;PTEN;AXIN1;GNAS;PIK3CD;EP300;TSC2;ATM;AXIN2
0	GO_Molecular_Function_2021	protein tyrosine kinase activity (GO:0004713)	7/108	1.466811664878711e-09	1.183738421515638e-07	RET;CSF1R;SRC;FLT4;INSR;NTRK3;JAK3
0	GO_Molecular_Function_2021	transmembrane receptor protein kinase activity (GO:0019199)	6/60	1.7032207503822127e-09	1.183738421515638e-07	RET;CSF1R;FLT4;INSR;NTRK3;TGFBR2
0	KEGG_2021_Human	FoxO signaling pathway	7/131	5.684303559401321e-09	2.000874852909265e-07	INSR;PTEN;PIK3CD;EP300;BRAF;ATM;TGFBR2
0	KEGG_2021_Human	Pancreatic cancer	6/76	7.271101465127134e-09	2.1007655883595253e-07	RB1;SMAD2;PIK3CD;BRAF;BRCA2;TGFBR2
0	KEGG_2021_Human	Human T-cell leukemia virus 1 infection	8/219	8.355317680975385e-09	2.1007655883595253e-07	RB1;SMAD2;PTEN;PIK3CD;EP300;ATM;JAK3;TGFBR2
0	KEGG_2021_Human	Gastric cancer	7/149	1.3924604592617622e-08	3.014912224231402e-07	RB1;SMAD2;AXIN1;PIK3CD;BRAF;AXIN2;TGFBR2
0	KEGG_2021_Human	Colorectal cancer	6/86	1.5417164783001486e-08	3.014912224231402e-07	SMAD2;AXIN1;PIK3CD;BRAF;AXIN2;TGFBR2
0	KEGG_2021_Human	Cellular senescence	7/156	1.913845056493429e-08	3.368367299428435e-07	RB1;SMAD2;PTEN;PIK3CD;TSC2;ATM;TGFBR2
0	Reactome_Pathways_2024	Disease	18/2131	2.0090854947309883e-08	1.8450101793279573e-06	RB1;SMAD2;NOTCH3;RNF43;SRC;NTRK3;PTEN;AXIN1;PIK3CD;TSC2;BRAF;BRCA2;PALB2;TGFBR2;GNAS;EP300;ATM;JAK3
0	KEGG_2021_Human	Hepatitis B	7/162	2.484298901862557e-08	3.9748782429800905e-07	RB1;SRC;PIK3CD;EP300;BRAF;JAK3;TGFBR2
0	GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	8/253	2.5734421110980443e-08	4.953206772750303e-06	RET;CSF1R;AR;FLT4;INSR;NTRK3;AXIN1;AXIN2
0	GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	6/94	2.6398726752278514e-08	4.953206772750303e-06	RB1;RET;CSF1R;FLT4;INSR;NTRK3
0	GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	9/371	3.0606838966531216e-08	4.953206772750303e-06	RPTOR;CSF1R;SRC;FLT4;INSR;NTRK3;AXIN1;BRAF;AXIN2
0	KEGG_2021_Human	Prostate cancer	6/97	3.1902904578748913e-08	4.6790926715498405e-07	RB1;AR;PTEN;PIK3CD;EP300;BRAF
0	GO_Biological_Process_2021	regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	6/106	5.437700313782492e-08	7.542867149546857e-06	SRC;INSR;NTRK3;PTEN;PIK3CD;TSC2
0	GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	9/408	6.907202157628115e-08	8.280206810652468e-06	PTPRT;RET;CSF1R;SRC;INSR;NTRK3;PTEN;PIK3CD;ATM
0	GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	5/56	7.674753995455429e-08	8.280206810652468e-06	CSF1R;SRC;FLT4;INSR;JAK3
0	KEGG_2021_Human	Endometrial cancer	5/58	9.18031313920206e-08	1.2428731634612018e-06	PTEN;AXIN1;PIK3CD;BRAF;AXIN2
0	GO_Molecular_Function_2021	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	5/60	1.091122834259424e-07	5.055535798735332e-06	RET;CSF1R;FLT4;INSR;NTRK3
0	GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	7/207	1.3348948850359802e-07	1.2348388574632045e-05	RET;SRC;INSR;NTRK3;PTEN;PIK3CD;TSC2
0	KEGG_2021_Human	Rap1 signaling pathway	7/210	1.472310146913371e-07	1.8509041846910949e-06	CSF1R;SRC;FLT4;INSR;GNAS;PIK3CD;BRAF
0	GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	11/764	1.4813148177823057e-07	1.2348388574632045e-05	CSF1R;KMT2D;AR;FLT4;INSR;NTRK3;DOT1L;PTEN;TSC2;AXIN2;TGFBR2
0	GO_Biological_Process_2021	circulatory system development (GO:0072359)	6/126	1.5260624397073585e-07	1.2348388574632045e-05	FLT4;NTRK3;PTEN;TSC2;BCOR;TGFBR2
0	GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	13/1183	1.94565381215683e-07	1.4532537320032935e-05	RET;SMAD2;KMT2D;ZFHX3;DOT1L;AXIN1;BRCA2;ARID1A;ARID1B;RPTOR;AR;EP300;ATM
0	GO_Biological_Process_2021	peptidyl-tyrosine phosphorylation (GO:0018108)	5/69	2.216822880920655e-07	1.5375250124099686e-05	CSF1R;SRC;FLT4;INSR;JAK3
0	GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	9/474	2.463296958415575e-07	1.5945742310810155e-05	CSF1R;KMT2D;AR;FLT4;INSR;NTRK3;DOT1L;PTEN;TGFBR2
0	KEGG_2021_Human	Insulin signaling pathway	6/137	2.507101043622457e-07	2.941665224517016e-06	RPTOR;INSR;INPPL1;PIK3CD;TSC2;BRAF
0	KEGG_2021_Human	Non-small cell lung cancer	5/72	2.7481560464855985e-07	3.0229716511341585e-06	RB1;RET;PIK3CD;BRAF;JAK3
0	KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	6/143	3.230126492179208e-07	3.3174077473095783e-06	SMAD2;ZFHX3;AXIN1;PIK3CD;AXIN2;JAK3
0	KEGG_2021_Human	PI3K-Akt signaling pathway	8/354	3.39280337793025e-07	3.3174077473095783e-06	RPTOR;CSF1R;FLT4;INSR;PTEN;PIK3CD;TSC2;JAK3
0	Reactome_Pathways_2024	Signaling by CSF1 (M-CSF) in Myeloid Cells	4/31	3.7386710564735947e-07	2.9428682173099293e-05	CSF1R;SRC;INPPL1;PIK3CD
0	GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	6/148	3.956159922922512e-07	2.4008945532235995e-05	RET;CSF1R;FLT4;INSR;NTRK3;AXIN1
0	GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	9/511	4.63099671992836e-07	2.645116361794375e-05	RET;SMAD2;AR;ZFHX3;AXIN1;EP300;BRCA2;ARID1A;ARID1B
0	KEGG_2021_Human	mTOR signaling pathway	6/154	4.999088520831835e-07	4.569862110105791e-06	RPTOR;INSR;PTEN;PIK3CD;TSC2;BRAF
0	GO_Biological_Process_2021	positive regulation of protein kinase activity (GO:0045860)	6/154	4.999088520831835e-07	2.6967305298487288e-05	RPTOR;CSF1R;SRC;INSR;AXIN1;TGFBR2
0	KEGG_2021_Human	Cushing syndrome	6/155	5.193025125120216e-07	4.569862110105791e-06	RB1;KMT2D;AXIN1;GNAS;BRAF;AXIN2
