Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	APC	2	0.0014497569356210274	6.12451902238743	0.007652470023374915
ABL1	CDKN2A	3	0.04511449770787636	3.2634460751306062	0.08745653684875637
ABL1	INPPL1	2	0.0005014206234159585	7.027116127926618	0.004579342094449977
ABL1	KDM5C	2	0.00039056077017081224	7.251087854336913	0.004278504919459149
ABL1	KDM6A	2	0.016693428673146476	4.151819064483656	0.040034845442749524
ABL1	KRAS	3	0.9246145350643203	-1.2658940599730346	1.0
ABL1	LATS2	2	0.0006258653521202439	6.832890014164741	0.005311570785933473
ABL1	SMAD4	2	0.2028104395082199	1.885136042967997	0.31135687192107
ABL1	TP53	4	0.31389777042898326	10.0	0.45168128022124326
ACVR1	KRAS	3	0.6758491958684437	10.0	0.8276396602590803
ACVR1	TP53	3	0.41959339124106476	10.0	0.5818788758940975
AGO2	KRAS	2	0.7702508758846787	10.0	0.8912669370640125
AGO2	NOTCH1	2	0.00012897900221843882	10.0	0.0025881852702798144
AGO2	TP53	2	0.5606740677163212	10.0	0.7236645752644051
AKT1	KRAS	3	0.9246145350643203	-1.2658940599730346	1.0
AKT1	TP53	4	0.31389777042898326	10.0	0.45168128022124326
AKT2	CDKN2A	2	0.4430704607075976	0.6657235126849926	0.6082453427849891
AKT2	KRAS	4	0.972990607838637	-1.8620089969276743	1.0
AKT2	TP53	4	0.8294938300386622	-0.5807747037577228	0.9496766605875809
AKT3	CDKN2A	2	0.4430704607075976	0.6657235126849926	0.6082453427849891
AKT3	KDM5C	2	0.0009679426396812215	6.247927513443585	0.006532863636238585
AKT3	KRAS	5	0.8398575465251225	-0.5253530115830009	0.9496766605875809
AKT3	RARA	2	0.0003487162117785447	7.252665432450248	0.004278504919459149
AKT3	SMAD4	4	0.021371649413115243	2.899933044896078	0.048836683145273826
AKT3	TP53	5	0.5310407150123445	0.7495108474853198	0.7055289929433367
ALK	AMER1	2	0.0017911641496102808	5.659797733643746	0.008755017592265497
ALK	ARID1A	3	0.026326245139992724	2.688438620670897	0.0569922685255056
ALK	ATM	2	0.05830441985465873	2.689713311548034	0.10826544743028624
ALK	AXIN1	2	0.005671055724747783	4.650253960972876	0.01865574229850504
ALK	BCOR	2	0.011534637829084989	4.055684132577678	0.03016933891478791
ALK	BRCA2	2	0.0139016983957869	3.9004643264490855	0.03455610319591271
