Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	BRAF	4	802	8	50	1.0280978243865567e-07	-5.003602236680195	4.215201079984883e-05
KRAS	CTNNB1	2	804	4	54	0.0002489849254438564	-4.89616418901546	0.05104190971599057
KRAS	NOTCH4	0	806	2	56	0.0044338225827217715	-10.0	0.36357345178318523
KRAS	PTCH1	0	806	2	56	0.0044338225827217715	-10.0	0.36357345178318523
KRAS	HIST1H3G	0	806	2	56	0.0044338225827217715	-10.0	0.36357345178318523
KRAS	IDH1	1	805	2	56	0.012725379431152739	-4.845490050944375	0.8695675944621037
KRAS	MST1R	2	804	2	56	0.02435378232834252	-3.8436967691213244	0.9077318867836758
KRAS	PRKAR1A	2	804	2	56	0.02435378232834252	-3.8436967691213244	0.9077318867836758
KRAS	FOXP1	2	804	2	56	0.02435378232834252	-3.8436967691213244	0.9077318867836758
KRAS	GNB1	2	804	2	56	0.02435378232834252	-3.8436967691213244	0.9077318867836758
KRAS	ARAF	2	804	2	56	0.02435378232834252	-3.8436967691213244	0.9077318867836758
KRAS	NF1	3	803	2	56	0.038848721753676756	-3.256938754738554	1.0
KRAS	RPTOR	3	803	2	56	0.038848721753676756	-3.256938754738554	1.0
KRAS	AXIN1	9	797	3	55	0.0409259648407257	-2.272113699744656	1.0
KRAS	BRCA2	17	789	4	54	0.04632544017276129	-1.7815311465996506	1.0
KRAS	TERT	4	802	2	56	0.05578620190289588	-2.8401035043973164	1.0
KRAS	WHSC1	4	802	2	56	0.05578620190289588	-2.8401035043973164	1.0
KRAS	H3F3A	0	806	1	57	0.06712962962962962	-10.0	1.0
KRAS	HIST1H2BD	0	806	1	57	0.06712962962962962	-10.0	1.0
KRAS	HRAS	0	806	1	57	0.06712962962962962	-10.0	1.0
KRAS	FOXL2	0	806	1	57	0.06712962962962962	-10.0	1.0
KRAS	LYN	0	806	1	57	0.06712962962962962	-10.0	1.0
KRAS	SPOP	0	806	1	57	0.06712962962962962	-10.0	1.0
KRAS	ZNRF3	0	806	1	57	0.06712962962962962	-10.0	1.0
KRAS	NF2	0	806	1	57	0.06712962962962962	-10.0	1.0
KRAS	BIRC3	0	806	1	57	0.06712962962962962	-10.0	1.0
KRAS	ZRSR2	0	806	1	57	0.06712962962962962	-10.0	1.0
KRAS	PRKD1	5	801	2	56	0.07478460621013187	-2.5163754154637434	1.0
KRAS	RB1	22	784	4	54	0.09013927479471338	-1.4003907233144424	1.0
KRAS	PTEN	6	800	2	56	0.09550106924993584	-2.2515387669959646	1.0
KRAS	BCOR	14	792	3	55	0.09970616635733674	-1.625604485218502	1.0
KRAS	SOX9	7	799	2	56	0.11762813257682933	-2.027341848812769	1.0
KRAS	ATRX	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	GLI1	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	IDH2	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	CD79B	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	INPP4B	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	FAM46C	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	BCL2L11	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	ETAA1	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	MDC1	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	PIK3C3	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	MEN1	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	CSF3R	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	CD274	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	TMPRSS2	1	805	1	57	0.12982543667653748	-3.8199549588372377	1.0
KRAS	FAT1	8	798	2	56	0.14089066362707656	-1.8328900141647417	1.0
KRAS	CREBBP	9	797	2	56	0.1650430182694098	-1.6611559904905553	1.0
KRAS	TSC2	9	797	2	56	0.1650430182694098	-1.6611559904905553	1.0
KRAS	PPP2R1A	2	804	1	57	0.18837546529922983	-2.818161677014187	1.0
KRAS	KDM5A	2	804	1	57	0.18837546529922983	-2.818161677014187	1.0
KRAS	SMARCB1	2	804	1	57	0.18837546529922983	-2.818161677014187	1.0
KRAS	MEF2B	2	804	1	57	0.18837546529922983	-2.818161677014187	1.0
KRAS	CUL3	2	804	1	57	0.18837546529922983	-2.818161677014187	1.0
