Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	PTPRK	0	1	7	78	0.9186046511627908	-10.0	0.9883720930232558
KRAS	RSPO3	0	1	7	78	0.9186046511627908	-10.0	0.9883720930232558
KRAS	TP53	0	1	6	79	0.9302325581395349	-10.0	0.9883720930232558
KRAS	APC	0	1	5	80	0.9418604651162791	-10.0	0.9883720930232558
KRAS	SMAD4	0	1	4	81	0.9534883720930233	-10.0	0.9883720930232558
KRAS	NOTCH2	0	1	3	82	0.9651162790697675	-10.0	0.9883720930232558
KRAS	AXIN2	0	1	3	82	0.9651162790697675	-10.0	0.9883720930232558
KRAS	ETV6	0	1	3	82	0.9651162790697675	-10.0	0.9883720930232558
KRAS	NOTCH3	0	1	2	83	0.9767441860465116	-10.0	0.9883720930232558
KRAS	BRD4	0	1	2	83	0.9767441860465116	-10.0	0.9883720930232558
KRAS	DNMT1	0	1	2	83	0.9767441860465116	-10.0	0.9883720930232558
KRAS	NCOR1	0	1	2	83	0.9767441860465116	-10.0	0.9883720930232558
KRAS	CDH1	0	1	2	83	0.9767441860465116	-10.0	0.9883720930232558
KRAS	PTEN	0	1	2	83	0.9767441860465116	-10.0	0.9883720930232558
KRAS	RSPO2	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	AKT1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	RUNX1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	SEMA6D	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	RNF5P1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	RICTOR	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	RAD21	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	RECQL4	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	RECQL	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	RASA1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	RAB3GAP2	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	PPP6R3	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	PIK3R1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	PDZD8	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	RIBC2	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	SHOC2	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	SPATA2L	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	SMYD3	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	UBE3C	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	U2AF1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TTC33	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TTC28	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TSC22D1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TP53BP1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TOP1MT	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TNFAIP3	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	SMAD3	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TMPRSS2	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TET1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TEK	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TCF7L2	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TCEB1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TAP1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	SYK	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	STK40	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	SOX9	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	TET2	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	PAN3	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	NDUFV3	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	NF1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	EWSR1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	ESR1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	ERG	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	EPHX3	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	EP300	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	ENAM	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	DOT1L	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	DEDD2	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	FANCA	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	CTNNB1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	COL5A3	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	CIC	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	CEP112	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	CDK8	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	CDC73	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	C9or	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	BRCA2	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	AURKA	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	CSF3R	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	NUP93	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	FAT1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	FGFR1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	VMP1	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
KRAS	NADK	0	1	1	84	0.9883720930232558	-10.0	0.9883720930232558
