Cluster_ID	Gene
0	ABL1
0	AGO2
0	ALOX12B
0	ARAF
0	ARID1B
0	B2M
0	BAP1
0	BCL10
0	CARD11
0	EGFR
0	EPHA5
0	EPHB1
0	ERBB3
0	ERBB4
0	FAT1
0	FGFR2
0	FLT4
0	IKBKE
0	IKZF1
0	INPP4B
0	IRS1
0	JAK1
0	JAK2
0	KMT2A
0	KMT2B
0	KMT2C
0	KMT2D
0	LATS2
0	MED12
0	MSH6
0	NTRK3
0	PIK3R1
0	POLE
0	ROS1
0	RPS6KA4
0	SMAD2
0	SMAD3
0	SMARCA4
0	TERT
0	TSC2
1	ARID1A
1	BCOR
1	BLM
1	BRCA2
1	CTCF
1	CTNNB1
1	EPHA7
1	FGFR1
1	FLCN
1	HLA-B
1	INHBA
1	INPPL1
1	KDM5A
1	MAP3K1
1	MYOD1
1	NF1
1	NOTCH2
1	PAK7
1	PIK3CG
1	POLD1
1	PTPRS
1	PTPRT
1	RAD54L
1	RET
1	RFWD2
1	SESN1
1	SLX4
1	SOX17
1	SPEN
1	STAG2
1	TCF7L2
1	TGFBR2
1	TP53
1	ZFHX3
2	AMER1
2	ANKRD11
2	APC
2	ATM
2	BARD1
2	BRD4
2	CDK8
2	ESR1
2	FBXW7
2	FUBP1
2	GNAS
2	MDC1
2	MTOR
2	NBN
2	NCOA3
2	PDGFRB
2	PIK3CA
2	PTPRD
2	RBM10
2	SOX9
2	TBX3
2	TCF3
2	TP53BP1
2	WWTR1
3	AR
3	ARID2
3	ATRX
3	CDH1
3	CREBBP
3	EP300
3	ERCC3
3	ETV1
3	FGF19
3	FLT3
3	IGF1R
3	INPP4A
3	NOTCH1
3	NOTCH4
3	NRAS
3	PIK3C2G
3	PLCG2
3	PRKD1
3	PTEN
3	RICTOR
3	RPTOR
3	TET1
3	TSC1
4	ASXL2
4	ATR
4	CASP8
4	CYLD
4	DNMT3A
4	ERBB2
4	FOXP1
4	GRIN2A
4	KDM5C
4	MGA
4	MITF
4	MSH3
4	PAX5
4	PGR
4	PIK3CD
4	PMS2
4	RAD50
4	SETD2
4	SMAD4
5	AXIN2
5	CIC
5	DOT1L
5	GLI1
5	HLA-A
5	KDR
5	NOTCH3
5	NSD1
5	NTRK1
5	PDCD1
5	PREX2
5	RASA1
5	RNF43
5	RUNX1
