Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	ABL1	8	231	0	0	1.0		1.0
KRAS	PIK3CG	9	230	0	0	1.0		1.0
KRAS	PIK3CD	5	234	0	0	1.0		1.0
KRAS	PIK3CB	2	237	0	0	1.0		1.0
KRAS	PIK3CA	71	168	0	0	1.0		1.0
KRAS	PIK3C3	2	237	0	0	1.0		1.0
KRAS	PIK3C2G	4	235	0	0	1.0		1.0
KRAS	PHOX2B	1	238	0	0	1.0		1.0
KRAS	PGR	5	234	0	0	1.0		1.0
KRAS	PGBD5	2	237	0	0	1.0		1.0
KRAS	PDGFRB	4	235	0	0	1.0		1.0
KRAS	PDGFRA	5	234	0	0	1.0		1.0
KRAS	PDCD1LG2	1	238	0	0	1.0		1.0
KRAS	PDCD1	3	236	0	0	1.0		1.0
KRAS	PBRM1	2	237	0	0	1.0		1.0
KRAS	PAX5	6	233	0	0	1.0		1.0
KRAS	PARP1	2	237	0	0	1.0		1.0
KRAS	PARK2	2	237	0	0	1.0		1.0
KRAS	PALB2	2	237	0	0	1.0		1.0
KRAS	PAK7	5	234	0	0	1.0		1.0
KRAS	NUF2	1	238	0	0	1.0		1.0
KRAS	NTRK3	7	232	0	0	1.0		1.0
KRAS	PIK3R1	10	229	0	0	1.0		1.0
KRAS	NTRK2	2	237	0	0	1.0		1.0
KRAS	PIK3R2	3	236	0	0	1.0		1.0
KRAS	PLCG2	9	230	0	0	1.0		1.0
KRAS	RAB35	2	237	0	0	1.0		1.0
KRAS	PTPRT	15	224	0	0	1.0		1.0
KRAS	PTPRS	14	225	0	0	1.0		1.0
KRAS	PTPRD	10	229	0	0	1.0		1.0
KRAS	PTPN11	3	236	0	0	1.0		1.0
KRAS	PTEN	12	227	0	0	1.0		1.0
KRAS	PTCH1	3	236	0	0	1.0		1.0
KRAS	PRKD1	10	229	0	0	1.0		1.0
KRAS	PRKAR1A	1	238	0	0	1.0		1.0
KRAS	PREX2	8	231	0	0	1.0		1.0
KRAS	PRDM14	1	238	0	0	1.0		1.0
KRAS	PRDM1	6	233	0	0	1.0		1.0
KRAS	PPP6C	3	236	0	0	1.0		1.0
KRAS	PPP4R2	1	238	0	0	1.0		1.0
KRAS	PPP2R1A	2	237	0	0	1.0		1.0
KRAS	PPARG	1	238	0	0	1.0		1.0
KRAS	POLE	6	233	0	0	1.0		1.0
KRAS	POLD1	7	232	0	0	1.0		1.0
KRAS	PMS2	4	235	0	0	1.0		1.0
KRAS	PMS1	1	238	0	0	1.0		1.0
KRAS	PLK2	2	237	0	0	1.0		1.0
KRAS	PIK3R3	2	237	0	0	1.0		1.0
KRAS	NTRK1	6	233	0	0	1.0		1.0
KRAS	NTHL1	1	238	0	0	1.0		1.0
KRAS	NSD1	3	236	0	0	1.0		1.0
KRAS	MSH2	1	238	0	0	1.0		1.0
KRAS	MRE11A	2	237	0	0	1.0		1.0
KRAS	MPL	2	237	0	0	1.0		1.0
KRAS	MLL3	2	237	0	0	1.0		1.0
KRAS	MLL2	2	237	0	0	1.0		1.0
KRAS	MLH1	1	238	0	0	1.0		1.0
KRAS	MITF	7	232	0	0	1.0		1.0
KRAS	MGA	13	226	0	0	1.0		1.0
KRAS	MET	2	237	0	0	1.0		1.0
KRAS	MED12	13	226	0	0	1.0		1.0
KRAS	MDM4	2	237	0	0	1.0		1.0
KRAS	MDM2	2	237	0	0	1.0		1.0
KRAS	MDC1	6	233	0	0	1.0		1.0
KRAS	MCL1	2	237	0	0	1.0		1.0
KRAS	MAPKAP1	1	238	0	0	1.0		1.0
KRAS	MAPK3	1	238	0	0	1.0		1.0
KRAS	MAPK1	1	238	0	0	1.0		1.0
KRAS	MAP3K13	3	236	0	0	1.0		1.0
KRAS	MAP3K1	8	231	0	0	1.0		1.0
KRAS	MAP2K4	5	234	0	0	1.0		1.0
KRAS	MAP2K1	2	237	0	0	1.0		1.0
KRAS	MSH3	3	236	0	0	1.0		1.0
KRAS	MSH6	4	235	0	0	1.0		1.0
KRAS	MSI2	1	238	0	0	1.0		1.0
KRAS	MST1R	2	237	0	0	1.0		1.0
KRAS	NRAS	3	236	0	0	1.0		1.0
KRAS	NPM1	1	238	0	0	1.0		1.0
KRAS	NOTCH4	11	228	0	0	1.0		1.0
KRAS	NOTCH3	11	228	0	0	1.0		1.0
KRAS	NOTCH2	6	233	0	0	1.0		1.0
KRAS	NOTCH1	7	232	0	0	1.0		1.0
KRAS	NKX3-1	4	235	0	0	1.0		1.0
KRAS	NKX2-1	4	235	0	0	1.0		1.0
KRAS	NFE2L2	3	236	0	0	1.0		1.0
KRAS	NF2	3	236	0	0	1.0		1.0
KRAS	RAD21	1	238	0	0	1.0		1.0
KRAS	NF1	7	232	0	0	1.0		1.0
KRAS	NCOR1	4	235	0	0	1.0		1.0
KRAS	NCOA3	5	234	0	0	1.0		1.0
KRAS	NBN	3	236	0	0	1.0		1.0
KRAS	NADK	1	238	0	0	1.0		1.0
KRAS	MYOD1	7	232	0	0	1.0		1.0
KRAS	MYD88	3	236	0	0	1.0		1.0
KRAS	MYCL	1	238	0	0	1.0		1.0
KRAS	MYC	1	238	0	0	1.0		1.0
KRAS	MUTYH	1	238	0	0	1.0		1.0
KRAS	MTOR	8	231	0	0	1.0		1.0
KRAS	NEGR1	1	238	0	0	1.0		1.0
KRAS	MALT1	2	237	0	0	1.0		1.0
KRAS	RAD50	7	232	0	0	1.0		1.0
KRAS	RAD52	1	238	0	0	1.0		1.0
KRAS	TET2	2	237	0	0	1.0		1.0
KRAS	TET1	5	234	0	0	1.0		1.0
