Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	FAT1	0.7073	0.232	0.7593
0	ZFHX3	0.561	0.0827	0.6721
0	CARD11	0.5366	0.121	0.6721
0	EPHA5	0.5366	0.1167	0.6721
0	FLCN	0.5122	0.06	0.6613
0	KMT2C	0.5122	0.0528	0.6613
0	ANKRD11	0.4878	0.0458	0.6406
0	CDH1	0.4146	0.0301	0.6212
0	WHSC1	0.4146	0.046	0.6119
0	ERBB4	0.3659	0.0313	0.5942
0	DNMT3A	0.3171	0.0025	0.5775
0	NF1	0.3171	0.0459	0.5942
0	PIK3CD	0.3171	0.0051	0.5775
0	PTEN	0.2927	0.0173	0.5616
0	EP300	0.2683	0.0098	0.5467
0	INPPL1	0.2683	0.0013	0.5541
0	SH2B3	0.2439	0.011	0.5467
0	DIS3	0.1951	0.0061	0.5062
0	PAK7	0.1951	0.0029	0.4881
0	ATR	0.1707	0.0006	0.5125
0	ESR1	0.1463	0.0488	0.519
0	PIK3CG	0.1463	0.0498	0.4556
0	PTPRD	0.1463	0.0038	0.4556
0	RAD54L	0.1463	0.0005	0.5
0	SETD2	0.1463	0.0071	0.4713
0	TNFAIP3	0.1463	0.0	0.5256
0	CSF3R	0.0976	0.0	0.4659
0	NCOA3	0.0976	0.0	0.4713
0	NTRK2	0.0976	0.0	0.4767
0	PTPRT	0.0976	0.0	0.4556
0	TAP2	0.0976	0.0	0.4659
0	TRAF7	0.0976	0.0	0.4713
0	CREBBP	0.0732	0.0019	0.4713
0	PLK2	0.0732	0.0	0.4767
0	BRCA1	0.0488	0.0	0.41
0	FANCA	0.0488	0.0	0.4362
0	MET	0.0488	0.0	0.4457
0	AGO2	0.0244	0.0	0.4059
0	GATA1	0.0244	0.0	0.4059
0	JUN	0.0244	0.0	0.3154
0	MAP2K4	0.0244	0.0	0.3445
0	SHQ1	0.0244	0.0	0.4362
1	TCF7L2	0.6471	0.4205	0.7234
1	PTPRS	0.6176	0.3455	0.7083
1	GRIN2A	0.3824	0.1902	0.6071
1	ARID1B	0.2941	0.069	0.5312
1	DNMT3B	0.2941	0.0358	0.5862
1	NOTCH4	0.2941	0.0162	0.5763
1	ERBB3	0.2353	0.0124	0.5667
1	PPP2R1A	0.2353	0.0124	0.5667
1	FBXW7	0.2059	0.0705	0.4928
1	MALT1	0.2059	0.007	0.5231
1	ARID2	0.1765	0.006	0.5152
1	CDKN2A	0.1471	0.0	0.4474
1	NOTCH3	0.1471	0.0162	0.4789
1	CSF1R	0.0882	0.0026	0.4928
1	DDR2	0.0882	0.0026	0.4928
1	MED12	0.0882	0.0026	0.4928
1	RPS6KB2	0.0882	0.0	0.5075
1	INSR	0.0588	0.0	0.4789
1	PIK3R2	0.0588	0.0026	0.4416
1	RAD50	0.0588	0.0	0.3953
1	SLX4	0.0588	0.0	0.4359
1	TSC1	0.0588	0.0	0.4595
1	WT1	0.0588	0.0	0.4789
1	AKT1	0.0294	0.0	0.3333
1	AXIN1	0.0294	0.0	0.382
1	AXIN2	0.0294	0.0	0.4198
1	EGFR	0.0294	0.0	0.425
1	EPHA3	0.0294	0.0	0.4198
1	EPHA7	0.0294	0.0	0.382
1	JAK2	0.0294	0.0	0.425
1	NOTCH2	0.0294	0.0	0.425
1	NTRK1	0.0294	0.0	0.425
1	PIK3R3	0.0294	0.0	0.3505
1	ROS1	0.0294	0.0	0.4198
1	SMAD4	0.0294	0.0	0.425
2	KMT2B	0.8148	0.2536	0.8438
2	KMT2D	0.8148	0.2536	0.8438
2	SMO	0.6667	0.0729	0.75
2	NCOR1	0.5185	0.0325	0.675
2	SPEN	0.4815	0.0668	0.6585
