Cluster_ID	Gene
0	AGO2
0	ANKRD11
0	ATR
0	BRCA1
0	CARD11
0	CDH1
0	CREBBP
0	CSF3R
0	DIS3
0	DNMT3A
0	EP300
0	EPHA5
0	ERBB4
0	ESR1
0	FANCA
0	FAT1
0	FLCN
0	GATA1
0	INPPL1
0	JUN
0	KMT2C
0	MAP2K4
0	MET
0	NCOA3
0	NF1
0	NTRK2
0	PAK7
0	PIK3CD
0	PIK3CG
0	PLK2
0	PTEN
0	PTPRD
0	PTPRT
0	RAD54L
0	SETD2
0	SH2B3
0	SHQ1
0	TAP2
0	TNFAIP3
0	TRAF7
0	WHSC1
0	ZFHX3
1	AKT1
1	ARID1B
1	ARID2
1	AXIN1
1	AXIN2
1	CDKN2A
1	CSF1R
1	DDR2
1	DNMT3B
1	EGFR
1	EPHA3
1	EPHA7
1	ERBB3
1	FBXW7
1	GRIN2A
1	INSR
1	JAK2
1	MALT1
1	MED12
1	NOTCH2
1	NOTCH3
1	NOTCH4
1	NTRK1
1	PIK3R2
1	PIK3R3
1	PPP2R1A
1	PTPRS
1	RAD50
1	ROS1
1	RPS6KB2
1	SLX4
1	SMAD4
1	TCF7L2
1	TSC1
1	WT1
2	AXL
2	BAP1
2	CIC
2	CYLD
2	DOT1L
2	E2F3
2	IRS2
2	KDM5A
2	KDM6A
2	KMT2A
2	KMT2B
2	KMT2D
2	LATS1
2	LATS2
2	MITF
2	MSH6
2	MST1R
2	MTOR
2	NCOR1
2	PMS1
2	POLD1
2	PREX2
2	PTCH1
2	RECQL
2	RNF43
2	RPS6KA4
2	SMO
2	SPEN
3	ARID1A
3	BARD1
3	BCOR
3	BRIP1
3	CTCF
3	ELF3
3	ERBB2
3	ERG
3	FOXP1
3	GLI1
3	HLA-B
3	HNF1A
3	JAK3
3	MAP3K1
3	MDC1
3	MGA
3	MLH1
3	MSH3
3	NOTCH1
3	PRKD1
3	RBM10
3	RPTOR
3	SMAD2
3	SMAD3
3	SMARCA4
3	SOX9
3	TGFBR2
3	TRAF2
4	ASXL1
4	ATRX
4	BRCA2
4	CDC73
4	CTR9
4	EZH2
4	FLT1
4	FLT4
4	IKBKE
4	IKZF1
4	INPP4B
4	PGR
4	PIK3C2G
4	PIK3R1
4	POLE
4	RB1
4	SETDB1
4	TET2
4	TOP1
4	TSC2
4	YES1
5	AKT2
5	ALK
5	ATM
5	CASP8
5	CDKN1B
5	CTNNB1
5	DROSHA
5	IGF1R
5	IL7R
5	KDM5C
5	NTRK3
5	PIK3CA
5	PLCG2
5	RASA1
5	RUNX1
5	TCF3
5	TEK
5	TGFBR1
5	WHSC1L1
6	AMER1
6	AR
6	BLM
6	IRS1
6	KDR
6	NEGR1
6	PBRM1
6	PPM1D
6	PTPN11
