Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	ABL1	2	368	0	0	1.0		1.0
KRAS	PIK3CA	88	282	0	0	1.0		1.0
KRAS	PIK3C3	3	367	0	0	1.0		1.0
KRAS	PIK3C2G	8	362	0	0	1.0		1.0
KRAS	PHOX2B	3	367	0	0	1.0		1.0
KRAS	PGR	4	366	0	0	1.0		1.0
KRAS	PDGFRB	2	368	0	0	1.0		1.0
KRAS	PDGFRA	3	367	0	0	1.0		1.0
KRAS	PDCD1	2	368	0	0	1.0		1.0
KRAS	PBRM1	9	361	0	0	1.0		1.0
KRAS	PAX5	3	367	0	0	1.0		1.0
KRAS	PARP1	3	367	0	0	1.0		1.0
KRAS	PARK2	3	367	0	0	1.0		1.0
KRAS	PALB2	2	368	0	0	1.0		1.0
KRAS	PAK7	7	363	0	0	1.0		1.0
KRAS	PAK1	2	368	0	0	1.0		1.0
KRAS	NUF2	1	369	0	0	1.0		1.0
KRAS	NTRK3	6	364	0	0	1.0		1.0
KRAS	NTRK2	3	367	0	0	1.0		1.0
KRAS	NTRK1	8	362	0	0	1.0		1.0
KRAS	NSD1	5	365	0	0	1.0		1.0
KRAS	NRAS	1	369	0	0	1.0		1.0
KRAS	PIK3CB	1	369	0	0	1.0		1.0
KRAS	PIK3CD	7	363	0	0	1.0		1.0
KRAS	PIK3CG	14	356	0	0	1.0		1.0
KRAS	PIK3R1	12	358	0	0	1.0		1.0
KRAS	PTP4A1	2	368	0	0	1.0		1.0
KRAS	PTEN	19	351	0	0	1.0		1.0
KRAS	PTCH1	5	365	0	0	1.0		1.0
KRAS	PRKD1	8	362	0	0	1.0		1.0
KRAS	PRKCI	3	367	0	0	1.0		1.0
KRAS	PRKAR1A	2	368	0	0	1.0		1.0
KRAS	PREX2	9	361	0	0	1.0		1.0
KRAS	PRDM14	2	368	0	0	1.0		1.0
KRAS	PRDM1	4	366	0	0	1.0		1.0
KRAS	PPP6C	1	369	0	0	1.0		1.0
KRAS	NPM1	1	369	0	0	1.0		1.0
KRAS	PPP4R2	1	369	0	0	1.0		1.0
KRAS	PPM1D	3	367	0	0	1.0		1.0
KRAS	PPARG	1	369	0	0	1.0		1.0
KRAS	POLE	6	364	0	0	1.0		1.0
KRAS	POLD1	5	365	0	0	1.0		1.0
KRAS	PMS2	5	365	0	0	1.0		1.0
KRAS	PMS1	6	364	0	0	1.0		1.0
KRAS	PLK2	3	367	0	0	1.0		1.0
KRAS	PLCG2	11	359	0	0	1.0		1.0
KRAS	PIK3R3	3	367	0	0	1.0		1.0
KRAS	PIK3R2	5	365	0	0	1.0		1.0
KRAS	PPP2R1A	5	365	0	0	1.0		1.0
KRAS	NOTCH4	7	363	0	0	1.0		1.0
KRAS	NOTCH3	14	356	0	0	1.0		1.0
KRAS	NOTCH2	5	365	0	0	1.0		1.0
KRAS	MLLT1	1	369	0	0	1.0		1.0
KRAS	MLL4	1	369	0	0	1.0		1.0
KRAS	MLL3	1	369	0	0	1.0		1.0
KRAS	MLL2	2	368	0	0	1.0		1.0
KRAS	MLH1	3	367	0	0	1.0		1.0
KRAS	MITF	6	364	0	0	1.0		1.0
KRAS	MGA	14	356	0	0	1.0		1.0
KRAS	MET	5	365	0	0	1.0		1.0
KRAS	MEN1	3	367	0	0	1.0		1.0
KRAS	MEF2B	2	368	0	0	1.0		1.0
KRAS	MPL	4	366	0	0	1.0		1.0
KRAS	MED12	10	360	0	0	1.0		1.0
KRAS	MDM2	1	369	0	0	1.0		1.0
KRAS	MDC1	4	366	0	0	1.0		1.0
KRAS	MCL1	1	369	0	0	1.0		1.0
KRAS	MAX	4	366	0	0	1.0		1.0
KRAS	MAPKAP1	2	368	0	0	1.0		1.0
KRAS	MAPK3	2	368	0	0	1.0		1.0
KRAS	MAPK1	2	368	0	0	1.0		1.0
KRAS	MAP3K13	2	368	0	0	1.0		1.0
KRAS	MAP3K1	10	360	0	0	1.0		1.0
KRAS	MAP2K4	8	362	0	0	1.0		1.0
KRAS	MDM4	3	367	0	0	1.0		1.0
KRAS	PTPN11	5	365	0	0	1.0		1.0
KRAS	MRE11A	2	368	0	0	1.0		1.0
KRAS	MSH3	9	361	0	0	1.0		1.0
KRAS	NOTCH1	6	364	0	0	1.0		1.0
KRAS	NKX3-1	1	369	0	0	1.0		1.0
KRAS	NKX2-1	1	369	0	0	1.0		1.0
KRAS	NFKBIA	4	366	0	0	1.0		1.0
KRAS	NFE2L2	2	368	0	0	1.0		1.0
KRAS	NF2	3	367	0	0	1.0		1.0
KRAS	NF1	11	359	0	0	1.0		1.0
KRAS	NEGR1	5	365	0	0	1.0		1.0
KRAS	NCOR1	8	362	0	0	1.0		1.0
KRAS	NCOA3	4	366	0	0	1.0		1.0
KRAS	MSH2	2	368	0	0	1.0		1.0
KRAS	NBN	2	368	0	0	1.0		1.0
KRAS	MYOD1	2	368	0	0	1.0		1.0
KRAS	MYD88	2	368	0	0	1.0		1.0
KRAS	MYCN	2	368	0	0	1.0		1.0
KRAS	MYC	2	368	0	0	1.0		1.0
KRAS	MUTYH	3	367	0	0	1.0		1.0
KRAS	MTOR	18	352	0	0	1.0		1.0
KRAS	MST1R	5	365	0	0	1.0		1.0
KRAS	MST1	1	369	0	0	1.0		1.0
KRAS	MSI1	1	369	0	0	1.0		1.0
KRAS	MSH6	4	366	0	0	1.0		1.0
KRAS	NADK	1	369	0	0	1.0		1.0
KRAS	MAP2K2	1	369	0	0	1.0		1.0
KRAS	PTPRD	9	361	0	0	1.0		1.0
KRAS	PTPRT	21	349	0	0	1.0		1.0
KRAS	TET1	4	366	0	0	1.0		1.0
KRAS	TERT	2	368	0	0	1.0		1.0
KRAS	TEK	6	364	0	0	1.0		1.0
KRAS	TCF7L2	39	331	0	0	1.0		1.0
KRAS	TCF3	4	366	0	0	1.0		1.0
KRAS	TBX3	6	364	0	0	1.0		1.0
KRAS	TAP2	4	366	0	0	1.0		1.0
KRAS	TAP1	2	368	0	0	1.0		1.0
KRAS	SYK	3	367	0	0	1.0		1.0
KRAS	SUFU	1	369	0	0	1.0		1.0
KRAS	STK19	1	369	0	0	1.0		1.0
KRAS	STK11	2	368	0	0	1.0		1.0
KRAS	STAT5A	2	368	0	0	1.0		1.0
KRAS	STAT3	3	367	0	0	1.0		1.0
KRAS	STAG2	2	368	0	0	1.0		1.0
KRAS	SRC	2	368	0	0	1.0		1.0
KRAS	SPRTN	1	369	0	0	1.0		1.0
KRAS	SPRED1	1	369	0	0	1.0		1.0
KRAS	SPOP	3	367	0	0	1.0		1.0
KRAS	SPEN	12	358	0	0	1.0		1.0
KRAS	SOX9	41	329	0	0	1.0		1.0
KRAS	TET2	10	360	0	0	1.0		1.0
KRAS	TGFBR1	11	359	0	0	1.0		1.0
KRAS	TGFBR2	17	353	0	0	1.0		1.0
KRAS	TMEM127	1	369	0	0	1.0		1.0
KRAS	YES1	5	365	0	0	1.0		1.0
KRAS	XRCC2	1	369	0	0	1.0		1.0
KRAS	XPO1	3	367	0	0	1.0		1.0
KRAS	XIAP	1	369	0	0	1.0		1.0
KRAS	WWTR1	4	366	0	0	1.0		1.0
KRAS	WT1	6	364	0	0	1.0		1.0
KRAS	WHSC1L1	5	365	0	0	1.0		1.0
