Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	FAT1	0.5263	0.54	0.623
0	GRIN2A	0.2895	0.1454	0.5067
0	ALK	0.2105	0.1451	0.4578
0	EPHA5	0.2105	0.1364	0.4935
0	NOTCH3	0.2105	0.174	0.4872
0	FLT3	0.1842	0.0919	0.5
0	BRCA1	0.1579	0.1687	0.481
0	KMT2D	0.1579	0.046	0.4419
0	CIC	0.1316	0.0139	0.4043
0	PAK1	0.1053	0.0124	0.4368
0	PARP1	0.1053	0.0111	0.3725
0	ATM	0.0789	0.1038	0.3393
0	GATA3	0.0789	0.006	0.4318
0	IRS1	0.0789	0.0033	0.4318
0	KMT2B	0.0789	0.0586	0.4222
0	NFE2L2	0.0789	0.0539	0.3725
0	PIK3C3	0.0789	0.0027	0.4368
0	RPTOR	0.0789	0.0121	0.4318
0	SMO	0.0789	0.0	0.4222
0	DROSHA	0.0526	0.0	0.4222
0	FGFR4	0.0526	0.0	0.3585
0	STAG2	0.0526	0.0	0.3585
0	ARID1B	0.0263	0.0	0.3878
0	BAP1	0.0263	0.0	0.3304
0	BCL6	0.0263	0.0	0.3333
0	CDK12	0.0263	0.0	0.3167
0	EP300	0.0263	0.0	0.3167
0	FGF4	0.0263	0.0	0.3393
0	FOXO1	0.0263	0.0	0.3878
0	JAK3	0.0263	0.0	0.3304
0	LATS2	0.0263	0.0	0.2992
0	MAP3K1	0.0263	0.0	0.2734
0	MLL2	0.0263	0.0	0.3878
0	NBN	0.0263	0.0	0.3878
0	NF2	0.0263	0.0	0.3878
0	PALB2	0.0263	0.0	0.255
0	PPM1D	0.0263	0.0	0.3878
0	PRDM1	0.0263	0.0	0.3304
0	WT1	0.0263	0.0	0.255
1	TP53	0.6061	0.6509	0.6735
1	PDGFRA	0.2424	0.175	0.5077
1	ERBB4	0.2121	0.1066	0.5077
1	HGF	0.2121	0.1742	0.5
1	POLE	0.2121	0.0968	0.5323
1	KMT2A	0.1515	0.1163	0.4286
1	KDM5C	0.1212	0.0792	0.4648
1	NSD1	0.1212	0.0234	0.4783
1	PBRM1	0.1212	0.0405	0.4521
