Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	ARID2	2	0.011789730354912795	4.501251794331925	0.08046541523533106
ABL1	KRAS	4	1.0	-10.0	1.0
ABL1	RBM10	2	0.12541440594612985	2.4008794362821844	0.2269322061208052
ABL1	TP53	3	0.2315814475750158	1.9311381418551958	0.3370382516097249
AGO2	ERCC3	2	0.0005437325341729575	7.640244936222346	0.04839749437450587
AGO2	KRAS	3	1.0	-10.0	1.0
AGO2	TP53	3	0.08633424918846563	10.0	0.18659640278158868
AKT3	BCOR	2	0.04010942591322523	3.173736615392331	0.1317881137148829
AKT3	BRCA1	2	0.015327584660349572	4.014950341465972	0.08818119009491664
AKT3	BRCA2	2	0.017567512811713655	3.8957500380033183	0.09125511493253936
AKT3	CREBBP	2	0.01994288418889095	3.7851021152104765	0.09729661085795656
AKT3	GATA3	2	0.007785044268730758	4.614709844115208	0.07323094833399453
AKT3	KEAP1	2	0.4101848546832737	0.784271308944563	0.5150285695123844
AKT3	KRAS	6	1.0	-10.0	1.0
AKT3	PAK1	2	0.00370637455034362	5.303780748177103	0.06021639590029815
AKT3	STK11	2	0.4341924915582875	0.7027989910150144	0.5348767566286148
AKT3	TP53	4	0.2427992216715688	1.3479233034203069	0.34614765425695887
ALK	APC	3	0.06762585839512582	1.9425145053392399	0.1647980767647807
ALK	ARID1A	2	0.46833154732793336	0.4340742793291832	0.5698749929106566
ALK	ARID2	3	0.05232530114451722	2.1202378773419595	0.14631227916657347
ALK	ATM	4	0.2053609574084059	0.9479114888515457	0.30998909314417566
ALK	ATRX	2	0.3293059060223051	0.8967698428913441	0.4341644135396792
ALK	AXIN2	2	0.07465407064709101	2.4785911969207524	0.17422202176233145
ALK	BCOR	2	0.293157392235627	1.0359195742549427	0.3966247071423189
ALK	BRCA1	3	0.022851693128300547	2.6801197337614964	0.10332600790625895
ALK	CARD11	2	0.15152623017609287	1.7589919004962051	0.25472026610505855
ALK	CDK12	3	0.0015986785160798228	4.584962500721156	0.05349344043131213
ALK	CDKN2A	2	0.23891311150075167	1.2700891633677442	0.34257126870684357
ALK	CREBBP	2	0.16844439045095763	1.6482140569472943	0.27124250489856755
ALK	CSF1R	2	0.15152623017609287	1.7589919004962051	0.25472026610505855
ALK	DROSHA	2	0.15152623017609287	1.7589919004962051	0.25472026610505855
ALK	EP300	4	0.0009270409565290019	3.8556100906648254	0.05019094028510507
ALK	EPHA5	4	0.04302319028728024	1.8885247131375604	0.13534298773091896
ALK	FAT1	3	0.258182360352403	0.9151111024134869	0.3608780864316939
ALK	FBXW7	2	0.061423298551564164	2.6750378450230046	0.15707362139159423
ALK	FGF4	2	0.011789730354912795	4.501251794331925	0.08046541523533106
ALK	FLT3	3	0.022851693128300547	2.6801197337614964	0.10332600790625895
ALK	FLT4	2	0.18570380592452904	1.5448053742491734	0.29091159203689015
ALK	GATA3	3	0.008500210169456823	3.3474631869944997	0.07637060031446774
ALK	GLI1	2	0.20324052563128758	1.4478125353704638	0.30765683967360824
ALK	GRIN2A	5	0.00455238196839166	2.6379555883350405	0.06528034124933349
ALK	INPP4B	2	0.1350182071200128	1.8783214434117477	0.23439679150546724
ALK	JAK3	2	0.10353448019762548	2.1490297771309628	0.2052634263609127
ALK	KDM5C	3	0.022851693128300547	2.6801197337614964	0.10332600790625895
ALK	KEAP1	4	0.6594275504356392	-0.14232054004771083	0.7633489211216359
ALK	KMT2A	2	0.1350182071200128	1.8783214434117477	0.23439679150546724
ALK	KMT2B	3	0.014670585591466783	2.9772799234999163	0.08751763128702598
ALK	KMT2D	2	0.3293059060223051	0.8967698428913441	0.4341644135396792
ALK	KRAS	19	1.0	-10.0	1.0
ALK	LATS2	2	0.027851119746704997	3.493737740674618	0.11026826415138229
ALK	MCL1	2	0.011789730354912795	4.501251794331925	0.08046541523533106
ALK	MET	2	0.10353448019762548	2.1490297771309628	0.2052634263609127
ALK	MYCN	2	0.019100306003163276	3.9125371587496605	0.09488154505191844
ALK	NFE2L2	2	0.1350182071200128	1.8783214434117477	0.23439679150546724
ALK	NOTCH3	2	0.23891311150075167	1.2700891633677442	0.34257126870684357
ALK	NOTCH4	2	0.2209952579238488	1.3564557780156334	0.32640687872271507
ALK	NTRK1	2	0.11899441940691105	2.0076943917900008	0.2224994336560616
ALK	PARK2	2	0.04913647627805739	2.9012218455218264	0.14323372828600026
ALK	PDGFRB	2	0.10353448019762548	2.1490297771309628	0.2052634263609127
ALK	PIK3CA	2	0.293157392235627	1.0359195742549427	0.3966247071423189
ALK	PIK3CG	3	0.10371247962077519	1.6372835358512385	0.20530943105028085
ALK	POLD1	2	0.04913647627805739	2.9012218455218264	0.14323372828600026
ALK	POLE	2	0.31125843191018265	0.9648581938797429	0.4173097209816091
ALK	PPP2R1A	2	0.08872383109659908	2.304854581528421	0.18844387540241506
ALK	PREX2	2	0.256943348669765	1.188171601363088	0.36049985344040725
ALK	PRKD1	2	0.061423298551564164	2.6750378450230046	0.15707362139159423
ALK	PTPRD	3	0.33959117292715707	0.6620387237397971	0.44346349756388515
ALK	PTPRT	4	0.047900216921084704	1.8300749985576876	0.14223504711119106
ALK	RBM10	2	0.8454503421840841	-0.7520724865564145	0.9494910842648802
ALK	RET	2	0.18570380592452904	1.5448053742491734	0.29091159203689015
ALK	ROS1	2	0.08872383109659908	2.304854581528421	0.18844387540241506
ALK	RPTOR	2	0.08872383109659908	2.304854581528421	0.18844387540241506
ALK	SLX4	2	0.08872383109659908	2.304854581528421	0.18844387540241506
ALK	SMAD4	2	0.16844439045095763	1.6482140569472943	0.27124250489856755
ALK	SMARCA4	2	0.6187350051567855	-0.010386618231698506	0.7217668090058192
ALK	STAG2	2	0.08872383109659908	2.304854581528421	0.18844387540241506
ALK	STK11	4	0.6963878408471732	-0.22588140741632776	0.800383367628799
ALK	TP53	13	0.027005159495012403	1.5131326384705432	0.11026826415138229
ALK	TSHR	2	0.10353448019762548	2.1490297771309628	0.2052634263609127
ALK	VEGFA	2	0.002079912424740011	10.0	0.05374007492234094
ALOX12B	KRAS	3	1.0	-10.0	1.0
ALOX12B	PTPRD	2	0.03212682516199076	4.103537604108411	0.11772031233960875
ALOX12B	STK11	2	0.14058285959958886	2.716874176226737	0.24226037173961198
AMER1	ARID1A	2	0.49640113014002996	0.34755390256285673	0.59999395407873
AMER1	ASXL1	3	0.01313976914691625	3.0597420836918894	0.08353505504603558
AMER1	ATR	2	0.22005221299874866	1.361456459074	0.3258607203282549
AMER1	ATRX	2	0.3528821354825857	0.8103387804964255	0.45856238311078
AMER1	BRAF	2	0.22005221299874866	1.361456459074	0.3258607203282549
AMER1	BRIP1	3	0.0049102658723856355	3.7492187520767764	0.06528034124933349
AMER1	CIC	2	0.11315311019088477	2.062735755347963	0.2154012385167817
AMER1	EPHA3	2	0.25789585043235436	1.183711953172388	0.36069159538500456
AMER1	EPHA5	2	0.4444759346992411	0.50653585376434	0.5455672460107988
AMER1	EPHB1	3	0.051935339324138005	2.125884440483101	0.14609962436066878
AMER1	ERBB4	4	0.008433398966287272	2.7318038890504273	0.07637060031446774
AMER1	ETV1	2	0.04176544121044542	3.081794091163647	0.13510950453362788
AMER1	FANCA	2	0.06745558855664503	2.588774114671175	0.1647980767647807
AMER1	FLT1	2	0.23891311150075167	1.2700891633677442	0.34257126870684357
AMER1	FLT4	3	0.0446850159311629	2.2293035485212442	0.1360380094797989
AMER1	HGF	3	0.08627235102763248	1.769208398870444	0.18659640278158868
AMER1	HIST1H3G	2	0.0023110138052666786	10.0	0.055438667405811375
AMER1	KDM5A	2	0.081852552737537	2.3923174227787602	0.18059830212634548
AMER1	KEAP1	4	0.7021781263305091	-0.24026309817513575	0.8052955742841145
AMER1	KIT	2	0.081852552737537	2.3923174227787602	0.18059830212634548
AMER1	KMT2A	3	0.026329724569904015	2.5888148262167627	0.11026826415138229
AMER1	KRAS	20	1.0	-10.0	1.0
AMER1	MET	2	0.11315311019088477	2.062735755347963	0.2154012385167817
AMER1	MTOR	2	0.1298425650938172	1.9213901653036336	0.23010760846199566
AMER1	NOTCH4	2	0.23891311150075167	1.2700891633677442	0.34257126870684357
AMER1	NSD1	2	0.11315311019088477	2.062735755347963	0.2154012385167817
AMER1	NTRK1	2	0.1298425650938172	1.9213901653036336	0.23010760846199566
AMER1	NUF2	2	0.030737908432128324	3.407503826593436	0.11672274456125242
AMER1	PDCD1	2	0.054050499656465356	2.814968106167479	0.14924839565098935
AMER1	PMS1	2	0.04176544121044542	3.081794091163647	0.13510950453362788
AMER1	POLE	2	0.33402115191436116	0.8784380201190867	0.4387818301311466
AMER1	PREX2	2	0.2769458856841396	1.101783737957315	0.38012164492929457
AMER1	PTPRD	2	0.6609941366427606	-0.1359776695189748	0.7643405026740903
AMER1	PTPRT	4	0.05669020678433685	1.7329525316595829	0.15313668214180334
AMER1	RBM10	4	0.414010795832142	0.38565369249774945	0.5160896432608743
AMER1	RET	3	0.0446850159311629	2.2293035485212442	0.1360380094797989
AMER1	ROS1	2	0.09712206020211939	2.2185707103840397	0.19700259091916883
AMER1	SF3B1	2	0.11315311019088477	2.062735755347963	0.2154012385167817
AMER1	SMARCA4	2	0.6478275148034566	-0.09702445439486469	0.7528346032134795
AMER1	STK11	5	0.531631044991509	0.11181400332935107	0.6352432216279923
AMER1	TBX3	2	0.25789585043235436	1.183711953172388	0.36069159538500456
AMER1	TP53	12	0.11241903852798468	0.9608294027193223	0.2154012385167817
ANKRD11	ATRX	2	0.0632286893768374	2.7090988007332624	0.15961938078593202
ANKRD11	AXL	2	0.0007599610535766222	7.314696525656286	0.04839749437450587
ANKRD11	CTNNB1	2	0.00867605769904376	4.485426827170242	0.07637060031446774
ANKRD11	FGFR4	2	0.013035956749466102	4.115477217419936	0.08351668679264465
ANKRD11	KDM6A	2	0.006804458059709042	4.7114949066500875	0.07016309018560063
ANKRD11	KEAP1	2	0.49621155148800594	0.4576818366873375	0.59999395407873
ANKRD11	KRAS	7	1.0	-10.0	1.0
ANKRD11	PDGFRB	2	0.015513152316270831	3.9597701552114675	0.08818119009491664
ANKRD11	PTPRT	2	0.09316138235278452	2.351472370501378	0.19246580497493748
ANKRD11	TP53	5	0.1423258088597911	1.6780719051126378	0.24380591933064136
APC	ARID1A	2	0.5235751194999821	0.26548172625253674	0.62657815344605
APC	ARID2	2	0.256943348669765	1.188171601363088	0.36049985344040725
APC	ASXL2	2	0.1409362510294316	1.8395353278067539	0.2425542140337839
APC	ATM	2	0.7681517057552325	-0.4703199347800335	0.8701408509214876
APC	ATRX	2	0.37622048098049066	0.7283564175826069	0.4841466021414529
APC	AXIN1	2	0.05914275186206946	2.73316402400635	0.15595030461177892
APC	CDKN2A	2	0.2769458856841396	1.101783737957315	0.38012164492929457
APC	CSF1R	2	0.1783437843520102	1.5907915795233538	0.2830594008522731
