Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	KEAP1	0.65	0.7886	0.7407
0	SMARCA4	0.35	0.407	0.5714
0	STK11	0.2	0.1026	0.4762
0	CHEK2	0.15	0.0298	0.5263
0	RBM10	0.15	0.1298	0.4762
0	ATRX	0.1	0.0	0.4545
0	GATA1	0.1	0.0263	0.4
0	CREBBP	0.05	0.0	0.4348
0	CXCR4	0.05	0.0	0.3704
0	DDR2	0.05	0.0	0.3704
0	EGFR	0.05	0.0	0.4348
0	IGF1R	0.05	0.0	0.4348
0	IKZF1	0.05	0.0	0.3279
0	LATS2	0.05	0.0	0.4348
0	PDCD1	0.05	0.0	0.4348
0	PHOX2B	0.05	0.0	0.4348
0	PIK3C3	0.05	0.0	0.4348
0	SMO	0.05	0.0	0.4348
0	STAG2	0.05	0.0	0.3704
0	WHSC1	0.05	0.0	0.3279
0	ZFHX3	0.05	0.0	0.3704
1	PTPRT	0.5	0.6765	0.5455
1	EPHA5	0.2778	0.2582	0.4186
1	EPHB1	0.2222	0.5163	0.5294
1	AMER1	0.1111	0.1111	0.2903
1	KMT2D	0.1111	0.1111	0.375
1	NCOR1	0.1111	0.0523	0.4091
1	NTRK1	0.1111	0.0523	0.4091
1	PGR	0.1111	0.1111	0.3673
1	PRDM14	0.1111	0.2092	0.383
1	ALK	0.0556	0.0	0.36
1	FGF3	0.0556	0.0	0.2727
1	MAP3K1	0.0556	0.0	0.36
1	NTRK2	0.0556	0.0	0.36
1	PBRM1	0.0556	0.0	0.36
1	PDGFRA	0.0556	0.0	0.3
1	PIK3C2G	0.0556	0.0	0.2278
1	RAD50	0.0556	0.0	0.3
1	TBX3	0.0556	0.0	0.2769
1	WT1	0.0556	0.0	0.36
2	TP53	0.5833	0.6263	0.6667
2	PTPRD	0.4167	0.3207	0.5714
2	NF1	0.3333	0.2096	0.5714
2	DIS3	0.25	0.0859	0.5
2	MDC1	0.25	0.1667	0.4138
2	ATR	0.1667	0.0	0.4615
2	CDKN2A	0.1667	0.1667	0.4444
2	EPHA3	0.1667	0.0	0.3871
2	HGF	0.1667	0.0	0.3871
2	AXIN2	0.0833	0.0	0.4138
2	DICER1	0.0833	0.0	0.3158
2	MED12	0.0833	0.0	0.3
2	PAK7	0.0833	0.0	0.4138
3	FAT1	0.625	0.8571	0.6667
3	FBXW7	0.25	0.25	0.4
3	KMT2B	0.25	0.4286	0.5333
3	PREX2	0.25	0.25	0.4706
3	FLT4	0.125	0.0	0.4211
3	IDH1	0.125	0.0	0.3333
3	INHBA	0.125	0.0	0.4211
3	IRS2	0.125	0.0	0.2963
3	RET	0.125	0.0	0.4211
4	GRIN2A	0.875	0.9643	0.8889
4	ROS1	0.25	0.25	0.5714
4	APC	0.125	0.0	0.381
4	BRCA2	0.125	0.0	0.5
4	EPHA7	0.125	0.0	0.5
4	IL7R	0.125	0.0	0.5
4	IRS1	0.125	0.0	0.5
4	NOTCH1	0.125	0.0	0.5
4	TSC1	0.125	0.0	0.5
5	ARID1A	0.8333	0.9333	0.8571
5	SETD2	0.3333	0.3333	0.6
5	AR	0.1667	0.0	0.5
5	ARID1B	0.1667	0.0	0.4
5	MGA	0.1667	0.0	0.5
5	POLE	0.1667	0.0	0.5
5	SOX17	0.1667	0.0	0.5
6	ERBB4	0.75	0.5	0.8
6	PIK3CG	0.75	0.5	0.8
6	NTRK3	0.5	0.0	0.6667
6	KDR	0.25	0.0	0.5
6	MET	0.25	0.0	0.5
