Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	7/140	7.583588882922514e-11	4.9444999516654794e-08	0	0	74.60902255639098	1738.572977971691	EPHA5;PTPRT;PTPRD;ERBB4;NTRK3;ROS1;EPHB1
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	6/148	7.342236181592163e-09	2.3935689951990452e-06	0	0	55.87887323943662	1046.590195008317	EPHA5;FBXW7;ERBB4;NTRK3;ROS1;EPHB1
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	5/94	3.948407879058492e-08	8.58120645715379e-06	0	0	69.83848314606742	1190.5623447439766	EPHA5;ERBB4;NTRK3;ROS1;EPHB1
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	5/114	1.0419708879570381e-07	1.54719762693167e-05	0	0	56.966743119266056	915.8532835972002	EPHA5;ERBB4;NTRK3;ROS1;EPHB1
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	7/404	1.186501247646986e-07	1.54719762693167e-05	0	0	24.662468513853906	393.29452615508126	EPHA5;PTPRT;APC;ERBB4;NTRK3;ROS1;EPHB1
GO_Biological_Process_2021	circulatory system development (GO:0072359)	5/126	1.7195834322569588e-07	1.6644944090386436e-05	0	0	51.28615702479339	798.8338782849177	STK11;FBXW7;ERBB4;NTRK3;NF1
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	6/253	1.78703387473474e-07	1.6644944090386436e-05	0	0	31.954655870445343	496.49669452341226	EPHA5;AR;ERBB4;NTRK3;ROS1;EPHB1
KEGG_2021_Human	Hepatocellular carcinoma	5/168	7.189827374287117e-07	6.830336005572761e-05	0	0	37.99079754601227	537.3961099140131	APC;KEAP1;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	negative regulation of cell population proliferation (GO:0008285)	6/379	1.898431859600301e-06	0.00015472219655742457	0	0	21.02520107238606	276.9961404254141	AR;STK11;APC;ERBB4;NF1;TP53
GO_Biological_Process_2021	regulation of ERK1 and ERK2 cascade (GO:0070372)	5/238	3.984870174701682e-06	0.00028868170598949966	0	0	26.483369098712448	329.2678822632091	FBXW7;ERBB4;NTRK3;ROS1;EPHB1
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	6/511	1.0573244761532607e-05	0.0006893755584519261	0	0	15.424950495049504	176.7264933411498	AR;ERBB4;KMT2B;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	6/566	1.8889502516595672e-05	0.0011196323309836	0	0	13.870714285714286	150.87043064612865	AR;STK11;APC;ERBB4;TP53;SMARCA4
GO_Biological_Process_2021	regulation of MAPK cascade (GO:0043408)	4/166	2.453331942706491e-05	0.0013329770222038	0	0	28.782861292665213	305.543841989298	NTRK3;NF1;ROS1;EPHB1
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	5/408	5.3568468609855915e-05	0.0026866647333558	0	0	15.179900744416871	149.2874918822211	PTPRT;APC;ERBB4;NTRK3;NF1
GO_Biological_Process_2021	regulation of cell growth (GO:0001558)	4/217	6.979071341040571e-05	0.0032502532245417	0	0	21.834852250759457	208.9597457142536	STK11;TP53;ROS1;SMARCA4
Reactome_2022	Chromatin Modifying Enzymes R-HSA-3247509	4/238	9.979665874390904e-05	0.0076636038405735	0	0	19.854198089492208	182.90433509461008	SETD2;KMT2B;ARID1A;SMARCA4
