Cluster_ID	Gene
0	ATRX
0	CHEK2
0	CREBBP
0	CXCR4
0	DDR2
0	EGFR
0	GATA1
0	IGF1R
0	IKZF1
0	KEAP1
0	LATS2
0	PDCD1
0	PHOX2B
0	PIK3C3
0	RBM10
0	SMARCA4
0	SMO
0	STAG2
0	STK11
0	WHSC1
0	ZFHX3
1	ALK
1	AMER1
1	EPHA5
1	EPHB1
1	FGF3
1	KMT2D
1	MAP3K1
1	NCOR1
1	NTRK1
1	NTRK2
1	PBRM1
1	PDGFRA
1	PGR
1	PIK3C2G
1	PRDM14
1	PTPRT
1	RAD50
1	TBX3
1	WT1
2	ATR
2	AXIN2
2	CDKN2A
2	DICER1
2	DIS3
2	EPHA3
2	HGF
2	MDC1
2	MED12
2	NF1
2	PAK7
2	PTPRD
2	TP53
3	FAT1
3	FBXW7
3	FLT4
3	IDH1
3	INHBA
3	IRS2
3	KMT2B
3	PREX2
3	RET
4	APC
4	BRCA2
4	EPHA7
4	GRIN2A
4	IL7R
4	IRS1
4	NOTCH1
4	ROS1
4	TSC1
5	AR
5	ARID1A
5	ARID1B
5	MGA
5	POLE
5	SETD2
5	SOX17
6	ERBB4
6	KDR
6	MET
6	NTRK3
6	PIK3CG
7	ARID2
7	ERCC5
