Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	ABL1	1	179	0	0	1.0		1.0
KRAS	PIK3C2G	7	173	0	0	1.0		1.0
KRAS	PHOX2B	3	177	0	0	1.0		1.0
KRAS	PGR	8	172	0	0	1.0		1.0
KRAS	PDPK1	1	179	0	0	1.0		1.0
KRAS	PDGFRB	3	177	0	0	1.0		1.0
KRAS	PDGFRA	8	172	0	0	1.0		1.0
KRAS	PDCD1	4	176	0	0	1.0		1.0
KRAS	PBRM1	7	173	0	0	1.0		1.0
KRAS	PAX5	1	179	0	0	1.0		1.0
KRAS	PARP1	1	179	0	0	1.0		1.0
KRAS	PARK2	3	177	0	0	1.0		1.0
KRAS	PALB2	6	174	0	0	1.0		1.0
KRAS	PAK7	10	170	0	0	1.0		1.0
KRAS	PAK1	1	179	0	0	1.0		1.0
KRAS	NUP93	1	179	0	0	1.0		1.0
KRAS	NUF2	2	178	0	0	1.0		1.0
KRAS	NTRK3	10	170	0	0	1.0		1.0
KRAS	NTRK2	4	176	0	0	1.0		1.0
KRAS	NTRK1	7	173	0	0	1.0		1.0
KRAS	PIK3C3	3	177	0	0	1.0		1.0
KRAS	NSD1	2	178	0	0	1.0		1.0
KRAS	PIK3CA	7	173	0	0	1.0		1.0
KRAS	PIK3CD	2	178	0	0	1.0		1.0
KRAS	PRDM1	2	178	0	0	1.0		1.0
KRAS	PPP6C	2	178	0	0	1.0		1.0
KRAS	PPP4R2	2	178	0	0	1.0		1.0
KRAS	PPP2R1A	1	179	0	0	1.0		1.0
KRAS	PPM1D	3	177	0	0	1.0		1.0
KRAS	PPARG	2	178	0	0	1.0		1.0
KRAS	POT1	2	178	0	0	1.0		1.0
KRAS	POLE	7	173	0	0	1.0		1.0
KRAS	POLD1	6	174	0	0	1.0		1.0
KRAS	PNRC1	1	179	0	0	1.0		1.0
KRAS	PMS2	1	179	0	0	1.0		1.0
KRAS	PMS1	2	178	0	0	1.0		1.0
KRAS	PMAIP1	1	179	0	0	1.0		1.0
KRAS	PLK2	2	178	0	0	1.0		1.0
KRAS	PLCG2	4	176	0	0	1.0		1.0
KRAS	PIM1	1	179	0	0	1.0		1.0
KRAS	PIK3R2	2	178	0	0	1.0		1.0
KRAS	PIK3R1	2	178	0	0	1.0		1.0
KRAS	PIK3CG	10	170	0	0	1.0		1.0
KRAS	PIK3CB	1	179	0	0	1.0		1.0
KRAS	PRDM14	7	173	0	0	1.0		1.0
KRAS	NRAS	2	178	0	0	1.0		1.0
KRAS	NOTCH4	3	177	0	0	1.0		1.0
KRAS	MSH2	3	177	0	0	1.0		1.0
KRAS	MRE11A	1	179	0	0	1.0		1.0
KRAS	MPL	1	179	0	0	1.0		1.0
KRAS	MLLT1	1	179	0	0	1.0		1.0
KRAS	MLL3	2	178	0	0	1.0		1.0
KRAS	MLL2	4	176	0	0	1.0		1.0
KRAS	MLL	2	178	0	0	1.0		1.0
KRAS	MLH1	1	179	0	0	1.0		1.0
KRAS	MGA	7	173	0	0	1.0		1.0
KRAS	MET	5	175	0	0	1.0		1.0
KRAS	MEN1	2	178	0	0	1.0		1.0
KRAS	MED12	6	174	0	0	1.0		1.0
KRAS	MDM4	1	179	0	0	1.0		1.0
KRAS	MDM2	1	179	0	0	1.0		1.0
KRAS	MDC1	10	170	0	0	1.0		1.0
KRAS	MCL1	1	179	0	0	1.0		1.0
KRAS	MAX	3	177	0	0	1.0		1.0
KRAS	MAPKAP1	1	179	0	0	1.0		1.0
KRAS	MAP3K13	1	179	0	0	1.0		1.0
KRAS	MSH3	2	178	0	0	1.0		1.0
KRAS	NPM1	1	179	0	0	1.0		1.0
KRAS	MSH6	3	177	0	0	1.0		1.0
KRAS	MST1R	2	178	0	0	1.0		1.0
KRAS	NOTCH3	6	174	0	0	1.0		1.0
KRAS	NOTCH2	5	175	0	0	1.0		1.0
KRAS	NOTCH1	6	174	0	0	1.0		1.0
KRAS	NKX3-1	1	179	0	0	1.0		1.0
KRAS	NKX2-1	4	176	0	0	1.0		1.0
KRAS	NFE2L2	6	174	0	0	1.0		1.0
KRAS	NF2	2	178	0	0	1.0		1.0
KRAS	NF1	9	171	0	0	1.0		1.0
KRAS	NEGR1	3	177	0	0	1.0		1.0
KRAS	NCOR1	5	175	0	0	1.0		1.0
