Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
AMER1	KRAS	2	1.0	-10.0	1.0
ARID1A	ATM	2	0.1758241758241758	3.169925001442312	0.5626373626373626
ARID1A	KRAS	3	1.0	-10.0	1.0
ARID1A	MALT1	2	0.03296703296703297	10.0	0.210989010989011
ATM	KRAS	4	1.0	-10.0	1.0
ATM	STK11	2	0.45454545454545453	1.222392421336448	1.0
DNMT3B	KRAS	2	1.0	-10.0	1.0
KEAP1	KRAS	7	1.0	-10.0	1.0
KEAP1	SMARCA4	3	0.27972027972027974	2.169925001442312	0.813731722822632
KEAP1	STK11	3	0.4999999999999999	0.9068905956085185	1.0
KEAP1	TP53	2	0.8671328671328671	-0.9068905956085186	1.0
KMT2C	KRAS	3	1.0	-10.0	1.0
KMT2C	RECQL4	2	0.03296703296703297	10.0	0.210989010989011
KMT2C	TET2	2	0.03296703296703297	10.0	0.210989010989011
KMT2C	TP53	3	0.027472527472527472	10.0	0.210989010989011
KRAS	MALT1	2	1.0	-10.0	1.0
KRAS	NOTCH1	2	1.0	-10.0	1.0
KRAS	PMS1	2	1.0	-10.0	1.0
KRAS	PRDM1	2	1.0	-10.0	1.0
KRAS	PTPRD	2	1.0	-10.0	1.0
KRAS	RECQL4	2	1.0	-10.0	1.0
KRAS	SMARCA4	4	1.0	-10.0	1.0
KRAS	STK11	5	1.0	-10.0	1.0
KRAS	TET2	2	1.0	-10.0	1.0
KRAS	TP53	5	1.0	-10.0	1.0
KRAS	XPO1	2	1.0	-10.0	1.0
NOTCH1	SMARCA4	2	0.06593406593406594	10.0	0.3516483516483517
RECQL4	TET2	2	0.01098901098901099	10.0	0.210989010989011
RECQL4	TP53	2	0.10989010989010989	10.0	0.3907203907203907
SMARCA4	STK11	2	0.45454545454545453	1.222392421336448	1.0
TET2	TP53	2	0.10989010989010989	10.0	0.3907203907203907
TP53	XPO1	2	0.10989010989010989	10.0	0.3907203907203907
