Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	ACVR1	1	13	0	0	1.0		1.0
KRAS	PREX2	1	13	0	0	1.0		1.0
KRAS	PRDM14	1	13	0	0	1.0		1.0
KRAS	PRDM1	2	12	0	0	1.0		1.0
KRAS	POLD1	1	13	0	0	1.0		1.0
KRAS	PMS1	2	12	0	0	1.0		1.0
KRAS	PIK3CG	1	13	0	0	1.0		1.0
KRAS	PIK3C2G	1	13	0	0	1.0		1.0
KRAS	PDCD1LG2	1	13	0	0	1.0		1.0
KRAS	PDCD1	1	13	0	0	1.0		1.0
KRAS	PARP1	1	13	0	0	1.0		1.0
KRAS	PALB2	1	13	0	0	1.0		1.0
KRAS	PAK7	1	13	0	0	1.0		1.0
KRAS	NTRK3	1	13	0	0	1.0		1.0
KRAS	NOTCH3	1	13	0	0	1.0		1.0
KRAS	NOTCH1	2	12	0	0	1.0		1.0
KRAS	NF1	1	13	0	0	1.0		1.0
KRAS	NEGR1	1	13	0	0	1.0		1.0
KRAS	MPL	1	13	0	0	1.0		1.0
KRAS	MGA	1	13	0	0	1.0		1.0
KRAS	PTPRD	2	12	0	0	1.0		1.0
KRAS	MET	1	13	0	0	1.0		1.0
KRAS	RAD21	1	13	0	0	1.0		1.0
KRAS	RECQL4	2	12	0	0	1.0		1.0
KRAS	TSC2	1	13	0	0	1.0		1.0
KRAS	TP63	1	13	0	0	1.0		1.0
KRAS	TP53BP1	1	13	0	0	1.0		1.0
KRAS	TP53	5	9	0	0	1.0		1.0
KRAS	TGFBR2	1	13	0	0	1.0		1.0
KRAS	TET2	2	12	0	0	1.0		1.0
KRAS	TERT	1	13	0	0	1.0		1.0
KRAS	TCF3	1	13	0	0	1.0		1.0
KRAS	TBX3	1	13	0	0	1.0		1.0
KRAS	TAP1	1	13	0	0	1.0		1.0
KRAS	STK11	5	9	0	0	1.0		1.0
KRAS	SPRED1	1	13	0	0	1.0		1.0
KRAS	SPEN	1	13	0	0	1.0		1.0
KRAS	SOX9	1	13	0	0	1.0		1.0
KRAS	SOX17	1	13	0	0	1.0		1.0
KRAS	SMARCA4	4	10	0	0	1.0		1.0
KRAS	SLX4	1	13	0	0	1.0		1.0
KRAS	SF3B1	1	13	0	0	1.0		1.0
KRAS	SETD2	1	13	0	0	1.0		1.0
KRAS	RBM10	1	13	0	0	1.0		1.0
KRAS	MED12	1	13	0	0	1.0		1.0
KRAS	MDC1	1	13	0	0	1.0		1.0
KRAS	MAPKAP1	1	13	0	0	1.0		1.0
KRAS	DNMT3B	2	12	0	0	1.0		1.0
KRAS	CTCF	1	13	0	0	1.0		1.0
KRAS	CRLF2	1	13	0	0	1.0		1.0
KRAS	CREBBP	1	13	0	0	1.0		1.0
KRAS	CCND1	1	13	0	0	1.0		1.0
KRAS	CASP8	1	13	0	0	1.0		1.0
KRAS	BRIP1	1	13	0	0	1.0		1.0
KRAS	BRAF	1	13	0	0	1.0		1.0
KRAS	BLM	1	13	0	0	1.0		1.0
KRAS	BARD1	1	13	0	0	1.0		1.0
KRAS	BAP1	1	13	0	0	1.0		1.0
KRAS	AXIN1	1	13	0	0	1.0		1.0
KRAS	ATRX	1	13	0	0	1.0		1.0
KRAS	ATR	1	13	0	0	1.0		1.0
KRAS	ATM	4	10	0	0	1.0		1.0
KRAS	ARID2	1	13	0	0	1.0		1.0
KRAS	ARID1A	3	11	0	0	1.0		1.0
KRAS	AMER1	2	12	0	0	1.0		1.0
KRAS	ALK	1	13	0	0	1.0		1.0
KRAS	EGFR	1	13	0	0	1.0		1.0
KRAS	EIF4A2	1	13	0	0	1.0		1.0
KRAS	EPHA3	1	13	0	0	1.0		1.0
KRAS	EPHA5	1	13	0	0	1.0		1.0
KRAS	MALT1	2	12	0	0	1.0		1.0
KRAS	KMT2C	3	11	0	0	1.0		1.0
KRAS	KEAP1	7	7	0	0	1.0		1.0
KRAS	KDM5C	1	13	0	0	1.0		1.0
KRAS	JAK3	1	13	0	0	1.0		1.0
KRAS	INSR	1	13	0	0	1.0		1.0
KRAS	INHA	1	13	0	0	1.0		1.0
KRAS	IKBKE	1	13	0	0	1.0		1.0
KRAS	HRAS	1	13	0	0	1.0		1.0
KRAS	UPF1	1	13	0	0	1.0		1.0
KRAS	HNF1A	1	13	0	0	1.0		1.0
KRAS	GLI1	1	13	0	0	1.0		1.0
KRAS	FLT4	1	13	0	0	1.0		1.0
KRAS	FLT3	1	13	0	0	1.0		1.0
KRAS	FLT1	1	13	0	0	1.0		1.0
KRAS	FGF19	1	13	0	0	1.0		1.0
KRAS	FAT1	1	13	0	0	1.0		1.0
KRAS	FANCC	1	13	0	0	1.0		1.0
KRAS	ERBB3	1	13	0	0	1.0		1.0
KRAS	EPHB1	1	13	0	0	1.0		1.0
KRAS	HIST1H1C	1	13	0	0	1.0		1.0
KRAS	XPO1	2	12	0	0	1.0		1.0
