Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	TP53	0.76	0.6231	0.8065
0	PTPRD	0.36	0.1721	0.5814
0	EPHB1	0.24	0.0262	0.5208
0	DIS3	0.22	0.0882	0.5319
0	HGF	0.2	0.0256	0.5376
0	MDC1	0.2	0.0155	0.5319
0	NF1	0.2	0.0363	0.5319
0	ATR	0.16	0.0198	0.5102
0	ERBB4	0.16	0.009	0.5102
0	MTOR	0.16	0.0447	0.5
0	PGR	0.16	0.0275	0.5102
0	PAK7	0.14	0.0216	0.4854
0	PARK2	0.14	0.0096	0.5051
0	AMER1	0.12	0.0062	0.4854
0	INPP4B	0.12	0.0029	0.4808
0	MED12	0.12	0.0057	0.4854
0	RB1	0.12	0.0038	0.495
0	AXIN2	0.1	0.0463	0.4762
0	BRCA1	0.1	0.0062	0.5
0	FLT4	0.1	0.0055	0.4167
0	NOTCH2	0.1	0.0028	0.495
0	ARID2	0.08	0.0008	0.4673
0	KMT2B	0.08	0.01	0.4902
0	NCOR1	0.08	0.0187	0.4902
0	NEGR1	0.08	0.0227	0.495
0	NSD1	0.08	0.0002	0.4673
0	CSDE1	0.06	0.0003	0.4673
0	ERCC3	0.06	0.0	0.4854
0	KMT2C	0.06	0.0008	0.4673
0	PDGFRB	0.06	0.0003	0.4587
0	RASA1	0.06	0.0005	0.365
0	XPO1	0.06	0.0044	0.4032
0	B2M	0.04	0.0	0.4587
0	DNMT3A	0.04	0.0024	0.4587
0	FGF3	0.04	0.0003	0.3571
0	MLL2	0.04	0.0004	0.3497
0	NUF2	0.04	0.0	0.4545
0	PRKD1	0.04	0.0	0.4587
0	BABAM1	0.02	0.0	0.4505
0	BRD4	0.02	0.0	0.4505
0	CCND2	0.02	0.0	0.3247
0	CYLD	0.02	0.0	0.4505
0	EPAS1	0.02	0.0	0.3356
0	ESR1	0.02	0.0	0.3704
0	FAM175A	0.02	0.0	0.3704
0	FGF19	0.02	0.0	0.4505
0	FGFR3	0.02	0.0	0.3497
0	INPPL1	0.02	0.0	0.4505
0	MAP2K4	0.02	0.0	0.3497
0	MAPKAP1	0.02	0.0	0.4505
0	TNFAIP3	0.02	0.0	0.3704
1	SMARCA4	0.4878	0.426	0.6212
1	KEAP1	0.439	0.3349	0.5942
1	GRIN2A	0.3415	0.3717	0.5694
1	STK11	0.1707	0.0879	0.4607
1	BRCA2	0.122	0.0313	0.4881
1	CDKN2A	0.122	0.0277	0.4607
1	EPHA7	0.122	0.0515	0.3905
1	APC	0.0976	0.0111	0.3445
1	CREBBP	0.0976	0.0608	0.4362
1	PDCD1	0.0976	0.005	0.4362
1	STAG2	0.0976	0.0393	0.4659
1	BTK	0.0732	0.0096	0.3417
1	DDR2	0.0732	0.0065	0.402
1	DICER1	0.0732	0.0015	0.4271
1	DOT1L	0.0732	0.0099	0.4059
1	KDR	0.0732	0.0037	0.3565
1	NOTCH1	0.0732	0.0148	0.3868
1	PIK3C3	0.0732	0.0037	0.4316
1	PRDM14	0.0732	0.0065	0.402
1	PTCH1	0.0732	0.0042	0.4227
1	TSC2	0.0732	0.0	0.4659
1	CHEK2	0.0488	0.0	0.3905
1	CTCF	0.0488	0.0488	0.2808
1	FGFR2	0.0488	0.0	0.4184
1	HNF1A	0.0488	0.0	0.4184
1	IL7R	0.0488	0.0951	0.3796
1	LATS2	0.0488	0.0	0.4271
1	TSC1	0.0488	0.0	0.3727
1	AXL	0.0244	0.0	0.306
1	CXCR4	0.0244	0.0	0.3868
1	EGFR	0.0244	0.0	0.3761
1	ERBB3	0.0244	0.0	0.3178
1	FGF4	0.0244	0.0	0.3661
1	HLA-A	0.0244	0.0	0.3661
1	JAK2	0.0244	0.0	0.3761
1	MEN1	0.0244	0.0	0.3868
1	NKX3-1	0.0244	0.0	0.2828
1	PALB2	0.0244	0.0	0.3868
1	PIK3R2	0.0244	0.0	0.3761
1	SCG5	0.0244	0.0	0.3761
1	SF3B1	0.0244	0.0	0.3868
1	SMYD3	0.0244	0.0	0.2204
2	ARID1A	0.3	0.3727	0.5263
2	MGA	0.225	0.1822	0.4598
2	SETD2	0.225	0.2316	0.4819
2	EPHA3	0.2	0.1908	0.4444
2	PIK3CG	0.2	0.1791	0.4494
2	ZFHX3	0.2	0.1733	0.396
2	NTRK3	0.175	0.0696	0.4396
2	POLE	0.175	0.094	0.4255
2	TSHR	0.125	0.0616	0.4598
2	ATM	0.1	0.0609	0.3053
2	PIK3CA	0.1	0.0231	0.3478
2	PTEN	0.1	0.0197	0.367
2	FOXA1	0.075	0.0234	0.396
2	GSK3B	0.075	0.0047	0.381
2	MSH6	0.075	0.0595	0.3704
2	PPM1D	0.075	0.05	0.3774
2	SLX4	0.075	0.0053	0.3478
2	SOX17	0.075	0.0044	0.4
2	ARID1B	0.05	0.0	0.339
2	CUL3	0.05	0.0069	0.3604
2	ERRFI1	0.05	0.0324	0.3306
2	EZH1	0.05	0.0291	0.3571
2	FANCA	0.05	0.0072	0.3361
2	FUBP1	0.05	0.038	0.339
2	KDM6A	0.05	0.0	0.3448
2	PMS1	0.05	0.0055	0.367
2	REL	0.05	0.0	0.3883
2	WT1	0.05	0.0289	0.3333
2	AXIN1	0.025	0.0	0.3008
2	BRIP1	0.025	0.0	0.3478
2	ERCC5	0.025	0.0	0.3101
