Cluster_ID	Gene
0	AMER1
0	ARID2
0	ATR
0	AXIN2
0	B2M
0	BABAM1
0	BRCA1
0	BRD4
0	CCND2
0	CSDE1
0	CYLD
0	DIS3
0	DNMT3A
0	EPAS1
0	EPHB1
0	ERBB4
0	ERCC3
0	ESR1
0	FAM175A
0	FGF19
0	FGF3
0	FGFR3
0	FLT4
0	HGF
0	INPP4B
0	INPPL1
0	KMT2B
0	KMT2C
0	MAP2K4
0	MAPKAP1
0	MDC1
0	MED12
0	MLL2
0	MTOR
0	NCOR1
0	NEGR1
0	NF1
0	NOTCH2
0	NSD1
0	NUF2
0	PAK7
0	PARK2
0	PDGFRB
0	PGR
0	PRKD1
0	PTPRD
0	RASA1
0	RB1
0	TNFAIP3
0	TP53
0	XPO1
1	APC
1	AXL
1	BRCA2
1	BTK
1	CDKN2A
1	CHEK2
1	CREBBP
1	CTCF
1	CXCR4
1	DDR2
1	DICER1
1	DOT1L
1	EGFR
1	EPHA7
1	ERBB3
1	FGF4
1	FGFR2
1	GRIN2A
1	HLA-A
1	HNF1A
1	IL7R
1	JAK2
1	KDR
1	KEAP1
1	LATS2
1	MEN1
1	NKX3-1
1	NOTCH1
1	PALB2
1	PDCD1
1	PIK3C3
1	PIK3R2
1	PRDM14
1	PTCH1
1	SCG5
1	SF3B1
1	SMARCA4
1	SMYD3
1	STAG2
1	STK11
1	TSC1
1	TSC2
2	ARID1A
2	ARID1B
2	ATM
2	AXIN1
2	BRIP1
2	CUL3
2	EPHA3
2	ERCC5
2	ERRFI1
2	EZH1
2	FANCA
2	FOXA1
2	FOXP1
2	FUBP1
2	GSK3B
2	KDM6A
2	LATS1
2	MGA
2	MLL
2	MSH6
2	NF2
2	NTRK3
2	PIK3CA
2	PIK3CG
2	PIK3R1
2	PIM1
2	PMS1
2	POLE
2	PPM1D
2	PTEN
2	PTPRS
2	REL
2	SETD2
2	SLX4
2	SOX17
2	TCF3
2	TET2
2	TSHR
2	WT1
2	YAP1
2	ZFHX3
3	ALK
3	AR
3	ARID5B
3	ASXL2
3	BAP1
3	BCL6
3	CDK12
3	DAXX
3	DNMT3B
3	EP300
3	EPHA5
3	ERCC2
3	FGFR4
3	FH
3	FLT1
3	GATA1
3	JAK3
3	KDM5C
3	KIT
3	KMT2A
3	MAP3K1
3	MET
3	MLL3
3	MSH2
3	MYCN
3	NOTCH3
3	NTRK1
3	NTRK2
3	PBRM1
3	PHOX2B
3	POLD1
3	PRDM1
3	PTPRT
3	RAD50
3	RBM10
3	ROS1
3	SOX9
3	SPEN
3	TBX3
3	XIAP
3	XRCC2
4	ANKRD11
4	ATRX
4	BCOR
4	CARD11
4	CSF1R
4	CTNNB1
4	DNMT1
4	DROSHA
4	ETV1
4	ETV6
4	FBXW7
4	FLCN
4	GLI1
4	IL10
4	IRS1
4	IRS2
4	KDM5A
4	KMT2D
4	MST1R
4	NCOA3
4	NOTCH4
4	NRAS
4	PIK3C2G
4	PLK2
4	PPP2R1A
4	RET
4	RICTOR
4	SDHB
4	SMAD4
4	TERT
4	TET1
4	TGFBR2
4	U2AF1
5	ASXL1
5	BARD1
5	BRAF
5	CBL
5	CIC
5	FAT1
5	FLT3
5	FOXO1
5	GATA3
5	IDH1
5	IKZF1
5	INHBA
5	KLF4
5	MLH1
5	MRE11A
5	MSH3
5	NBN
5	NFE2L2
5	PAK1
5	PARP1
5	PDGFRA
5	PLCG2
5	PREX2
5	RECQL4
5	RPTOR
5	SH2B3
5	SMO
5	TEK
5	TGFBR1
5	TP63
