Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	ARID2	2	0.016930462729663722	3.9789383844721704	0.10328113000603638
ABL1	KRAS	5	1.0	-10.0	1.0
ABL1	PTPRD	2	0.0879417302496274	2.548578350226967	0.19476624476378027
ABL1	RBM10	2	0.14885507725045838	2.0419940886646275	0.25738708997289694
ABL1	SLX4	2	0.0039013618216270393	5.214642921731513	0.07085294885733809
ABL1	TP53	4	0.12093388090488458	2.3632163033779943	0.23103571406324516
AGO2	CEBPA	2	0.0003648335171929306	7.557144556581394	0.04112531599094079
AGO2	ERCC3	2	0.001014352657754065	6.54946381949977	0.05149383318233245
AGO2	FLT4	2	0.008844834033941385	4.703079600013797	0.08395228536266595
AGO2	INHBA	2	0.005413039075840519	5.108524456778169	0.07565985452639545
AGO2	KRAS	4	1.0	-10.0	1.0
AGO2	PTPRT	2	0.0416451098509215	3.4048808842426728	0.14068001035434624
AGO2	SMARCA4	2	0.08330548584865678	2.7842713089445628	0.19064579630907813
AGO2	TP53	3	0.22824564365085218	1.9423731824179447	0.3352850828648492
AKT1	ARID1A	2	0.006907278360868554	10.0	0.08016837191004099
AKT1	KRAS	2	1.0	-10.0	1.0
AKT1	TP53	2	0.19366098000073487	10.0	0.3017327999050681
AKT2	EGFR	2	0.00047763095048559143	10.0	0.04249801065268739
AKT2	KRAS	2	1.0	-10.0	1.0
AKT2	TP53	2	0.19366098000073487	10.0	0.3017327999050681
AKT3	AR	2	0.023715729810865064	3.4594316186372973	0.11142813014924763
AKT3	ASXL1	2	0.04114223792811326	2.963474123974886	0.13948222126848153
AKT3	ATM	2	0.4198410671174987	0.606988807051155	0.5182981919712323
AKT3	ATRX	2	0.16337182867724337	1.6753369373913989	0.27080456337722636
AKT3	BARD1	2	0.03642422368140888	3.073029209764102	0.13220453752415512
AKT3	BCOR	2	0.10580029806288076	2.097610796626422	0.2148390052490775
AKT3	BRCA1	2	0.04608427299516475	2.8612937291684077	0.14693609270659302
AKT3	BRCA2	2	0.06790126893289057	2.5096291754958675	0.17373867321520836
AKT3	CARD11	2	0.07382204127179233	2.4329594072761065	0.1791243046320547
AKT3	CREBBP	2	0.06790126893289057	2.5096291754958675	0.17373867321520836
AKT3	DIS3	2	0.03642422368140888	3.073029209764102	0.13220453752415512
AKT3	EPHA3	2	0.14103253133748056	1.8210298589546805	0.2511593058631815
AKT3	EPHB1	2	0.08616276113507712	2.2901026490319643	0.19275953222430384
AKT3	FAT1	3	0.08666006141358087	1.797507136101257	0.19280542627000197
AKT3	GATA1	2	0.013399801323233457	3.9818526532897405	0.0950522966282344
AKT3	GATA3	2	0.023715729810865064	3.4594316186372973	0.11142813014924763
AKT3	INPP4B	2	0.051240574222217956	2.765534746362977	0.1541177085570883
AKT3	KEAP1	3	0.6433818232388321	-0.08130010210184817	0.7327473827679091
AKT3	KMT2B	2	0.062158208359464125	2.590295945024197	0.16628161877217332
AKT3	KRAS	12	1.0	-10.0	1.0
AKT3	NF1	2	0.17866056083795281	1.584962500721156	0.2868592833256239
AKT3	PAK1	2	0.01054526186955746	4.206851570440669	0.09040123170995074
AKT3	PDGFRA	2	0.11261565217785668	2.0383281186590994	0.22278527846459945
AKT3	PIK3C2G	2	0.07382204127179233	2.4329594072761065	0.1791243046320547
AKT3	PIK3CA	2	0.12660680514236605	1.925999418556223	0.23572729204145468
