Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	ABL1	5	567	0	0	1.0		1.0
KRAS	PNRC1	3	569	0	0	1.0		1.0
KRAS	PMS2	6	566	0	0	1.0		1.0
KRAS	PMS1	7	565	0	0	1.0		1.0
KRAS	PMAIP1	1	571	0	0	1.0		1.0
KRAS	PLK2	5	567	0	0	1.0		1.0
KRAS	PLCG2	13	559	0	0	1.0		1.0
KRAS	PIM1	5	567	0	0	1.0		1.0
KRAS	PIK3R2	5	567	0	0	1.0		1.0
KRAS	PIK3R1	9	563	0	0	1.0		1.0
KRAS	PIK3CG	34	538	0	0	1.0		1.0
KRAS	PIK3CD	6	566	0	0	1.0		1.0
KRAS	PIK3CB	4	568	0	0	1.0		1.0
KRAS	PIK3CA	30	542	0	0	1.0		1.0
KRAS	PIK3C3	11	561	0	0	1.0		1.0
KRAS	PIK3C2G	22	550	0	0	1.0		1.0
KRAS	PHOX2B	6	566	0	0	1.0		1.0
KRAS	PGR	15	557	0	0	1.0		1.0
KRAS	PDPK1	1	571	0	0	1.0		1.0
KRAS	PDGFRB	15	557	0	0	1.0		1.0
KRAS	PDGFRA	28	544	0	0	1.0		1.0
KRAS	PDCD1LG2	1	571	0	0	1.0		1.0
KRAS	PDCD1	11	561	0	0	1.0		1.0
KRAS	PBRM1	21	551	0	0	1.0		1.0
KRAS	PAX5	6	566	0	0	1.0		1.0
KRAS	PARP1	10	562	0	0	1.0		1.0
KRAS	POLD1	13	559	0	0	1.0		1.0
KRAS	PARK2	11	561	0	0	1.0		1.0
KRAS	POLE	31	541	0	0	1.0		1.0
KRAS	PPARG	4	568	0	0	1.0		1.0
KRAS	RAD51D	1	571	0	0	1.0		1.0
KRAS	RAD51C	3	569	0	0	1.0		1.0
KRAS	RAD51B	2	570	0	0	1.0		1.0
KRAS	RAD51	1	571	0	0	1.0		1.0
KRAS	RAD50	8	564	0	0	1.0		1.0
KRAS	RAD21	4	568	0	0	1.0		1.0
KRAS	RAC2	2	570	0	0	1.0		1.0
KRAS	RAC1	3	569	0	0	1.0		1.0
KRAS	PTPRT	51	521	0	0	1.0		1.0
KRAS	PTPRS	11	561	0	0	1.0		1.0
KRAS	PTPRD	60	512	0	0	1.0		1.0
KRAS	PTPN11	6	566	0	0	1.0		1.0
KRAS	PTP4A1	2	570	0	0	1.0		1.0
KRAS	PTEN	12	560	0	0	1.0		1.0
KRAS	PTCH1	8	564	0	0	1.0		1.0
KRAS	PRKD1	12	560	0	0	1.0		1.0
KRAS	PRKCI	2	570	0	0	1.0		1.0
KRAS	PRKAR1A	1	571	0	0	1.0		1.0
KRAS	PREX2	30	542	0	0	1.0		1.0
KRAS	PRDM14	14	558	0	0	1.0		1.0
KRAS	PRDM1	6	566	0	0	1.0		1.0
KRAS	PPP6C	3	569	0	0	1.0		1.0
KRAS	PPP4R2	3	569	0	0	1.0		1.0
KRAS	PPP2R1A	12	560	0	0	1.0		1.0
KRAS	PPM1D	9	563	0	0	1.0		1.0
KRAS	POT1	3	569	0	0	1.0		1.0
KRAS	PALB2	13	559	0	0	1.0		1.0
KRAS	PAK7	23	549	0	0	1.0		1.0
KRAS	PAK1	8	564	0	0	1.0		1.0
KRAS	MST1R	8	564	0	0	1.0		1.0
KRAS	MST1	2	570	0	0	1.0		1.0
KRAS	MSI1	4	568	0	0	1.0		1.0
KRAS	MSH6	11	561	0	0	1.0		1.0
KRAS	MSH3	8	564	0	0	1.0		1.0
KRAS	MSH2	8	564	0	0	1.0		1.0
KRAS	MRE11A	11	561	0	0	1.0		1.0
KRAS	MPL	5	567	0	0	1.0		1.0
