Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	5/94	3.948407879058492e-08	2.1874179649984045e-05	0	0	69.83848314606742	1190.5623447439766	RET;EPHA5;NTRK3;IRS2;EPHA3
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	5/140	2.908524823263029e-07	8.05661376043859e-05	0	0	45.93518518518518	691.3451909614348	RET;EPHA5;PTPRD;NTRK3;EPHA3
KEGG_2021_Human	Hepatocellular carcinoma	5/168	7.189827374287117e-07	5.19514787903206e-05	0	0	37.99079754601227	537.3961099140131	PIK3CA;KEAP1;ARID1A;TP53;SMARCA4
KEGG_2021_Human	Central carbon metabolism in cancer	4/70	7.871436180351606e-07	5.19514787903206e-05	0	0	70.99108734402851	997.7694472331232	RET;PIK3CA;NTRK3;TP53
GO_Biological_Process_2021	axon guidance (GO:0007411)	5/203	1.828126345527897e-06	0.00033759399847415163	0	0	31.220012626262623	412.48564308030626	RET;EPHA5;PIK3CA;IRS2;EPHA3
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	6/404	2.7469984181169097e-06	0.000380459280909192	0	0	19.679396984924622	251.994712372566	RET;EPHA5;PIK3CA;NTRK3;IRS2;EPHA3
KEGG_2021_Human	Longevity regulating pathway	4/102	3.5696258468096657e-06	0.00015706353725962528	0	0	47.73349339735894	598.7235834974356	STK11;PIK3CA;IRS2;TP53
GO_Biological_Process_2021	axonogenesis (GO:0007409)	5/240	4.151043069059517e-06	0.00045993557205179446	0	0	26.25531914893617	325.35987717206626	RET;EPHA5;PIK3CA;IRS2;EPHA3
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	4/114	5.5595797720465605e-06	0.0004878527213091657	0	0	42.50053475935829	514.2559619896613	RET;EPHA5;NTRK3;EPHA3
GO_Biological_Process_2021	positive regulation of cell projection organization (GO:0031346)	4/117	6.164204059863105e-06	0.0004878527213091657	0	0	41.36595523165018	496.25708696133967	RET;PTPRD;NTRK3;EPHA3
Reactome_2022	Developmental Biology R-HSA-1266738	8/1073	7.268449011432828e-06	0.000882902188076652	0	0	10.928999638858794	129.31156995646217	RET;EPHA5;MED12;KMT2D;PIK3CA;IRS2;EPHA3;SMARCA4
GO_Biological_Process_2021	circulatory system development (GO:0072359)	4/126	8.271340537826664e-06	0.0005727903322444965	0	0	38.2970106075217	448.17896087708823	STK11;PIK3CA;NTRK3;NF1
Reactome_2022	RET Signaling R-HSA-8853659	3/40	9.612941590023711e-06	0.000882902188076652	0	0	89.82882882882883	1037.7385877672834	RET;PIK3CA;IRS2
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	6/511	1.0573244761532607e-05	0.0006508419553210072	0	0	15.424950495049504	176.7264933411498	RET;MED12;ZFHX3;ARID1A;TP53;SMARCA4
Reactome_2022	Nervous System Development R-HSA-9675108	6/545	1.524814624525459e-05	0.000882902188076652	0	0	14.426716141001856	160.00746785347906	RET;EPHA5;PIK3CA;IRS2;EPHA3;SMARCA4
Reactome_2022	Generic Transcription Pathway R-HSA-212436	8/1190	1.5541333435634767e-05	0.000882902188076652	0	0	9.786281400494598	108.35378018298395	MED12;KMT2D;ZFHX3;GRIN2A;STK11;ARID1A;TP53;SMARCA4
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	4/148	1.5622832085128054e-05	0.0008655048975160942	0	0	32.41013071895425	358.67569304875883	RET;EPHA5;NTRK3;EPHA3
Reactome_2022	Activated NTRK3 Signals Thru PI3K R-HSA-9603381	2/6	1.5710003346559643e-05	0.000882902188076652	0	0	525.6578947368421	5814.413882399967	PIK3CA;NTRK3
Reactome_2022	RUNX3 Regulates CDKN1A Transcription R-HSA-8941855	2/7	2.198015227094698e-05	0.0010294037980226	0	0	420.5052631578947	4510.074820809474	ZFHX3;TP53
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	8/1312	3.158141285682433e-05	0.001267768144681	0	0	8.813119395941483	91.32984347497124	MED12;KMT2D;ZFHX3;GRIN2A;STK11;ARID1A;TP53;SMARCA4
