Cluster_ID	Gene
0	ARID1A
0	ASXL1
0	BARD1
0	BCL6
0	BRIP1
0	CHEK2
0	CIC
0	EPHA5
0	FAT1
0	FGFR4
0	FLT4
0	FOXO1
0	GLI1
0	JAK2
0	KDR
0	KMT2B
0	LATS2
0	MAP3K1
0	MGA
0	MLH1
0	MLL2
0	MSH3
0	MSH6
0	NBN
0	NEGR1
0	NF2
0	NFE2L2
0	NOTCH3
0	PAK1
0	PALB2
0	PARP1
0	PBRM1
0	PIK3CG
0	POLD1
0	POLE
0	PPM1D
0	RAD50
0	RASA1
0	RPTOR
0	SMO
0	SOX17
0	TCF3
0	TRAF7
0	U2AF1
0	XPO1
1	BRAF
1	BRCA2
1	CBL
1	CSF1R
1	DNMT3A
1	DNMT3B
1	EIF1AX
1	EP300
1	EPHA7
1	ETV1
1	FH
1	FLCN
1	GRIN2A
1	HLA-A
1	IDH1
1	IL10
1	IL7R
1	INHBA
1	IRS1
1	KDM5C
1	KMT2D
1	MRE11A
1	MST1R
1	MTOR
1	NOTCH1
1	NOTCH4
1	PDGFRA
1	PLCG2
1	PLK2
1	PPP2R1A
1	PREX2
1	PTPRT
1	REL
1	RET
1	ROS1
1	SPEN
1	TBX3
1	TERT
1	TSC1
2	ALK
2	APC
2	ARID2
2	ATR
2	AXIN1
2	AXIN2
2	B2M
2	BCOR
2	CCND2
2	CDKN2A
2	DIS3
2	ERCC3
2	FAM175A
2	FLT1
2	FLT3
2	GATA3
2	IKZF1
2	INPP4B
2	INPPL1
2	KMT2C
2	MDC1
2	NOTCH2
2	NTRK2
2	PAK7
2	PARK2
2	PDGFRB
2	PRDM14
2	PTEN
2	PTPRD
2	RB1
2	SLX4
2	TET2
2	TNFAIP3
2	TP53
3	AMER1
3	BTK
3	CARD11
3	CSDE1
3	EPHB1
3	FBXW7
3	FGF3
3	GATA1
3	HGF
3	IRS2
3	JAK3
3	KMT2A
3	NCOR1
3	NTRK1
3	PGR
3	PIK3C2G
3	RBM10
3	SMAD4
3	TET1
3	XIAP
4	ATM
4	CREBBP
4	CTCF
4	CXCR4
4	FGFR2
4	FUBP1
4	HNF1A
4	INSR
4	KEAP1
4	MEN1
4	PDCD1
4	PIK3C3
4	PRKD1
4	SMARCA4
4	STAG2
4	STK11
4	TGFBR2
4	TSC2
5	AR
5	BRCA1
5	EPHA3
5	ERBB4
5	EZH1
5	FOXA1
5	KDM6A
5	MET
5	MLL
5	NTRK3
5	SETD2
5	SF3B1
5	TP63
5	TSHR
5	ZFHX3
6	ASXL2
6	ATRX
6	CUL3
6	DNMT1
6	FANCA
6	MED12
6	NF1
6	PIK3CA
6	PMS1
6	RECQL4
6	RICTOR
