Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	ARID2	2	0.02463555847698721	3.7318038890504273	0.12533582016078285
ABL1	HGF	2	0.03438099782575463	3.4360991148066735	0.1398229202993514
ABL1	KRAS	5	1.0	-10.0	1.0
ABL1	PTPRD	2	0.18437507652126497	1.8398427748065085	0.3155516324334963
ABL1	RBM10	2	0.11789187190165462	2.2969817377571315	0.2447322353536641
ABL1	TP53	4	0.189607943845232	2.0098477859563473	0.32007140479259333
AGO2	CEBPA	2	0.001337564697819504	6.599912842187128	0.07130932651351263
AGO2	ERCC3	2	0.001997255836409517	6.1799090900149345	0.07471872049828927
AGO2	FLT4	2	0.01927777561948874	4.118941072723508	0.11984078498946307
AGO2	INHBA	2	0.010058201447121934	4.685226624194585	0.10267578537987032
AGO2	KRAS	4	1.0	-10.0	1.0
AGO2	PTPRT	2	0.061973018405733694	3.084722678905427	0.17979525446780065
AGO2	SMARCA4	2	0.100970723880518	2.6254415700762266	0.22434880033430254
AGO2	TP53	3	0.31629857901044345	1.584962500721156	0.440805988189999
AKT1	ARID1A	2	0.014236322961155175	10.0	0.11092354888471767
AKT1	KRAS	2	1.0	-10.0	1.0
AKT1	TP53	2	0.25252525252525254	10.0	0.38014052605851645
AKT2	EGFR	2	0.001016880211511084	10.0	0.07130932651351263
AKT2	KRAS	2	1.0	-10.0	1.0
AKT2	TP53	2	0.25252525252525254	10.0	0.38014052605851645
AKT3	AR	2	0.01949802219583166	3.82273014794452	0.11984078498946307
AKT3	ATM	2	0.23877226630951964	1.4131379663633623	0.3703833213594566
AKT3	ATRX	2	0.12504717589094927	2.089498150839103	0.253768546691045
AKT3	BARD1	2	0.03265681455616814	3.347923303420307	0.1354222340107112
AKT3	CARD11	2	0.04296457298804271	3.096573259695053	0.1518479054000642
AKT3	KMT2B	2	0.048541805694992696	2.984459149104222	0.1599580035051059
AKT3	KRAS	7	1.0	-10.0	1.0
AKT3	POLD1	2	0.01949802219583166	3.82273014794452	0.11984078498946307
AKT3	TP53	5	0.22933388959882858	1.331843563752445	0.3581958335457822
AKT3	U2AF1	2	0.01949802219583166	3.82273014794452	0.11984078498946307
ALK	AMER1	2	0.22950903592344477	1.3464504140214313	0.3581958335457822
ALK	APC	4	0.0402943795043365	1.9779736936700012	0.14931097259016432
ALK	ARID2	3	0.04636428094861608	2.255545426995596	0.15797194386756733
ALK	ATRX	3	0.1672325402637996	1.310787537282162	0.29968012382365145
ALK	BARD1	2	0.14915624576643297	1.8153625006589702	0.2785571500908407
ALK	BCOR	2	0.16864264753703226	1.6844981742720706	0.3001971828957351
ALK	BTK	3	0.008804292520519737	3.408084738637077	0.10267578537987032
ALK	CDK12	2	0.015260997856834508	4.321928094887363	0.11253692695215299
ALK	DDR2	2	0.048541805694992696	2.984459149104222	0.1599580035051059
ALK	EIF1AX	2	0.02463555847698721	3.7318038890504273	0.12533582016078285
ALK	EP300	2	0.11200674388528725	2.1154772174199357	0.23814457200309916
