Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	ABL1	5	293	0	0	1.0		1.0
KRAS	PLCG2	10	288	0	0	1.0		1.0
KRAS	PIM1	4	294	0	0	1.0		1.0
KRAS	PIK3R2	2	296	0	0	1.0		1.0
KRAS	PIK3R1	6	292	0	0	1.0		1.0
KRAS	PIK3CG	23	275	0	0	1.0		1.0
KRAS	PIK3CD	2	296	0	0	1.0		1.0
KRAS	PIK3CB	2	296	0	0	1.0		1.0
KRAS	PIK3CA	14	284	0	0	1.0		1.0
KRAS	PIK3C3	5	293	0	0	1.0		1.0
KRAS	PIK3C2G	13	285	0	0	1.0		1.0
KRAS	PHOX2B	3	295	0	0	1.0		1.0
KRAS	PGR	9	289	0	0	1.0		1.0
KRAS	PDPK1	1	297	0	0	1.0		1.0
KRAS	PDGFRB	10	288	0	0	1.0		1.0
KRAS	PDGFRA	19	279	0	0	1.0		1.0
KRAS	PDCD1LG2	1	297	0	0	1.0		1.0
KRAS	PDCD1	8	290	0	0	1.0		1.0
KRAS	PBRM1	10	288	0	0	1.0		1.0
KRAS	PAX5	5	293	0	0	1.0		1.0
KRAS	PARP1	8	290	0	0	1.0		1.0
KRAS	PARK2	10	288	0	0	1.0		1.0
KRAS	PALB2	8	290	0	0	1.0		1.0
KRAS	PAK7	16	282	0	0	1.0		1.0
KRAS	PLK2	4	294	0	0	1.0		1.0
KRAS	PMS1	6	292	0	0	1.0		1.0
KRAS	PMS2	2	296	0	0	1.0		1.0
KRAS	PNRC1	1	297	0	0	1.0		1.0
KRAS	RAD50	7	291	0	0	1.0		1.0
KRAS	RAD21	3	295	0	0	1.0		1.0
KRAS	RAC2	1	297	0	0	1.0		1.0
KRAS	RAC1	3	295	0	0	1.0		1.0
KRAS	PTPRT	33	265	0	0	1.0		1.0
KRAS	PTPRS	7	291	0	0	1.0		1.0
KRAS	PTPRD	48	250	0	0	1.0		1.0
KRAS	PTPN11	4	294	0	0	1.0		1.0
KRAS	PTP4A1	2	296	0	0	1.0		1.0
KRAS	PTEN	9	289	0	0	1.0		1.0
KRAS	PTCH1	5	293	0	0	1.0		1.0
KRAS	PAK1	6	292	0	0	1.0		1.0
KRAS	PRKD1	6	292	0	0	1.0		1.0
KRAS	PREX2	20	278	0	0	1.0		1.0
KRAS	PRDM14	8	290	0	0	1.0		1.0
KRAS	PRDM1	5	293	0	0	1.0		1.0
KRAS	PPP6C	2	296	0	0	1.0		1.0
KRAS	PPP4R2	2	296	0	0	1.0		1.0
KRAS	PPP2R1A	8	290	0	0	1.0		1.0
KRAS	PPM1D	7	291	0	0	1.0		1.0
KRAS	PPARG	3	295	0	0	1.0		1.0
KRAS	POT1	1	297	0	0	1.0		1.0
KRAS	POLE	16	282	0	0	1.0		1.0
KRAS	POLD1	10	288	0	0	1.0		1.0
KRAS	PRKCI	1	297	0	0	1.0		1.0
KRAS	NUP93	2	296	0	0	1.0		1.0
KRAS	NUF2	4	294	0	0	1.0		1.0
KRAS	NTRK3	20	278	0	0	1.0		1.0
KRAS	MSI1	2	296	0	0	1.0		1.0
KRAS	MSH6	8	290	0	0	1.0		1.0
KRAS	MSH3	6	292	0	0	1.0		1.0
KRAS	MSH2	5	293	0	0	1.0		1.0
KRAS	MRE11A	7	291	0	0	1.0		1.0
KRAS	MPL	4	294	0	0	1.0		1.0
KRAS	MLL4	1	297	0	0	1.0		1.0
KRAS	MLL3	3	295	0	0	1.0		1.0
KRAS	MLL2	6	292	0	0	1.0		1.0
KRAS	MLL	4	294	0	0	1.0		1.0
KRAS	MLH1	4	294	0	0	1.0		1.0
KRAS	MST1	1	297	0	0	1.0		1.0
KRAS	MITF	3	295	0	0	1.0		1.0
KRAS	MET	8	290	0	0	1.0		1.0
KRAS	MEN1	4	294	0	0	1.0		1.0
KRAS	MEF2B	1	297	0	0	1.0		1.0
KRAS	MED12	17	281	0	0	1.0		1.0
KRAS	MDM4	6	292	0	0	1.0		1.0
KRAS	MDC1	16	282	0	0	1.0		1.0
KRAS	MCL1	3	295	0	0	1.0		1.0
KRAS	MAX	6	292	0	0	1.0		1.0
KRAS	MAPKAP1	2	296	0	0	1.0		1.0
KRAS	MAPK3	1	297	0	0	1.0		1.0
KRAS	MAPK1	1	297	0	0	1.0		1.0
KRAS	MGA	22	276	0	0	1.0		1.0
KRAS	RAD51	1	297	0	0	1.0		1.0
KRAS	MST1R	7	291	0	0	1.0		1.0
KRAS	MUTYH	3	295	0	0	1.0		1.0
KRAS	NTRK2	9	289	0	0	1.0		1.0
KRAS	NTRK1	10	288	0	0	1.0		1.0
KRAS	NTHL1	1	297	0	0	1.0		1.0
KRAS	NSD1	8	290	0	0	1.0		1.0
KRAS	NRAS	4	294	0	0	1.0		1.0
KRAS	NPM1	2	296	0	0	1.0		1.0
KRAS	NOTCH4	20	278	0	0	1.0		1.0
KRAS	NOTCH3	16	282	0	0	1.0		1.0
KRAS	NOTCH2	13	285	0	0	1.0		1.0
KRAS	NOTCH1	14	284	0	0	1.0		1.0
KRAS	NKX3-1	2	296	0	0	1.0		1.0
KRAS	MTOR	12	286	0	0	1.0		1.0
KRAS	NKX2-1	8	290	0	0	1.0		1.0
KRAS	NFE2L2	15	283	0	0	1.0		1.0
KRAS	NF2	6	292	0	0	1.0		1.0
