Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	ARID1A	0.3571	0.5275	0.5385
0	RBM10	0.2857	0.3187	0.4667
0	RNF43	0.2857	0.3187	0.4667
0	TGFBR2	0.2857	0.5165	0.5385
0	GNAS	0.1429	0.0989	0.4242
0	SMARCA4	0.1429	0.1429	0.3784
0	AR	0.0714	0.0	0.3256
0	CCND2	0.0714	0.0	0.28
0	DOT1L	0.0714	0.0	0.359
0	FLT4	0.0714	0.0	0.3256
0	KDM6A	0.0714	0.0	0.359
0	PTPRS	0.0714	0.0	0.359
0	RET	0.0714	0.0	0.3256
0	SMAD2	0.0714	0.0	0.359
0	SRC	0.0714	0.0	0.3256
1	ATM	0.7143	0.5397	0.7778
1	BRCA2	0.7143	0.254	0.7778
1	KMT2D	0.5714	0.0635	0.5833
1	BCOR	0.4286	0.0476	0.6364
1	INSR	0.4286	0.0476	0.6364
1	EP300	0.2857	0.0	0.5
1	AXIN2	0.1429	0.0	0.4667
1	PALB2	0.1429	0.0	0.4667
2	CDKN2A	1.0	1.0	1.0
2	KMT2C	0.25	0.0	0.5714
2	NOTCH3	0.25	0.0	0.5714
2	PTPN11	0.25	0.0	0.5714
2	TP53	0.25	0.0	0.5714
3	SMAD4	1.0	1.0	1.0
3	AKT3	0.3333	0.0	0.6
3	FANCA	0.3333	0.0	0.6
3	SETD2	0.3333	0.0	0.6
