Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Generic Transcription Pathway R-HSA-212436	8/1190	6.12861401034143e-08	1.1644366619648716e-05	0	0	31.820642978003384	528.4680780209064	KMT2D;NOTCH3;SMAD4;CDKN2A;KMT2C;AKT3;ATM;ARID1A
KEGG_2021_Human	Pancreatic cancer	4/76	9.3104480691915e-08	1.0520806318186396e-05	0	0	138.30555555555554	2239.103811566557	SMAD4;CDKN2A;AKT3;BRCA2
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	8/1312	1.3105833170293916e-07	1.245054151177922e-05	0	0	28.65644171779141	454.1364943983969	KMT2D;NOTCH3;SMAD4;CDKN2A;KMT2C;AKT3;ATM;ARID1A
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	8/1449	2.832596682448116e-07	1.7939778988838067e-05	0	0	25.741845940319223	388.1072835052757	KMT2D;NOTCH3;SMAD4;CDKN2A;KMT2C;AKT3;ATM;ARID1A
Reactome_2022	Regulation Of TP53 Degradation R-HSA-6804757	3/36	1.165114570912483e-06	4.816469379161934e-05	0	0	201.56565656565655	2753.929308405045	CDKN2A;AKT3;ATM
Reactome_2022	Regulation Of TP53 Expression And Degradation R-HSA-6806003	3/37	1.2674919418847194e-06	4.816469379161934e-05	0	0	195.62745098039215	2656.3215641045117	CDKN2A;AKT3;ATM
KEGG_2021_Human	Hepatocellular carcinoma	4/168	2.2560319027645705e-06	0.00012746580250619824	0	0	60.4390243902439	785.8223375610082	SMAD4;CDKN2A;AKT3;ARID1A
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	4/219	6.462770512528016e-06	0.00024343102263855524	0	0	45.98372093023256	549.4802871989486	SMAD4;CDKN2A;AKT3;ATM
KEGG_2021_Human	Pathways in cancer	5/531	8.785597467790397e-06	0.0002481931284650787	0	0	26.428571428571427	307.69191618560654	NOTCH3;SMAD4;CDKN2A;AKT3;BRCA2
GO_Biological_Process_2021	histone H3-K4 monomethylation (GO:0097692)	2/8	9.221402746009655e-06	0.0027571994210568	0	0	666.0666666666667	7722.365870178143	KMT2D;KMT2C
KEGG_2021_Human	Chronic myeloid leukemia	3/76	1.131793592175856e-05	0.00025578535183174345	0	0	90.93607305936074	1035.6820158044331	SMAD4;CDKN2A;AKT3
Reactome_2022	Disease R-HSA-1643685	7/1736	1.9639084768894503e-05	0.0006219043510149927	0	0	14.784615384615384	160.23549678588668	NOTCH3;RNF43;SMAD4;CDKN2A;AKT3;ATM;BRCA2
GO_Biological_Process_2021	replicative senescence (GO:0090399)	2/12	2.170739140750197e-05	0.0028588778454109	0	0	399.56	4290.418437618562	CDKN2A;ATM
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	6/1183	2.8684393097768283e-05	0.0028588778454109	0	0	15.982158028887	167.15990605798476	KMT2D;SMAD4;KMT2C;ATM;BRCA2;ARID1A
KEGG_2021_Human	Cell cycle	3/124	4.912517082528199e-05	0.0009251907172094774	0	0	54.73002754820936	542.9842113499814	SMAD4;CDKN2A;ATM
KEGG_2021_Human	FoxO signaling pathway	3/131	5.786206237200637e-05	0.0009338778266510596	0	0	51.71875	504.6430455506087	SMAD4;AKT3;ATM
KEGG_2021_Human	Apelin signaling pathway	3/137	6.611524436467678e-05	0.0009338778266510596	0	0	49.38805970149254	475.316179107482	NOTCH3;SMAD4;AKT3
KEGG_2021_Human	Breast cancer	3/147	8.15225290910805e-05	0.0010235606430324	0	0	45.93518518518518	432.4628251119535	NOTCH3;AKT3;BRCA2
Reactome_2022	Impaired BRCA2 Binding To PALB2 R-HSA-9709603	2/24	9.041513427391056e-05	0.0020923640934084	0	0	181.5090909090909	1690.049094896529	ATM;BRCA2
KEGG_2021_Human	Cellular senescence	3/156	9.725102178906711e-05	0.0010989365462164	0	0	43.21350762527233	399.2156773148474	CDKN2A;AKT3;ATM
Reactome_2022	Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192	2/25	9.824463189820386e-05	0.0020923640934084	0	0	173.6086956521739	1602.0697145166423	ATM;BRCA2
Reactome_2022	Regulation Of TP53 Activity R-HSA-5633007	3/157	9.911198337197704e-05	0.0020923640934084	0	0	42.93073593073593	395.7896252054084	CDKN2A;AKT3;ATM
Reactome_2022	Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554	2/27	0.0001148697562279265	0.0021825253683306	0	0	159.704	1448.7886335131675	ATM;BRCA2
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	5/908	0.00011565967619876464	0.0075734427804039	0	0	15.096503717766176	136.84767011924768	KMT2D;NOTCH3;SMAD4;KMT2C;ATM
GO_Biological_Process_2021	histone H3-K4 methylation (GO:0051568)	2/30	0.00014221789991262262	0.0075734427804039	0	0	142.57142857142858	1262.919124249693	KMT2D;KMT2C
GO_Biological_Process_2021	regulation of cellular senescence (GO:2000772)	2/31	0.0001519754404094439	0.0075734427804039	0	0	137.64827586206897	1210.1749591161836	CDKN2A;AKT3
Reactome_2022	Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568	2/33	0.0001724508188758112	0.0028383725800245	0	0	128.7548387096774	1115.711982374121	ATM;BRCA2
Reactome_2022	Resolution Of D-Loop Structures R-HSA-5693537	2/34	0.0001831680104570772	0.0028383725800245	0	0	124.725	1073.2719376950276	ATM;BRCA2
Reactome_2022	Impaired BRCA2 Binding To RAD51 R-HSA-9709570	2/35	0.00019420443968589212	0.0028383725800245	0	0	120.93939393939394	1033.6205203504062	ATM;BRCA2
Reactome_2022	Transcriptional Regulation By RUNX1 R-HSA-8878171	3/204	0.00021495044635631852	0.0029171846291214	0	0	32.814262023217246	277.1198239172691	KMT2D;KMT2C;ARID1A
Reactome_2022	Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616	2/40	0.00025416386531107297	0.0031719188083096	0	0	105.0	869.1407927935406	ATM;BRCA2
Reactome_2022	Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190	2/41	0.00026710895227871097	0.0031719188083096	0	0	102.3025641025641	841.7305532644758	ATM;BRCA2
KEGG_2021_Human	Homologous recombination	2/41	0.00026710895227871097	0.0027439374188631	0	0	102.3025641025641	841.7305532644758	ATM;BRCA2
Reactome_2022	Homologous DNA Pairing And Strand Exchange R-HSA-5693579	2/43	0.0002939497556798544	0.0032853207987748	0	0	97.30243902439024	791.2733302207097	ATM;BRCA2
Reactome_2022	Chromatin Modifying Enzymes R-HSA-3247509	3/238	0.00033813945436566743	0.0035142489605309	0	0	28.018439716312056	223.9248316739464	KMT2D;KMT2C;ARID1A
