Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
AKT3	KRAS	3	1.0	-10.0	1.0
AKT3	SMAD4	3	0.007763555511878731	10.0	0.03381051394522335
AKT3	TP53	3	0.44743448703844746	10.0	0.7954390880683511
ALK	ARID1A	2	0.03691404657668833	3.527477006060396	0.11180550732692432
ALK	CDKN2A	2	0.2643320480585767	1.5897634869849773	0.5201828539334558
ALK	KRAS	4	1.0	-10.0	1.0
ALK	SETD2	2	0.0010855918128879415	6.632995197142958	0.008977478362758707
ALOX12B	KRAS	2	1.0	-10.0	1.0
AMER1	CDKN2A	3	0.05095147367655793	3.1940106199666256	0.14478874372952372
AMER1	KMT2D	2	0.014449627128805492	4.3295013145921635	0.053174627834004215
AMER1	KRAS	4	1.0	-10.0	1.0
AMER1	TP53	2	0.9582678130040329	-1.7276277295868698	1.0
ANKRD11	KRAS	2	1.0	-10.0	1.0
ANKRD11	RECQL4	2	3.667033370003667e-05	10.0	0.0035985820804302652
ANKRD11	RNF43	2	0.005317198386505317	10.0	0.026804506934711734
ANKRD11	SMAD4	2	0.039603960396039604	10.0	0.11659405940594059
APC	ARID1A	2	0.03691404657668833	3.527477006060396	0.11180550732692432
APC	KRAS	4	1.0	-10.0	1.0
APC	TP53	3	0.76464550396869	-0.12254349297138589	1.0
AR	ARID1A	2	0.05830070769652675	2.9385994553358565	0.15892341060979143
AR	KRAS	5	1.0	-10.0	1.0
AR	PIK3CA	2	0.019190753690435023	3.9087752399534614	0.06763926232659473
AR	RBM10	3	0.00048514121550020966	5.480712538724474	0.006187102135803705
AR	SRC	2	0.00036488346932294556	8.055282435501189	0.005849660185454864
AR	TP53	3	0.9133628884646641	-1.137973533540992	1.0
ARHGAP35	KRAS	2	1.0	-10.0	1.0
ARHGAP35	SMAD4	2	0.039603960396039604	10.0	0.11659405940594059
ARHGAP35	TP53	2	0.5854418775210855	10.0	0.918731816323068
ARID1A	ATM	5	0.019109241123424693	2.0327899351176693	0.06763926232659473
ARID1A	AXIN1	2	0.03691404657668833	3.527477006060396	0.11180550732692432
ARID1A	BRCA2	2	0.08289536798434095	2.519636252843213	0.20822863766714997
ARID1A	CDKN2A	8	0.6606147511440147	-0.14128640376954116	1.0
ARID1A	DOT1L	3	0.0020520501984151473	5.162147650850593	0.013248324088013583
ARID1A	EP300	3	0.022668140058778145	2.8245379337309613	0.07618151179571102
ARID1A	GRIN2A	2	0.05830070769652675	2.9385994553358565	0.15892341060979143
ARID1A	INHBA	2	0.019483048387551744	4.531381460516312	0.06763926232659473
ARID1A	INSR	2	0.03691404657668833	3.527477006060396	0.11180550732692432
ARID1A	KDM6A	4	0.03656187424015862	1.9959869374933767	0.11180550732692432
ARID1A	KMT2C	2	0.26638533491181354	1.1739269319998087	0.5214351236571669
ARID1A	KMT2D	4	0.08870452901430606	1.4732521132241394	0.21981997762467764
ARID1A	KRAS	34	1.0	-10.0	1.0
ARID1A	MAP2K4	2	0.05830070769652675	2.9385994553358565	0.15892341060979143
ARID1A	NKX2-1	2	0.006857352401906858	10.0	0.03154382104877155
ARID1A	NOTCH1	2	0.019483048387551744	4.531381460516312	0.06763926232659473
ARID1A	NTRK3	2	0.03691404657668833	3.527477006060396	0.11180550732692432
ARID1A	PIK3CA	2	0.48608676312064003	0.38014270883265805	0.8558848269301221
ARID1A	PIK3CD	2	0.03691404657668833	3.527477006060396	0.11180550732692432
ARID1A	POLD1	2	0.019483048387551744	4.531381460516312	0.06763926232659473
ARID1A	POLE	2	0.05830070769652675	2.9385994553358565	0.15892341060979143
ARID1A	PTPRT	2	0.11004195542983804	2.19377174339668	0.26042083342881284
ARID1A	RBM10	4	0.03656187424015862	1.9959869374933767	0.11180550732692432
ARID1A	RPTOR	2	0.006857352401906858	10.0	0.03154382104877155
ARID1A	SETD2	3	0.009111387120898396	3.5693656456701377	0.03831989097703554
ARID1A	SF3B1	2	0.20141446122924406	1.5038257379957507	0.41877738371446727
ARID1A	SMAD2	3	0.0005445044090844156	10.0	0.006187102135803705
ARID1A	SMAD4	11	0.05385742839159901	1.04020632239502	0.15129414998556057
ARID1A	SMARCA4	3	0.08639423685761523	1.8046931223340896	0.21627945009253335
ARID1A	TGFBR1	2	0.26638533491181354	1.1739269319998087	0.5214351236571669
ARID1A	TGFBR2	6	0.015036017220229915	1.9110067040807504	0.055057257085020975
ARID1A	TP53	21	0.9873529376393766	-1.125495973244927	1.0
ARID1A	TSC2	2	0.08289536798434095	2.519636252843213	0.20822863766714997
ARID1A	UPF1	2	0.006857352401906858	10.0	0.03154382104877155
ARID1A	WHSC1L1	2	0.019483048387551744	4.531381460516312	0.06763926232659473
ARID1A	ZFHX3	2	0.03691404657668833	3.527477006060396	0.11180550732692432
ARID1B	ATM	2	0.054293597123567065	2.8111665360076232	0.1513639677384294
ARID1B	BRCA2	2	0.004932858420374322	5.03342300153745	0.02562944449446451
ARID1B	CCND2	2	0.0020129637866568035	6.040746342343309	0.01311098537149918
ARID1B	CDKN2A	2	0.639870920065365	-0.014499569695115089	0.9977648245087047
ARID1B	CREBBP	2	0.0020129637866568035	6.040746342343309	0.01311098537149918
ARID1B	GPS2	2	0.0020129637866568035	6.040746342343309	0.01311098537149918
ARID1B	INSR	2	0.0020129637866568035	6.040746342343309	0.01311098537149918
ARID1B	KMT2D	2	0.059407251211442344	2.729352410056331	0.1613422025521091
ARID1B	KRAS	8	1.0	-10.0	1.0
ARID1B	MSH2	2	0.00034225644786700887	10.0	0.005849660185454864
ARID1B	SMAD4	2	0.49814793895439047	0.4241397063860963	0.868807779787752
ARID1B	SMARCA4	2	0.02391403554387589	3.548062917909627	0.08000331891042116
ARID1B	TBX3	2	0.00034225644786700887	10.0	0.005849660185454864
ARID1B	TP53	6	0.7176337119301219	-0.12380620161439793	1.0
ARID2	GNAS	2	0.011488806787175555	4.215012890970851	0.04697645441867338
ARID2	KRAS	8	1.0	-10.0	1.0
ARID2	LATS2	2	0.0033216000370624144	5.452126818014064	0.018805366363676437
ARID2	SMAD4	2	0.49814793895439047	0.4241397063860963	0.868807779787752
ARID2	TP53	5	0.9085422302074492	-0.9921378822270296	1.0
ASXL1	KRAS	2	1.0	-10.0	1.0
ASXL2	KRAS	2	1.0	-10.0	1.0
ASXL2	TP53	2	0.5854418775210855	10.0	0.918731816323068
ATM	AXIN1	2	0.013118027233016008	4.411275580482645	0.05163031039304697
ATM	AXIN2	3	0.0009725743181779746	5.078700241395774	0.008977478362758707
ATM	BCOR	3	0.004944811301921141	3.745427172914402	0.02562944449446451
ATM	BRCA2	3	0.0018834832867908268	4.48996598678541	0.01311098537149918
ATM	CCND2	2	0.013118027233016008	4.411275580482645	0.05163031039304697
ATM	CDKN2A	6	0.3891924608770054	0.3675707604430747	0.7233476040542323
ATM	DOT1L	2	0.013118027233016008	4.411275580482645	0.05163031039304697
ATM	EP300	2	0.054293597123567065	2.8111665360076232	0.1513639677384294
ATM	EPHA7	2	0.006759898487780954	5.415037499278844	0.03154382104877155
ATM	GNAS	2	0.0677539712339692	2.584962500721156	0.17558775643732863
ATM	INHBA	2	0.006759898487780954	5.415037499278844	0.03154382104877155
ATM	INSR	4	4.38669596870925e-06	10.0	0.00266385168447835
ATM	KMT2A	2	0.006759898487780954	5.415037499278844	0.03154382104877155
ATM	KMT2C	4	0.001674046178112707	3.5584207132686645	0.012572428439703595
ATM	KMT2D	3	0.07738083904883167	1.8472109108717172	0.19706677349460244
ATM	KRAS	20	1.0	-10.0	1.0
ATM	LATS2	2	0.02121499584290803	3.82254132587228	0.07195500894184474
ATM	MSH2	2	0.002322454467668989	10.0	0.014364088136171226
ATM	NKX2-1	2	0.002322454467668989	10.0	0.014364088136171226
ATM	NOTCH3	3	0.009935546077923572	3.252387161634285	0.04154864723495312
ATM	NTRK3	2	0.013118027233016008	4.411275580482645	0.05163031039304697
ATM	PALB2	3	0.00010373245761300697	10.0	0.0038492454546963225
ATM	PIK3CA	3	0.06010161213467202	2.024976665531213	0.16262789165852432
ATM	PIK3CD	2	0.013118027233016008	4.411275580482645	0.05163031039304697
ATM	PIK3R1	2	0.030880752120966616	3.40372218605101	0.10012437692084329
ATM	POLD1	2	0.006759898487780954	5.415037499278844	0.03154382104877155
ATM	POLE	2	0.02121499584290803	3.82254132587228	0.07195500894184474
ATM	PTPRT	2	0.041956400668155584	3.078002512001273	0.12302753343331678
ATM	RBM10	2	0.1836550721066837	1.5579954531208868	0.3884199226164345
ATM	RNF43	4	0.05141591903419893	1.7874003156819593	0.14554660157373236
ATM	SMAD4	5	0.3692057121977118	0.438573013739633	0.695006901448749
ATM	SMARCA4	2	0.130378901055081	1.917537839808027	0.30081150839040627
ATM	TGFBR2	2	0.3728019136182975	0.7409675247237024	0.6964015442209822
ATM	TP53	7	0.999992557012953	-2.7787067749383554	1.0
ATM	TSC2	2	0.030880752120966616	3.40372218605101	0.10012437692084329
ATM	ZFHX3	2	0.013118027233016008	4.411275580482645	0.05163031039304697
ATXN7	KRAS	2	1.0	-10.0	1.0
AXIN1	BRCA2	2	0.0010855918128879415	6.632995197142958	0.008977478362758707
