Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	AGO2	1	404	0	0	1.0		1.0
KRAS	PIK3R1	6	399	0	0	1.0		1.0
KRAS	PIK3CG	4	401	0	0	1.0		1.0
KRAS	PIK3CD	4	401	0	0	1.0		1.0
KRAS	PIK3CB	2	403	0	0	1.0		1.0
KRAS	PIK3CA	19	386	0	0	1.0		1.0
KRAS	PIK3C3	1	404	0	0	1.0		1.0
KRAS	PIK3C2G	3	402	0	0	1.0		1.0
KRAS	PIK3R2	2	403	0	0	1.0		1.0
KRAS	PGR	4	401	0	0	1.0		1.0
KRAS	PDPK1	1	404	0	0	1.0		1.0
KRAS	PDGFRB	1	404	0	0	1.0		1.0
KRAS	PDGFRA	2	403	0	0	1.0		1.0
KRAS	PDCD1	1	404	0	0	1.0		1.0
KRAS	PBRM1	1	404	0	0	1.0		1.0
KRAS	PAX5	1	404	0	0	1.0		1.0
KRAS	PARP1	2	403	0	0	1.0		1.0
KRAS	PGBD5	2	403	0	0	1.0		1.0
KRAS	PLCG2	2	403	0	0	1.0		1.0
KRAS	PLK2	3	402	0	0	1.0		1.0
KRAS	PMS1	1	404	0	0	1.0		1.0
KRAS	PTPRS	13	392	0	0	1.0		1.0
KRAS	PTPRD	3	402	0	0	1.0		1.0
KRAS	PTPN11	3	402	0	0	1.0		1.0
KRAS	PTEN	2	403	0	0	1.0		1.0
KRAS	PRKD1	1	404	0	0	1.0		1.0
KRAS	PRKCI	1	404	0	0	1.0		1.0
KRAS	PRKAR1A	1	404	0	0	1.0		1.0
KRAS	PREX2	5	400	0	0	1.0		1.0
KRAS	PRDM14	3	402	0	0	1.0		1.0
KRAS	PRDM1	1	404	0	0	1.0		1.0
KRAS	PPP2R1A	1	404	0	0	1.0		1.0
KRAS	PPM1D	1	404	0	0	1.0		1.0
KRAS	PPARG	2	403	0	0	1.0		1.0
KRAS	POT1	1	404	0	0	1.0		1.0
KRAS	POLE	5	400	0	0	1.0		1.0
KRAS	POLD1	3	402	0	0	1.0		1.0
KRAS	PMS2	1	404	0	0	1.0		1.0
KRAS	PARK2	4	401	0	0	1.0		1.0
KRAS	PALB2	3	402	0	0	1.0		1.0
KRAS	PAK7	1	404	0	0	1.0		1.0
KRAS	PAK1	1	404	0	0	1.0		1.0
KRAS	MTOR	1	404	0	0	1.0		1.0
KRAS	MST1	1	404	0	0	1.0		1.0
KRAS	MSH6	1	404	0	0	1.0		1.0
KRAS	MSH3	1	404	0	0	1.0		1.0
KRAS	MSH2	2	403	0	0	1.0		1.0
KRAS	MRE11A	1	404	0	0	1.0		1.0
KRAS	MLL3	1	404	0	0	1.0		1.0
KRAS	MLL	2	403	0	0	1.0		1.0
KRAS	MLH1	2	403	0	0	1.0		1.0
KRAS	MITF	1	404	0	0	1.0		1.0
KRAS	MGA	3	402	0	0	1.0		1.0
KRAS	MET	1	404	0	0	1.0		1.0
KRAS	MEF2B	1	404	0	0	1.0		1.0
KRAS	MED12	2	403	0	0	1.0		1.0
KRAS	MDC1	1	404	0	0	1.0		1.0
KRAS	MAX	1	404	0	0	1.0		1.0
KRAS	MAP3K13	3	402	0	0	1.0		1.0
KRAS	MYC	1	404	0	0	1.0		1.0
KRAS	PTPRT	7	398	0	0	1.0		1.0
KRAS	MYCL	1	404	0	0	1.0		1.0
KRAS	MYOD1	1	404	0	0	1.0		1.0
KRAS	NUP93	2	403	0	0	1.0		1.0
KRAS	NUF2	1	404	0	0	1.0		1.0
KRAS	NTRK3	4	401	0	0	1.0		1.0
KRAS	NTRK2	2	403	0	0	1.0		1.0
KRAS	NTRK1	2	403	0	0	1.0		1.0
KRAS	NTHL1	1	404	0	0	1.0		1.0
KRAS	NSD1	1	404	0	0	1.0		1.0
KRAS	NRAS	1	404	0	0	1.0		1.0
KRAS	NOTCH3	10	395	0	0	1.0		1.0
KRAS	NOTCH2	3	402	0	0	1.0		1.0
KRAS	NOTCH1	3	402	0	0	1.0		1.0
KRAS	NKX2-1	2	403	0	0	1.0		1.0
KRAS	NFE2L2	1	404	0	0	1.0		1.0
KRAS	NF1	1	404	0	0	1.0		1.0
KRAS	NEGR1	1	404	0	0	1.0		1.0
KRAS	NCOR1	2	403	0	0	1.0		1.0
KRAS	NCOA3	2	403	0	0	1.0		1.0
KRAS	MYCN	3	402	0	0	1.0		1.0
KRAS	RAC2	1	404	0	0	1.0		1.0
KRAS	RAD21	2	403	0	0	1.0		1.0
KRAS	RAD50	2	403	0	0	1.0		1.0
KRAS	TET2	1	404	0	0	1.0		1.0
KRAS	TET1	1	404	0	0	1.0		1.0
KRAS	TERT	2	403	0	0	1.0		1.0
KRAS	TCF7L2	1	404	0	0	1.0		1.0
KRAS	TCF3	2	403	0	0	1.0		1.0
KRAS	TBX3	2	403	0	0	1.0		1.0
KRAS	TAP2	1	404	0	0	1.0		1.0
KRAS	SYK	1	404	0	0	1.0		1.0
KRAS	SUZ12	1	404	0	0	1.0		1.0
KRAS	STK40	1	404	0	0	1.0		1.0
KRAS	STK11	8	397	0	0	1.0		1.0
KRAS	STAT5B	1	404	0	0	1.0		1.0
KRAS	SRC	3	402	0	0	1.0		1.0
KRAS	SPRED1	1	404	0	0	1.0		1.0
KRAS	SPEN	3	402	0	0	1.0		1.0
KRAS	SOX9	6	399	0	0	1.0		1.0
KRAS	SOX2	2	403	0	0	1.0		1.0
KRAS	TGFBR1	12	393	0	0	1.0		1.0
KRAS	SOS1	1	404	0	0	1.0		1.0
KRAS	TGFBR2	26	379	0	0	1.0		1.0
KRAS	TNFAIP3	1	404	0	0	1.0		1.0
KRAS	XRCC2	1	404	0	0	1.0		1.0
KRAS	XPO1	2	403	0	0	1.0		1.0
KRAS	WWTR1	1	404	0	0	1.0		1.0
KRAS	WT1	2	403	0	0	1.0		1.0
KRAS	WHSC1L1	3	402	0	0	1.0		1.0
KRAS	WHSC1	3	402	0	0	1.0		1.0
KRAS	VTCN1	2	403	0	0	1.0		1.0
KRAS	UPF1	2	403	0	0	1.0		1.0
KRAS	U2AF1	9	396	0	0	1.0		1.0
KRAS	TSHR	4	401	0	0	1.0		1.0
KRAS	TSC2	6	399	0	0	1.0		1.0
KRAS	TRIP13	1	404	0	0	1.0		1.0
KRAS	TRAF7	1	404	0	0	1.0		1.0
KRAS	TRAF2	1	404	0	0	1.0		1.0
KRAS	TP53BP1	2	403	0	0	1.0		1.0
KRAS	TP53	310	95	0	0	1.0		1.0
KRAS	TOP1	1	404	0	0	1.0		1.0
KRAS	TMEM127	2	403	0	0	1.0		1.0
KRAS	MAP3K1	1	404	0	0	1.0		1.0
KRAS	SMYD3	1	404	0	0	1.0		1.0
KRAS	SMARCB1	1	404	0	0	1.0		1.0
