Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Pancreatic cancer	2/76	4.264460772896206e-05	0.0006183468120699498	0	0	538.4594594594595	5418.307392068358	SMAD4;CDKN2A
KEGG_2021_Human	Chronic myeloid leukemia	2/76	4.264460772896206e-05	0.0006183468120699498	0	0	538.4594594594595	5418.307392068358	SMAD4;CDKN2A
Reactome_2022	Transcriptional Regulation By RUNX3 R-HSA-8878159	2/95	6.676774316612702e-05	0.0046069742784627	0	0	428.0430107526882	4115.329843645542	SMAD4;CDKN2A
KEGG_2021_Human	Cell cycle	2/124	0.00011392596638677496	0.0011012843417388	0	0	325.8196721311475	2958.4301565012893	SMAD4;CDKN2A
GO_Biological_Process_2021	negative regulation of growth (GO:0045926)	2/126	0.0001176379715392772	0.007646468150053	0	0	320.53225806451616	2900.1433970041976	SMAD4;CDKN2A
GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	2/126	0.0001176379715392772	0.007646468150053	0	0	320.53225806451616	2900.1433970041976	SMAD4;CDKN2A
KEGG_2021_Human	Hepatocellular carcinoma	2/168	0.0002092588190092538	0.001517126437817	0	0	238.9277108433735	2024.180920875619	SMAD4;CDKN2A
GO_Biological_Process_2021	regulation of cell growth (GO:0001558)	2/217	0.0003490272012793794	0.0100789685223679	0	0	184.0186046511628	1464.854468197285	SMAD4;CDKN2A
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	0.00035548173580292634	0.0020617940676569	0	0	182.30414746543775	1447.8662272028034	SMAD4;CDKN2A
GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	1/5	0.0007498314718703743	0.0100789685223679	0	0	2499.125	17982.858997820545	SMAD4
GO_Biological_Process_2021	positive regulation of cell proliferation involved in heart morphogenesis (GO:2000138)	1/5	0.0007498314718703743	0.0100789685223679	0	0	2499.125	17982.858997820545	SMAD4
GO_Biological_Process_2021	histone H3-K27 demethylation (GO:0071557)	1/5	0.0007498314718703743	0.0100789685223679	0	0	2499.125	17982.858997820545	KDM6A
GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	1/5	0.0007498314718703743	0.0100789685223679	0	0	2499.125	17982.858997820545	SMAD4
GO_Biological_Process_2021	positive regulation of histone H3-K9 acetylation (GO:2000617)	1/5	0.0007498314718703743	0.0100789685223679	0	0	2499.125	17982.858997820545	SMAD4
Reactome_2022	RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158	1/5	0.0007498314718703743	0.0165538467058509	0	0	2499.125	17982.858997820545	SMAD4
GO_Biological_Process_2021	negative regulation of cardiac muscle cell differentiation (GO:2000726)	1/6	0.0008997538788767587	0.0100789685223679	0	0	1999.2	14021.167888467728	SMAD4
GO_Biological_Process_2021	regulation of macrophage apoptotic process (GO:2000109)	1/6	0.0008997538788767587	0.0100789685223679	0	0	1999.2	14021.167888467728	CDKN2A
GO_Biological_Process_2021	regulation of transforming growth factor beta2 production (GO:0032909)	1/7	0.0010496614322994	0.0100789685223679	0	0	1665.9166666666667	11427.001554688257	SMAD4
Reactome_2022	Loss Of Function Of SMAD2/3 In Cancer R-HSA-3304349	1/7	0.0010496614322994	0.0165538467058509	0	0	1665.9166666666667	11427.001554688257	SMAD4
Reactome_2022	RUNX3 Regulates CDKN1A Transcription R-HSA-8941855	1/7	0.0010496614322994	0.0165538467058509	0	0	1665.9166666666667	11427.001554688257	SMAD4
GO_Biological_Process_2021	atrioventricular valve formation (GO:0003190)	1/7	0.0010496614322994	0.0100789685223679	0	0	1665.9166666666667	11427.001554688257	SMAD4
GO_Biological_Process_2021	SMAD protein complex assembly (GO:0007183)	1/7	0.0010496614322994	0.0100789685223679	0	0	1665.9166666666667	11427.001554688257	SMAD4
Reactome_2022	Signaling By TGF-beta Receptor Complex In Cancer R-HSA-3304351	1/8	0.0011995541091196	0.0165538467058509	0	0	1427.857142857143	9603.48923469958	SMAD4
GO_Biological_Process_2021	positive regulation of myeloid cell apoptotic process (GO:0033034)	1/8	0.0011995541091196	0.0100789685223679	0	0	1427.857142857143	9603.48923469958	CDKN2A
GO_Biological_Process_2021	negative regulation of muscle hypertrophy (GO:0014741)	1/8	0.0011995541091196	0.0100789685223679	0	0	1427.857142857143	9603.48923469958	SMAD4
GO_Biological_Process_2021	positive regulation of smooth muscle cell apoptotic process (GO:0034393)	1/9	0.0013494318923464	0.0100789685223679	0	0	1249.3125	8255.5464452602	CDKN2A
GO_Biological_Process_2021	regulation of smooth muscle cell apoptotic process (GO:0034391)	1/9	0.0013494318923464	0.0100789685223679	0	0	1249.3125	8255.5464452602	CDKN2A
Reactome_2022	RUNX3 Regulates p14-ARF R-HSA-8951936	1/10	0.0014992947695318	0.016619830384831	0	0	1110.4444444444443	7220.954198683598	CDKN2A
