Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	ABL1	3	399	0	0	1.0		1.0
KRAS	PIM1	1	401	0	0	1.0		1.0
KRAS	PIK3R1	1	401	0	0	1.0		1.0
KRAS	PIK3CG	3	399	0	0	1.0		1.0
KRAS	PIK3CD	2	400	0	0	1.0		1.0
KRAS	PIK3CB	3	399	0	0	1.0		1.0
KRAS	PIK3CA	11	391	0	0	1.0		1.0
KRAS	POLD1	1	401	0	0	1.0		1.0
KRAS	PIK3C2G	2	400	0	0	1.0		1.0
KRAS	PGR	5	397	0	0	1.0		1.0
KRAS	PGBD5	1	401	0	0	1.0		1.0
KRAS	PDGFRB	1	401	0	0	1.0		1.0
KRAS	PBRM1	11	391	0	0	1.0		1.0
KRAS	PARP1	1	401	0	0	1.0		1.0
KRAS	PARK2	1	401	0	0	1.0		1.0
KRAS	PHOX2B	2	400	0	0	1.0		1.0
KRAS	POLE	4	398	0	0	1.0		1.0
KRAS	POT1	1	401	0	0	1.0		1.0
KRAS	PPM1D	1	401	0	0	1.0		1.0
KRAS	RAD54L	3	399	0	0	1.0		1.0
KRAS	RAD52	2	400	0	0	1.0		1.0
KRAS	RAD51C	1	401	0	0	1.0		1.0
KRAS	RAD50	3	399	0	0	1.0		1.0
KRAS	PTPRT	7	395	0	0	1.0		1.0
KRAS	PTPRS	4	398	0	0	1.0		1.0
KRAS	PTPRD	7	395	0	0	1.0		1.0
KRAS	PTEN	4	398	0	0	1.0		1.0
KRAS	PRKD1	4	398	0	0	1.0		1.0
KRAS	PRKCI	1	401	0	0	1.0		1.0
KRAS	PRKAR1A	1	401	0	0	1.0		1.0
KRAS	PREX2	13	389	0	0	1.0		1.0
KRAS	PRDM14	1	401	0	0	1.0		1.0
KRAS	PRDM1	1	401	0	0	1.0		1.0
KRAS	PPP2R1A	1	401	0	0	1.0		1.0
KRAS	PALB2	2	400	0	0	1.0		1.0
KRAS	PAK7	2	400	0	0	1.0		1.0
KRAS	NUP93	2	400	0	0	1.0		1.0
KRAS	NTRK3	3	399	0	0	1.0		1.0
KRAS	MSI1	1	401	0	0	1.0		1.0
KRAS	MSH6	3	399	0	0	1.0		1.0
KRAS	MSH3	4	398	0	0	1.0		1.0
KRAS	MPL	1	401	0	0	1.0		1.0
KRAS	MLL4	2	400	0	0	1.0		1.0
KRAS	MLL2	3	399	0	0	1.0		1.0
KRAS	MLH1	1	401	0	0	1.0		1.0
KRAS	MGA	5	397	0	0	1.0		1.0
KRAS	MET	3	399	0	0	1.0		1.0
KRAS	MEN1	1	401	0	0	1.0		1.0
KRAS	MEF2B	1	401	0	0	1.0		1.0
KRAS	MED12	2	400	0	0	1.0		1.0
KRAS	MDM4	1	401	0	0	1.0		1.0
KRAS	MDM2	1	401	0	0	1.0		1.0
KRAS	MAPK3	1	401	0	0	1.0		1.0
KRAS	MST1R	2	400	0	0	1.0		1.0
KRAS	RAF1	1	401	0	0	1.0		1.0
KRAS	MTOR	3	399	0	0	1.0		1.0
KRAS	MYCN	1	401	0	0	1.0		1.0
KRAS	NTRK2	4	398	0	0	1.0		1.0
KRAS	NSD1	2	400	0	0	1.0		1.0
KRAS	NRAS	1	401	0	0	1.0		1.0
KRAS	NPM1	1	401	0	0	1.0		1.0
KRAS	NOTCH3	5	397	0	0	1.0		1.0
KRAS	NOTCH2	2	400	0	0	1.0		1.0
KRAS	NOTCH1	7	395	0	0	1.0		1.0
KRAS	NFKBIA	1	401	0	0	1.0		1.0
KRAS	NFE2L2	4	398	0	0	1.0		1.0
KRAS	NF1	2	400	0	0	1.0		1.0
KRAS	NEGR1	2	400	0	0	1.0		1.0
KRAS	NCOR1	4	398	0	0	1.0		1.0
KRAS	NCOA3	3	399	0	0	1.0		1.0
KRAS	NBN	1	401	0	0	1.0		1.0
KRAS	MYOD1	3	399	0	0	1.0		1.0
KRAS	MYCL	1	401	0	0	1.0		1.0
KRAS	RARA	1	401	0	0	1.0		1.0
KRAS	RB1	11	391	0	0	1.0		1.0
