Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	6/140	5.256379341550457e-09	3.2589551917612834e-06	0	0	59.23880597014925	1129.3181345720775	EPHA5;PTPRT;PTPRD;PDGFRA;ERBB4;EPHA3
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	5/94	3.948407879058492e-08	1.2240064425081326e-05	0	0	69.83848314606742	1190.5623447439766	EPHA5;PDGFRA;ERBB4;IRS2;EPHA3
Reactome_2022	PIP3 Activates AKT Signaling R-HSA-1257604	6/268	2.508763390766352e-07	5.694892897039619e-05	0	0	30.102290076335876	457.50380661601207	PREX2;PDGFRA;ERBB4;IRS2;TP53;MTOR
Reactome_2022	Intracellular Signaling By Second Messengers R-HSA-9006925	6/306	5.461806094587882e-07	6.199149917357247e-05	0	0	26.238666666666667	378.369868145834	PREX2;PDGFRA;ERBB4;IRS2;TP53;MTOR
KEGG_2021_Human	Hepatocellular carcinoma	5/168	7.189827374287117e-07	7.40552219551573e-05	0	0	37.99079754601227	537.3961099140131	KEAP1;ARID1A;TP53;MTOR;SMARCA4
GO_Biological_Process_2021	regulation of actin cytoskeleton organization (GO:0032956)	4/91	2.261904807366842e-06	0.000425784754808121	0	0	53.79851250845166	699.3431792789462	EPHA5;PDGFRA;MTOR;EPHA3
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	6/404	2.7469984181169097e-06	0.000425784754808121	0	0	19.679396984924622	251.994712372566	EPHA5;PTPRT;PDGFRA;ERBB4;IRS2;EPHA3
KEGG_2021_Human	Longevity regulating pathway	4/102	3.5696258468096657e-06	0.00018383573111069776	0	0	47.73349339735894	598.7235834974356	STK11;IRS2;TP53;MTOR
Reactome_2022	PI3K/AKT Signaling In Cancer R-HSA-2219528	4/105	4.007181402900842e-06	0.0003032100594861637	0	0	46.30867792661619	575.4975039652562	PDGFRA;ERBB4;IRS2;MTOR
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	4/114	5.5595797720465605e-06	0.0006893878917337735	0	0	42.50053475935829	514.2559619896613	EPHA5;PDGFRA;ERBB4;EPHA3
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	7/764	8.399420504212936e-06	0.00086794011876867	0	0	12.696169088507263	148.38454439935558	PDGFRA;KMT2D;STK11;ERBB4;IRS2;TP53;TBX3
