Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	KRAS	4	1.0	-10.0	1.0
ABL1	PTPRD	2	0.04623488405900245	3.341036917835067	0.14830570192456843
ABL1	SLX4	2	0.0015552512775936856	6.366322214245816	0.0608629368916867
ABL1	TP53	3	0.2981499595840014	1.6540868613759765	0.4185063578113919
ACVR1	KRAS	2	1.0	-10.0	1.0
ACVR1	TP53	2	0.24046143311151302	10.0	0.3623642682016924
AGO2	KRAS	2	1.0	-10.0	1.0
AGO2	TP53	2	0.24046143311151302	10.0	0.3623642682016924
AKT2	EGFR	2	0.0011588502800554843	10.0	0.06082153266728706
AKT2	KRAS	2	1.0	-10.0	1.0
AKT2	TP53	2	0.24046143311151302	10.0	0.3623642682016924
AKT3	ATM	2	0.13813911601983983	2.039528364186637	0.2532801805189094
AKT3	BARD1	2	0.008965281258597106	4.536940985858212	0.08238965886937177
AKT3	CARD11	2	0.04329030025848479	3.1246957474493144	0.14440130940243337
AKT3	KMT2B	2	0.021767527401902843	3.736965594166206	0.10988885153005416
AKT3	KRAS	6	1.0	-10.0	1.0
AKT3	POLD1	2	0.008965281258597106	4.536940985858212	0.08238965886937177
AKT3	TP53	4	0.3257592544988227	1.069540933253077	0.446987473799651
ALB	KRAS	2	1.0	-10.0	1.0
ALK	APC	3	0.062045049740382704	2.0302730111138008	0.16643012627560974
ALK	ARID2	3	0.07070741573024122	1.9380722508567982	0.1747443728570283
ALK	ATM	3	0.2959544183496293	0.8081958984969749	0.4185063578113919
ALK	BRCA1	2	0.11679218651708531	2.0519520796347215	0.23231548746165817
ALK	CARD11	2	0.26577106468705447	1.16635838642212	0.389326212945406
ALK	CDK12	3	0.0010002558283165098	5.0950201924284215	0.058277903365024815
ALK	CDKN2A	2	0.4385850349754629	0.5378942470643774	0.5699060473820425
ALK	CREBBP	2	0.11679218651708531	2.0519520796347215	0.23231548746165817
ALK	DDR2	2	0.055820073914258514	2.807354922057604	0.157695229838515
ALK	EP300	4	0.0002747317021745287	4.607899311998315	0.037764266418031045
ALK	EPHA5	3	0.22405727723922167	1.0555923259633175	0.34762512436330045
ALK	EPHB1	2	0.15177388674221368	1.7796099315746998	0.26931245935926873
ALK	ESR1	2	0.021813388155800337	3.8210298589546805	0.10988885153005416
ALK	FBXW7	2	0.13399630138190263	1.9098021910284217	0.24991314621977287
ALK	FGF4	2	0.021813388155800337	3.8210298589546805	0.10988885153005416
ALK	FLT4	2	0.15177388674221368	1.7796099315746998	0.26931245935926873
ALK	GATA3	2	0.031751190077932256	3.401448434530889	0.12475293992102138
ALK	GRIN2A	3	0.17029221756885018	1.2817390047716635	0.29041246108227514
ALK	INPP4B	2	0.10026111580292808	2.2085866218114174	0.21156913582972547
ALK	IRS1	2	0.17003263182025402	1.6594562269452906	0.29041246108227514
ALK	JAK3	2	0.055820073914258514	2.807354922057604	0.157695229838515
ALK	JUN	2	0.006950593346393392	5.415037499278844	0.0781823254853814
ALK	KDM5C	2	0.13399630138190263	1.9098021910284217	0.24991314621977287
ALK	KEAP1	4	0.6983482143273729	-0.22718760491695272	0.8176199553592352
ALK	KMT2B	2	0.15177388674221368	1.7796099315746998	0.26931245935926873
ALK	KMT2D	2	0.2853355418912631	1.0835866302729749	0.4078476958352139
ALK	KRAS	17	1.0	-10.0	1.0
ALK	MET	2	0.0696553299355553	2.5803752312255046	0.17473655956200915
ALK	MTOR	2	0.18868707725602277	1.5478493277040566	0.3090328218859841
ALK	NFE2L2	2	0.15177388674221368	1.7796099315746998	0.26931245935926873
ALK	NTRK1	2	0.10026111580292808	2.2085866218114174	0.21156913582972547
ALK	PAK7	2	0.2076582234217571	1.4436066514756147	0.33050939496113735
ALK	PGR	2	0.11679218651708531	2.0519520796347215	0.23231548746165817
ALK	PIK3CA	2	0.13399630138190263	1.9098021910284217	0.24991314621977287
ALK	PIK3CG	2	0.2076582234217571	1.4436066514756147	0.33050939496113735
ALK	PRDM14	2	0.0696553299355553	2.5803752312255046	0.17473655956200915
ALK	PREX2	2	0.2853355418912631	1.0835866302729749	0.4078476958352139
ALK	PRKD1	2	0.0845103578672364	2.3831282513241	0.19403300893783124
ALK	PTPRD	2	0.4923979364613558	0.37109415169124665	0.6143999511789354
ALK	PTPRT	3	0.1332633255017784	1.4732141430687007	0.24991314621977287
ALK	RBM10	2	0.7685092600341958	-0.46859774402937165	0.8895322551532956
ALK	SLX4	2	0.031751190077932256	3.401448434530889	0.12475293992102138
ALK	SMAD4	2	0.10026111580292808	2.2085866218114174	0.21156913582972547
ALK	SMARCA4	3	0.44410597774142063	0.3942789391120464	0.57574372027535
ALK	STAG2	2	0.10026111580292808	2.2085866218114174	0.21156913582972547
ALK	STK11	4	0.6983482143273729	-0.22718760491695272	0.8176199553592352
ALK	TBX3	2	0.3244355515294686	0.9296106721086019	0.446987473799651
ALK	TERT	2	0.10026111580292808	2.2085866218114174	0.21156913582972547
