Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
AGO2	CEBPA	2	0.00018673555133671532	10.0	0.02534623883477016
AGO2	INHBA	2	0.0006535744296785037	10.0	0.041583673088294804
AGO2	KRAS	2	1.0	-10.0	1.0
AGO2	SMARCA4	2	0.014472005228595437	10.0	0.07836436873781998
AKT3	BCOR	2	0.032361185873960134	3.429311630260962	0.1112962406070656
AKT3	CREBBP	2	0.019284401958755297	3.9068905956085187	0.0853544399739691
AKT3	DIS3	2	0.012259993653907359	4.3339007365534385	0.0745114838189713
AKT3	EPHB1	2	0.023317170742849454	3.730941806538436	0.09382165935265116
AKT3	FAT1	2	0.11697899626012452	2.222392421336448	0.22575283069726404
AKT3	GATA3	2	0.006710146081331419	4.930737337562887	0.057889226362672755
AKT3	KEAP1	2	0.49991919708735577	0.49333202525558806	0.6413582137806279
AKT3	KRAS	6	1.0	-10.0	1.0
AKT3	PAK1	2	0.0027420178449065295	5.94251450533924	0.04940485249760791
AKT3	SH2B3	2	0.0027420178449065295	5.94251450533924	0.04940485249760791
AKT3	STK11	2	0.5363442271184148	0.3752913204860874	0.6795251066665169
AKT3	TP53	4	0.1473617347554375	1.7618402628052354	0.26295222783704714
ALK	ATM	2	0.38135360032540006	0.780513309838963	0.518661276060464
ALK	ATRX	3	0.07044743117511237	2.0419481819979706	0.16933998804312725
ALK	BARD1	2	0.026426305386070433	3.578938713093386	0.09982181403717885
ALK	BCOR	2	0.08632020489890889	2.404754526016983	0.18796570820767755
ALK	EPHA5	3	0.01886166430654709	2.9289169019385173	0.0853544399739691
ALK	FAT1	3	0.07044743117511237	2.0419481819979706	0.16933998804312725
ALK	FLT3	3	0.0008344847715245255	5.105534414172357	0.04327406630326613
ALK	GRIN2A	3	0.01886166430654709	2.9289169019385173	0.0853544399739691
ALK	H3F3C	2	0.0014005166350253648	10.0	0.04694764424180219
ALK	KDM5C	2	0.03448865655604226	3.309855262586787	0.11399172848717863
ALK	KEAP1	2	0.7912392436230165	-0.5385520357641981	0.9498603184059324
ALK	KRAS	10	1.0	-10.0	1.0
ALK	NTRK1	2	0.04340312614235256	3.081388326840655	0.12850442723114103
ALK	PBRM1	2	0.09857353884664366	2.273018494406416	0.20754470019831076
ALK	PDGFRB	2	0.026426305386070433	3.578938713093386	0.09982181403717885
ALK	PIK3CG	2	0.16643537187599194	1.7390856460405757	0.27912884443123526
ALK	PTPRD	2	0.350410567847299	0.8902118544618881	0.4810761403486856
ALK	PTPRT	4	0.010330928638806565	2.8236199764203884	0.07058312318325559
ALK	ROS1	2	0.019284401958755297	3.9068905956085187	0.0853544399739691
ALK	TP53	9	0.00083959137179457	4.021602254485211	0.04327406630326613
ALK	VEGFA	2	0.0014005166350253648	10.0	0.04694764424180219
ALOX12B	KRAS	2	1.0	-10.0	1.0
ALOX12B	RET	2	0.003267872148392518	10.0	0.050501904445218744
AMER1	ARID1A	2	0.2724039983453417	1.1963972128035034	0.40160357757502946
AMER1	ATR	2	0.03448865655604226	3.309855262586787	0.11399172848717863
AMER1	ATRX	2	0.2724039983453417	1.1963972128035034	0.40160357757502946
AMER1	BRIP1	3	0.0008344847715245255	5.105534414172357	0.04327406630326613
AMER1	EPHB1	2	0.06353024778451848	2.706591945122687	0.1619119303320166
AMER1	ETV1	2	0.008051132877401236	4.918863237274595	0.06429681113636973
AMER1	FANCA	2	0.019284401958755297	3.9068905956085187	0.0853544399739691
AMER1	HGF	2	0.09857353884664366	2.273018494406416	0.20754470019831076
AMER1	IRS2	2	0.019284401958755297	3.9068905956085187	0.0853544399739691
AMER1	KEAP1	4	0.25403017431492647	0.9376034628621327	0.37862769758798703
AMER1	KMT2A	2	0.03448865655604226	3.309855262586787	0.11399172848717863
AMER1	KRAS	10	1.0	-10.0	1.0
AMER1	MET	2	0.03448865655604226	3.309855262586787	0.11399172848717863
AMER1	NTRK1	2	0.04340312614235256	3.081388326840655	0.12850442723114103
AMER1	NUF2	2	0.008051132877401236	4.918863237274595	0.06429681113636973
AMER1	PALB2	2	0.026426305386070433	3.578938713093386	0.09982181403717885
AMER1	PIK3C2G	2	0.07462108248991288	2.548436624696042	0.17245008393809605
AMER1	PMS1	2	0.004112628213963372	5.924812503605781	0.052010156515454126
AMER1	PTPRD	2	0.350410567847299	0.8902118544618881	0.4810761403486856
AMER1	PTPRT	2	0.2568688777937855	1.2643406033344187	0.382299002330517
AMER1	RBM10	2	0.350410567847299	0.8902118544618881	0.4810761403486856
AMER1	RET	2	0.1113295736742855	2.1513093232749654	0.22575283069726404
AMER1	SMARCA4	2	0.350410567847299	0.8902118544618881	0.4810761403486856
AMER1	STK11	3	0.5637769779908972	0.14957635605051	0.7116242574020252
AMER1	TP53	5	0.3098642460608103	0.7495932024939556	0.4429770851414341
ANKRD11	KEAP1	2	0.28445621501538876	1.5090136474878577	0.41397630719895034
ANKRD11	KRAS	4	1.0	-10.0	1.0
ANKRD11	PTPRT	2	0.04942741132524962	3.302986531233902	0.1393825615764657
APC	ARID1A	3	0.1885990130374889	1.2313255461064558	0.30406339337052846
APC	EPHA5	2	0.24168012214098428	1.3059865510183408	0.36503021415359344
APC	ERBB4	2	0.13145692370970394	1.9751253313609707	0.24851095327108375
APC	GRIN2A	2	0.24168012214098428	1.3059865510183408	0.36503021415359344
APC	IL7R	2	0.07423443791114316	2.578783925792032	0.17245008393809605
APC	KEAP1	5	0.357573547985961	0.5134092396961223	0.4886038548318232
APC	KRAS	15	1.0	-10.0	1.0
APC	MED12	2	0.15241255975481038	1.8168359750684895	0.26438413855811954
APC	MEN1	2	0.029426583396994128	3.597240830499593	0.10383452997622192
APC	NOTCH3	2	0.1113295736742855	2.1513093232749654	0.22575283069726404
APC	PIK3CG	2	0.31110421681688727	1.0065133069586745	0.4429770851414341
APC	PLCG2	2	0.029426583396994128	3.597240830499593	0.10383452997622192
APC	POLE	3	0.049424512277162706	2.241585986569759	0.1393825615764657
APC	PTPRD	3	0.2715116253525495	0.913744266649581	0.4014507401726876
APC	PTPRT	2	0.4466287045151436	0.5308858279653634	0.5859123984489899
APC	STK11	6	0.21469307472863922	0.8356131820991177	0.3341858563818879
APC	TBX3	2	0.09219552143282271	2.350186354928876	0.19614428593231667
APC	TP53	7	0.3191279571565241	0.5604401815870873	0.4454703431451364
AR	FGFR4	2	0.0045215116420606	5.351675438281415	0.052010156515454126
AR	GRIN2A	2	0.033356560789096996	3.4841995237862395	0.11344944702909385
AR	KEAP1	2	0.39646098022607734	0.9162316423074022	0.5351200850789326
AR	KRAS	5	1.0	-10.0	1.0
AR	PTPRD	2	0.11411798364975728	2.338416217675931	0.22575283069726404
AR	PTPRT	2	0.07741973295493551	2.7116545056370187	0.17572639497909553
AR	STK11	2	0.42977493158299535	0.7983661388303495	0.5688919680803298
AR	TP53	2	0.6257741486706081	0.1365730528754439	0.7749593960065229
ARAF	KRAS	2	1.0	-10.0	1.0
ARHGAP35	KRAS	2	1.0	-10.0	1.0
ARID1A	ARID5B	2	0.15361809229580323	1.8940093043117863	0.26438413855811954
ARID1A	ATM	5	0.2348812002310893	0.7661119398257226	0.35821582297415566
ARID1A	ATRX	2	0.7767042069449797	-0.4974996594708167	0.934615700555543
ARID1A	BRAF	3	0.07044743117511237	2.0419481819979706	0.16933998804312725
ARID1A	BRCA2	3	0.037841515551482435	2.5403723496970856	0.11926521000436259
ARID1A	BRIP1	3	0.015567212589942361	3.2902192351600243	0.07854005495344699
ARID1A	CIC	2	0.11697899626012452	2.222392421336448	0.22575283069726404
ARID1A	CSF1R	2	0.15361809229580323	1.8940093043117863	0.26438413855811954
ARID1A	EPHA3	4	0.04259724930962078	1.9868246112522667	0.1274491088668779
ARID1A	EPHA5	3	0.21666918867940946	1.1091536761125116	0.33623358852993723
ARID1A	ERBB4	2	0.31286888429930365	1.0198995574377048	0.4429770851414341
ARID1A	ETV1	2	0.05324732421139671	3.2352164616940313	0.14359145972768703
ARID1A	FANCA	2	0.11697899626012452	2.222392421336448	0.22575283069726404
ARID1A	FAT1	3	0.5136421473246829	0.21731868811257649	0.6585487480812685
ARID1A	FLT1	2	0.43086022336928714	0.5849625007211562	0.5688919680803298
ARID1A	FLT4	2	0.31286888429930365	1.0198995574377048	0.4429770851414341
ARID1A	HGF	4	0.04259724930962078	1.9868246112522667	0.1274491088668779
ARID1A	IRS1	2	0.02841789045144061	4.241585986569759	0.10222407236595951
ARID1A	KDM5A	2	0.11697899626012452	2.222392421336448	0.22575283069726404
ARID1A	KDM6A	2	0.0831750683700638	2.643856189774725	0.18314787120131065
ARID1A	KDR	2	0.31286888429930365	1.0198995574377048	0.4429770851414341
ARID1A	KEAP1	5	0.8679430176192244	-0.6495462069313482	1.0
ARID1A	KMT2D	2	0.39240606299916037	0.7171571130860259	0.5322709821894007
ARID1A	KRAS	26	1.0	-10.0	1.0
ARID1A	MET	2	0.19221028454391023	1.6244908649077936	0.3059735256695866
ARID1A	MGA	3	0.13616313260651888	1.5076567745537073	0.2552745285330317
ARID1A	MSH6	2	0.15361809229580323	1.8940093043117863	0.26438413855811954
ARID1A	NSD1	2	0.11697899626012452	2.222392421336448	0.22575283069726404
ARID1A	NTRK1	2	0.23201268491129579	1.3955851366126713	0.3541063167011981
ARID1A	NUF2	2	0.05324732421139671	3.2352164616940313	0.14359145972768703
ARID1A	PIK3C3	2	0.15361809229580323	1.8940093043117863	0.26438413855811954
ARID1A	PIK3CA	2	0.5385083360253571	0.24285652389616355	0.6814188764124469
ARID1A	PIK3CG	5	0.03233515770872851	1.863722736452145	0.1112962406070656
ARID1A	POLE	4	0.05400945174204545	1.842687995169885	0.14492700131355268
ARID1A	PPP2R1A	2	0.15361809229580323	1.8940093043117863	0.26438413855811954
ARID1A	PTPRD	3	0.6433773213375957	-0.10209818761873612	0.7900580375412213
ARID1A	PTPRT	2	0.7564686638972644	-0.42904435727272305	0.9145903798662888
ARID1A	RBM10	2	0.8580771787723959	-0.8063188753050793	1.0
ARID1A	REL	2	0.05324732421139671	3.2352164616940313	0.14359145972768703
ARID1A	RET	4	0.05400945174204545	1.842687995169885	0.14492700131355268
ARID1A	RPTOR	2	0.0831750683700638	2.643856189774725	0.18314787120131065
ARID1A	SETD2	4	0.04259724930962078	1.9868246112522667	0.1274491088668779
ARID1A	SLX4	2	0.15361809229580323	1.8940093043117863	0.26438413855811954
ARID1A	SMO	2	0.3529840737079846	0.8612937291684079	0.4836309381355698
ARID1A	SOX17	2	0.19221028454391023	1.6244908649077936	0.3059735256695866
ARID1A	STK11	4	0.9654157741165844	-1.1946039309804526	1.0
ARID1A	TET2	2	0.15361809229580323	1.8940093043117863	0.26438413855811954
ARID1A	TP53	11	0.382260336975949	0.30302142366946627	0.5195474272917437
ARID1A	TSHR	2	0.15361809229580323	1.8940093043117863	0.26438413855811954
ARID1A	ZFHX3	3	0.09031201155251195	1.842760258188803	0.19396124000096449
ARID1B	BRCA1	2	0.0009262676157575163	7.369233809665719	0.04385769455075124
ARID1B	FAT1	2	0.02841789045144061	4.241585986569759	0.10222407236595951
ARID1B	HGF	2	0.008226738456111958	5.315904307259593	0.06429681113636973
ARID1B	INPP4B	2	0.0032989947402819707	6.123382415505282	0.050501904445218744
ARID1B	KRAS	3	1.0	-10.0	1.0
ARID1B	PDGFRA	2	0.005999250093738282	5.590961241342599	0.057889226362672755
ARID1B	PTPRD	2	0.040085157339522275	3.936434871222534	0.1247911014423048
ARID1B	TP53	2	0.31988096349616374	1.7400318972139897	0.4454703431451364
ARID2	BRAF	2	0.019284401958755297	3.9068905956085187	0.0853544399739691
ARID2	INHBA	2	0.009294146741889869	4.602884408718419	0.06758172416602776
ARID2	KDM5C	2	0.012259993653907359	4.3339007365534385	0.0745114838189713
ARID2	KRAS	6	1.0	-10.0	1.0
ARID2	NTRK3	2	0.042629097808616824	3.1760772284239076	0.1274491088668779
ARID2	SMAD4	2	0.009294146741889869	4.602884408718419	0.06758172416602776
ARID2	TP53	4	0.1473617347554375	1.7618402628052354	0.26295222783704714
ARID5B	BRAF	2	0.026426305386070433	3.578938713093386	0.09982181403717885
ARID5B	ERCC3	2	0.0038183245770561686	5.614709844115208	0.05114545288741026
ARID5B	ETV1	2	0.0038183245770561686	5.614709844115208	0.05114545288741026
ARID5B	KEAP1	3	0.2708927412129932	1.1006623390051986	0.4011182698979303
ARID5B	KMT2D	2	0.04399193800594563	3.1012833358371816	0.12850442723114103
ARID5B	KRAS	7	1.0	-10.0	1.0
ARID5B	MSH6	2	0.012838812164155935	4.275007047499869	0.07554861724341469
ARID5B	NTRK1	2	0.021426972986949844	3.777607578663552	0.08994910721944305
ARID5B	PBRM1	2	0.050635783967923474	2.969626350956481	0.14122528240916737
ARID5B	POLD1	2	0.006279479304571677	5.023846741954368	0.057889226362672755
ARID5B	SLX4	2	0.012838812164155935	4.275007047499869	0.07554861724341469
ARID5B	SMO	2	0.037729225319491896	3.2448870591235344	0.11926521000436259
ARID5B	STAT3	2	0.0019347877957943003	6.620586410451877	0.04940485249760791
ARID5B	STK11	2	0.6286469879289311	0.0452808793008663	0.7749593960065229
ARID5B	TP53	2	0.8144192768980915	-0.6191291038723479	0.9742406861131105
ASXL1	KEAP1	2	0.17093787189644774	2.516790998079577	0.2818052689726054
ASXL1	KRAS	3	1.0	-10.0	1.0
ASXL2	DNMT1	2	0.001108574796022881	6.954196310386875	0.046062413973522155
ASXL2	KMT2D	2	0.013730318023586579	4.441435189343451	0.0769712906234727
ASXL2	KRAS	4	1.0	-10.0	1.0
ASXL2	PLCG2	2	0.0018378035170843394	6.363404730863522	0.04940485249760791
ASXL2	TP53	2	0.4868532261459696	0.7308133671846109	0.6309568226818549
ATM	ATRX	2	0.8826095647848686	-0.9171069916516552	1.0
ATM	AXIN1	2	0.1274096272350158	2.229025513668895	0.24288951409222115
ATM	BRCA1	2	0.1274096272350158	2.229025513668895	0.24288951409222115
ATM	BRCA2	2	0.2785953878420671	1.209034038481429	0.407485782791989
ATM	CDKN2A	2	0.4307525022412231	0.6037991427340115	0.5688919680803298
ATM	CSF1R	2	0.2267064816138736	1.478763096889231	0.34783300419430796
ATM	DOT1L	2	0.3304240282093683	0.9799157539566675	0.45889721789513904
ATM	DROSHA	3	0.09719514655651271	1.8413022539809418	0.20570615217157992
ATM	EPHA3	4	0.09191851616208968	1.5411900986922507	0.19614428593231667
ATM	EPHA5	2	0.6429580962251213	-0.06806427494515412	0.7900580375412213
ATM	EPHB1	2	0.4307525022412231	0.6037991427340115	0.5688919680803298
ATM	FAT1	3	0.6885776565318849	-0.21613343086476555	0.8420084736930437
ATM	FGFR4	2	0.17584711717592202	1.8073549220576042	0.28710884568578765
ATM	GRIN2A	3	0.34517643497939837	0.6780719051126377	0.4784065497740334
ATM	HGF	3	0.26785666035423944	0.932885804141463	0.3980701901322858
ATM	INPP4B	2	0.3304240282093683	0.9799157539566675	0.45889721789513904
ATM	KEAP1	7	0.8238977758074654	-0.46905851357738965	0.9844224598262908
ATM	KMT2C	2	0.4781591850674369	0.4449747834329476	0.6256633038543069
ATM	KRAS	33	1.0	-10.0	1.0
ATM	NFE2L2	2	0.17584711717592202	1.8073549220576042	0.28710884568578765
ATM	NTRK3	3	0.3063431293962722	0.8004685364723643	0.44016556912548355
ATM	PAK7	3	0.048698706081043285	2.439623137557117	0.1393825615764657
ATM	PALB2	2	0.2267064816138736	1.478763096889231	0.34783300419430796
ATM	PIK3CG	3	0.4600595269733591	0.3575520046180837	0.6031430759290143
ATM	POLE	2	0.605735388569406	0.045803689613124754	0.7558641434469848
ATM	PRDM1	2	0.1274096272350158	2.229025513668895	0.24288951409222115
ATM	PRDM14	2	0.17584711717592202	1.8073549220576042	0.28710884568578765
ATM	PTPRD	3	0.8042248864718154	-0.5368259796768861	0.9637444784323815
ATM	PTPRT	2	0.8676840333807929	-0.8484016463642785	1.0
ATM	RBM10	5	0.374965522247051	0.42146376843827665	0.5106553868193953
ATM	RET	3	0.3063431293962722	0.8004685364723643	0.44016556912548355
ATM	RPTOR	3	0.016758847461753053	3.452858964713811	0.08053663460019718
ATM	SERPINB4	2	0.01643272851763095	10.0	0.08053663460019718
ATM	SMARCA4	4	0.5980953897896266	-0.012955655103912988	0.747068842706552
ATM	SPEN	2	0.08314931532571071	2.8205907492142983	0.18314787120131065
ATM	STK11	11	0.2924887282034878	0.42402628250609836	0.4253621790159294
ATM	TBX3	2	0.3304240282093683	0.9799157539566675	0.45889721789513904
ATM	TET2	2	0.2267064816138736	1.478763096889231	0.34783300419430796
ATM	TGFBR2	3	0.12670573974524135	1.6121839694561804	0.2422280620857384
ATM	TP53	5	0.9994344412181672	-1.9708536543404835	1.0
ATM	TP53BP1	2	0.08314931532571071	2.8205907492142983	0.18314787120131065
ATM	TSHR	2	0.2267064816138736	1.478763096889231	0.34783300419430796
ATM	U2AF1	2	0.38135360032540006	0.780513309838963	0.518661276060464
ATM	ZFHX3	2	0.4307525022412231	0.6037991427340115	0.5688919680803298
ATR	CSF1R	2	0.01689054173589597	4.005998740621443	0.08053663460019718
ATR	ETV1	2	0.005063848224584259	5.34577483684173	0.052954245436024575
ATR	FANCA	2	0.012259993653907359	4.3339007365534385	0.0745114838189713
ATR	FAT1	2	0.19221028454391023	1.6244908649077936	0.3059735256695866
ATR	KMT2A	2	0.022161617723962614	3.736965594166206	0.09176057546909411
ATR	KRAS	8	1.0	-10.0	1.0
ATR	MED12	2	0.04897844338382375	2.975752453753323	0.1393825615764657
ATR	MET	2	0.022161617723962614	3.736965594166206	0.09176057546909411
ATR	MLL3	2	0.005063848224584259	5.34577483684173	0.052954245436024575
ATR	MPL	2	0.0025728009295280774	6.351675438281415	0.04940485249760791
ATR	NF1	2	0.041478964674269175	3.1338557467347905	0.1266134513895233
ATR	PIK3CA	2	0.09308924969131861	2.359895945086383	0.19763265106519778
ATR	PREX2	2	0.03448865655604226	3.309855262586787	0.11399172848717863
ATR	PTPRD	4	0.009063994713459369	3.019899557437705	0.06758172416602776
ATR	PTPRT	3	0.03400758958823483	2.6109577092541008	0.11399172848717863
ATR	RET	2	0.07423443791114316	2.578783925792032	0.17245008393809605
ATR	SMAD4	2	0.01689054173589597	4.005998740621443	0.08053663460019718
ATR	SMARCA4	2	0.2534917271900012	1.3186077365957511	0.37810194619695414
ATR	TP53	5	0.13770762511155082	1.5052953592417475	0.2561940086704481
ATRX	BARD1	2	0.15361809229580323	1.8940093043117863	0.26438413855811954
ATRX	BCOR	3	0.13616313260651888	1.5076567745537073	0.2552745285330317
ATRX	BRAF	3	0.07044743117511237	2.0419481819979706	0.16933998804312725
ATRX	CIC	3	0.015567212589942361	3.2902192351600243	0.07854005495344699
ATRX	CSF1R	2	0.15361809229580323	1.8940093043117863	0.26438413855811954
ATRX	DNMT3A	2	0.0831750683700638	2.643856189774725	0.18314787120131065
ATRX	DNMT3B	2	0.11697899626012452	2.222392421336448	0.22575283069726404
ATRX	DOT1L	2	0.23201268491129579	1.3955851366126713	0.3541063167011981
ATRX	EPHA3	2	0.43086022336928714	0.5849625007211562	0.5688919680803298
ATRX	EPHA5	4	0.06696158525583289	1.7104933828050153	0.1648534311739731
ATRX	EPHB1	2	0.31286888429930365	1.0198995574377048	0.4429770851414341
