Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	8/140	3.1511278825415338e-12	2.1207090649504524e-09	0	0	75.16666666666667	1990.658426970362	ALK;EPHA5;PTPRT;PTPRD;PDGFRA;EPHA7;NTRK3;EPHA3
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	6/94	1.152455318949078e-09	3.8780121482636474e-07	0	0	75.33333333333333	1550.4632903331485	ALK;EPHA5;PDGFRA;EPHA7;NTRK3;EPHA3
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	6/114	3.7169053239964267e-09	8.33825761016532e-07	0	0	61.32098765432099	1190.2633299927804	ALK;EPHA5;PDGFRA;EPHA7;NTRK3;EPHA3
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	8/404	1.4333832443581158e-08	2.40688703817572e-06	0	0	24.72222222222222	446.49923439180554	ALK;EPHA5;PTPRT;PDGFRA;EPHA7;IRS1;NTRK3;EPHA3
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	6/148	1.788177591512422e-08	2.40688703817572e-06	0	0	46.55868544600939	830.5829123433186	ALK;EPHA5;PDGFRA;EPHA7;NTRK3;EPHA3
KEGG_2021_Human	Hepatocellular carcinoma	6/168	3.813588117778337e-08	4.2330828107339535e-06	0	0	40.76954732510288	696.4299016302244	KEAP1;ARID1A;ARID2;TP53;MTOR;SMARCA4
Reactome_2022	RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243	4/35	8.142490043065713e-08	2.312467172230662e-05	0	0	128.67741935483872	2100.476754925315	EP300;ARID1A;ARID2;SMARCA4
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	6/253	4.2936803133658516e-07	4.816078084825364e-05	0	0	26.62483130904183	390.345357958506	ALK;EPHA5;PDGFRA;EPHA7;NTRK3;EPHA3
Reactome_2022	Generic Transcription Pathway R-HSA-212436	10/1190	4.873049007802522e-07	6.919729591079581e-05	0	0	11.37772397094431	165.3681162852861	ZFHX3;GRIN2A;EP300;ATM;CDK12;ARID1A;ARID2;TP53;MTOR;SMARCA4
GO_Biological_Process_2021	protein autophosphorylation (GO:0046777)	5/159	1.121513803228559e-06	9.154373816526532e-05	0	0	33.87218045112782	464.0770258979763	ALK;PDGFRA;ATM;CDK12;MTOR
