Cluster_ID	Gene
0	AMER1
0	AXIN2
0	B2M
0	BRAF
0	BRD4
0	CDKN2A
0	DNMT3A
0	FLT1
0	FLT4
0	GATA1
0	GLI1
0	HGF
0	IKZF1
0	INPPL1
0	IRS1
0	KDM6A
0	KMT2B
0	KMT2C
0	KMT2D
0	LATS2
0	MDC1
0	MRE11A
0	MYCN
0	NOTCH2
0	NSD1
0	PAK7
0	PRKD1
0	PTPRD
0	RB1
0	RET
0	SF3B1
0	TBX3
0	TET1
0	TET2
0	TP53
1	ARID1B
1	ARID2
1	ASXL1
1	ATR
1	ATRX
1	CARD11
1	CSDE1
1	DNMT3B
1	DOT1L
1	ERCC5
1	FBXW7
1	FUBP1
1	JAK2
1	KDM5C
1	MED12
1	MGA
1	NTRK2
1	PIK3CA
1	POLD1
1	POLE
1	PTPRT
1	RAD50
1	RASA1
1	SETD2
1	SLX4
1	U2AF1
2	APC
2	BRCA2
2	CREBBP
2	DICER1
2	EGFR
2	FGFR2
2	GRIN2A
2	IGF1R
2	IL7R
2	KDM5A
2	KEAP1
2	KIT
2	MYOD1
2	PDCD1
2	PDGFRB
2	PIK3R2
2	PPARG
2	PRDM14
2	REL
2	ROS1
2	SCG5
2	SMARCA4
2	STAG2
2	STK11
2	TGFBR1
2	TSC2
3	ASXL2
3	ATM
3	BCOR
3	BRIP1
3	BTK
3	CHEK2
3	CIC
3	EPHA5
3	FGFR4
3	FLT3
3	FOXA1
3	KMT2A
3	MAP3K1
3	MET
3	NFE2L2
3	NOTCH3
3	NOTCH4
3	NTRK1
3	RBM10
3	SMAD3
3	SMAD4
3	WT1
3	XPO1
4	CBL
4	CSF1R
4	DDR2
4	DROSHA
4	EPHA7
4	EPHB1
4	FAT1
4	FOXO1
4	GATA3
4	INHBA
4	JAK3
4	NCOR1
4	NEGR1
4	NOTCH1
4	PAK1
4	PARP1
4	PDGFRA
4	PIK3C3
4	PLCG2
4	PPM1D
4	PREX2
4	RPTOR
5	ARID1A
5	DIS3
5	EPAS1
5	ERBB4
5	FGF3
5	FGFR3
5	IRS2
5	KDR
5	MALT1
5	MTOR
5	NF1
5	PGR
5	PIK3C2G
5	PMS1
5	PTEN
5	RECQL4
5	RICTOR
5	SOX17
5	TERT
5	TSC1
6	AR
6	BRCA1
6	CUL3
6	EPHA3
6	EZH1
6	FOXP1
6	MLL
6	NTRK3
6	PARK2
6	PIK3CG
6	TP63
6	TSHR
6	ZFHX3
7	ALK
7	CDK12
7	EP300
8	PLK2
8	PPP2R1A
