Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	KRAS	4	1.0	-10.0	1.0
ABL1	PTPRD	2	0.045017365739993986	3.366020679070533	0.14415981836243197
ABL1	SLX4	2	0.001611590075621686	6.339850002884624	0.06435164395507664
ABL1	TP53	3	0.28905411685719784	1.690572688681755	0.4137566672712545
ACVR1	KRAS	2	1.0	-10.0	1.0
ACVR1	TP53	2	0.23441196811414844	10.0	0.3550199985249392
AGO2	KRAS	2	1.0	-10.0	1.0
AGO2	TP53	2	0.23441196811414844	10.0	0.3550199985249392
AKT2	EGFR	2	0.0010009827830961308	10.0	0.05681016321606988
AKT2	KRAS	2	1.0	-10.0	1.0
AKT2	TP53	2	0.23441196811414844	10.0	0.3550199985249392
AKT3	ATM	2	0.14240582895941525	2.009984088572622	0.2580049006305099
AKT3	BARD1	2	0.009283226364699118	4.5100576917072654	0.0828311942714665
AKT3	CARD11	2	0.04475178209159395	3.096861539252589	0.14415981836243197
AKT3	KMT2B	2	0.019464646268152846	3.8397763997499816	0.10281896980128
AKT3	KRAS	6	1.0	-10.0	1.0
AKT3	POLD1	2	0.009283226364699118	4.5100576917072654	0.0828311942714665
AKT3	TP53	4	0.3143622090084526	1.1062586873905573	0.4404338441499974
ALK	APC	3	0.06486574513689099	2.001609252861657	0.1677383577280914
ALK	ARID2	3	0.07387860971642506	1.9093132578753742	0.17983243222922127
ALK	ATM	3	0.3060517947509451	0.777607578663552	0.43178262364557674
ALK	BRCA1	2	0.12039668702120188	2.0238467419543675	0.23805409080001455
ALK	CARD11	2	0.2728292500646582	1.1375035237499351	0.39943844997981576
ALK	CDK12	3	0.0010543969797184606	5.0676264255961705	0.05699160242082836
ALK	CDKN2A	2	0.4105625506418241	0.6291623046316912	0.5434410193642802
ALK	CREBBP	2	0.12039668702120188	2.0238467419543675	0.23805409080001455
ALK	DDR2	2	0.05766744924469589	2.7796099315747	0.15876953047369463
ALK	EP300	4	0.00029453608189758304	4.580331051989511	0.034047931677627936
ALK	EPHA5	3	0.21813393641817394	1.0794979203143695	0.34422599234770374
ALK	EPHB1	2	0.1562914412280539	1.7513208871432762	0.2779564663951371
ALK	ESR1	2	0.022572485235350475	3.7935491225325735	0.1090105963967884
ALK	FBXW7	2	0.13805801338416196	1.8816052991977699	0.25491876329781044
ALK	FGF4	2	0.022572485235350475	3.7935491225325735	0.1090105963967884
ALK	FLT4	2	0.13805801338416196	1.8816052991977699	0.25491876329781044
ALK	GATA3	2	0.03283799522886299	3.373880174522084	0.12722265217409792
ALK	GRIN2A	3	0.16389483711011643	1.3136604789037618	0.28783919546754977
ALK	INPP4B	2	0.07192139506859993	2.5525410230287786	0.17641578679510267
ALK	IRS1	2	0.17500121406641617	1.6310744255754683	0.29651661161083254
ALK	JAK3	2	0.05766744924469589	2.7796099315747	0.15876953047369463
ALK	JUN	2	0.00720045797030473	5.387730153283108	0.07977155508080856
ALK	KDM5C	2	0.13805801338416196	1.8816052991977699	0.25491876329781044
ALK	KEAP1	4	0.7139814604837018	-0.2643406033344186	0.8402073570988633
ALK	KMT2B	2	0.13805801338416196	1.8816052991977699	0.25491876329781044
ALK	KMT2D	2	0.29276458750845896	1.0546352565768455	0.4149001938643878
ALK	KRAS	17	1.0	-10.0	1.0
ALK	MET	2	0.07192139506859993	2.5525410230287786	0.17641578679510267
ALK	MTOR	2	0.17500121406641617	1.6310744255754683	0.29651661161083254
ALK	NFE2L2	2	0.1562914412280539	1.7513208871432762	0.2779564663951371
ALK	NTRK1	2	0.10341093051911998	2.180572245641821	0.2187555545680081
ALK	PAK7	2	0.2135026758033029	1.4150374992788437	0.3374114099773742
ALK	PGR	2	0.12039668702120188	2.0238467419543675	0.23805409080001455
ALK	PIK3CA	2	0.13805801338416196	1.8816052991977699	0.25491876329781044
ALK	PIK3CG	2	0.19409884159182866	1.5193741590935794	0.31657222070011676
ALK	PRDM14	2	0.07192139506859993	2.5525410230287786	0.17641578679510267
ALK	PREX2	2	0.29276458750845896	1.0546352565768455	0.4149001938643878
ALK	PRKD1	2	0.08721239267845365	2.3552042497616608	0.19896480276078812
ALK	PTPRD	2	0.4847625499278461	0.3949997460422988	0.6085397163432605
ALK	PTPRT	3	0.13875422315573863	1.4438701814865564	0.2559121504611257
ALK	RBM10	2	0.7678570881515444	-0.46631800422253716	0.893531539629585
ALK	SLX4	2	0.03283799522886299	3.373880174522084	0.12722265217409792
ALK	SMAD4	2	0.10341093051911998	2.180572245641821	0.2187555545680081
ALK	SMARCA4	3	0.44194190892883406	0.40032500138012633	0.5795225275171375
ALK	STAG2	2	0.08721239267845365	2.3552042497616608	0.19896480276078812
ALK	STK11	4	0.7139814604837018	-0.2643406033344186	0.8402073570988633
ALK	TBX3	2	0.3126871047995626	0.9757524537533226	0.43980121044634124
ALK	TERT	2	0.10341093051911998	2.180572245641821	0.2187555545680081
ALK	TP53	9	0.44859215097597765	0.27072564222980455	0.5868158545925142
ALOX12B	KRAS	2	1.0	-10.0	1.0
ALOX12B	STK11	2	0.07126997415644451	10.0	0.17641578679510267
AMER1	ASXL1	3	0.03635864051809262	2.4139763039085333	0.1323061890619006
AMER1	ATM	2	0.6936183365518691	-0.23132554610645567	0.8178755943981594
AMER1	ATR	2	0.31968083204325526	0.9471833015565518	0.4449946177538428
AMER1	ATRX	2	0.11602277170193206	2.078002512001273	0.23164241649940823
AMER1	AXIN2	2	0.07764064927582962	2.5025003405291835	0.18605457451006882
AMER1	BRAF	2	0.13676239278001429	1.9033239805883262	0.25491876329781044
AMER1	BTK	2	0.06039786430902737	2.7702417490405047	0.16384587995148725
AMER1	CARD11	3	0.11013058349693297	1.614607962469681	0.22663641069502427
AMER1	DNMT3B	2	0.13676239278001429	1.9033239805883262	0.25491876329781044
AMER1	EPHA3	3	0.09734446663647937	1.7069530250997664	0.21089512803528226
AMER1	EPHA5	2	0.5949032750667099	0.06273575534796275	0.7267794920093681
AMER1	EPHB1	3	0.04449016179755113	2.2716877175932217	0.14415981836243197
AMER1	ERBB4	3	0.05346978199452127	2.141355849245542	0.15524370399187745
AMER1	FAT1	3	0.21519431850465726	1.082462160191973	0.3399187599426593
AMER1	FGFR4	2	0.06039786430902737	2.7702417490405047	0.16384587995148725
AMER1	FLT4	3	0.03635864051809262	2.4139763039085333	0.1323061890619006
AMER1	HGF	2	0.2728292500646582	1.1375035237499351	0.39943844997981576
AMER1	HIST1H3B	2	0.06039786430902737	2.7702417490405047	0.16384587995148725
AMER1	IFNGR1	2	0.009996591694986482	5.11084576868829	0.08329493409562398
AMER1	INHBA	3	0.022694476850562244	2.745427172914402	0.1090105963967884
AMER1	INPPL1	2	0.04475178209159395	3.096861539252589	0.14415981836243197
AMER1	KEAP1	3	0.9398791720862937	-1.1085861328160935	1.0
AMER1	KMT2B	2	0.18046726763738496	1.6042630566800924	0.30202359586494587
AMER1	KRAS	20	1.0	-10.0	1.0
AMER1	MAP2K1	2	0.03095139572015647	3.516575525740906	0.12331005560924407
AMER1	MGA	2	0.4554528996511829	0.48143872500135354	0.591722943924328
AMER1	MTOR	2	0.2261547857824089	1.3536369546147005	0.3508924374129942
AMER1	NF1	2	0.49776859949290597	0.3511257354586507	0.6226919641761605
AMER1	PARK2	2	0.04475178209159395	3.096861539252589	0.14415981836243197
AMER1	PGR	3	0.029090808584924032	2.5707486415014555	0.12031883552596576
AMER1	POLE	2	0.24942329237663075	1.241888596962245	0.3729033691041761
AMER1	PRDM14	3	0.012501239401243305	3.169925001442312	0.09339840522637897
AMER1	PREX2	2	0.36605902470397994	0.7769043395363501	0.49312023852498144
AMER1	PTPRD	3	0.283395355661439	0.8398918569178948	0.4114829333773587
AMER1	PTPRT	3	0.1988416402067261	1.1488633859144828	0.3201855182024684
AMER1	RASA1	2	0.13676239278001429	1.9033239805883262	0.25491876329781044
AMER1	RBM10	3	0.6192239900353732	-0.04306872189188598	0.7469014197481104
AMER1	SF3B1	2	0.11602277170193206	2.078002512001273	0.23164241649940823
AMER1	SMARCA4	4	0.3091994587376425	0.6451976078545261	0.43603323845521946
AMER1	STAG2	2	0.11602277170193206	2.078002512001273	0.23164241649940823
AMER1	STK11	5	0.6617141848990662	-0.1443899093351748	0.7925474944452076
AMER1	TBX3	3	0.13759841454545532	1.444329000449479	0.25491876329781044
AMER1	TP53	14	0.03890256660375279	1.3890422907458992	0.13691300731205006
AMER1	ZFHX3	3	0.09734446663647937	1.7069530250997664	0.21089512803528226
ANKRD11	ATRX	2	0.015852620068631272	3.986410935252045	0.10148785435177228
ANKRD11	EPHB1	2	0.03077022078628323	3.3831282513241	0.12331005560924407
ANKRD11	GLI1	2	0.04458979992082274	3.0473057147783567	0.14415981836243197
ANKRD11	KDM6A	2	0.005504421803514316	5.004501392234941	0.074294995151002
ANKRD11	KRAS	7	1.0	-10.0	1.0
ANKRD11	STK11	2	0.6011513546367373	0.12994617257185292	0.7287527391466755
ANKRD11	TP53	4	0.46678387010165134	0.512734173165977	0.6004484891485745
APC	ASXL1	2	0.16605640492545562	1.6915102794374424	0.28803885787337746
APC	ASXL2	2	0.18726612292937667	1.5611943347882065	0.3092424235204357
APC	ATRX	2	0.10613734047096461	2.1652025911999093	0.22080662149425756
APC	BTK	2	0.054921735532925675	2.8573956045571998	0.15524370399187745
APC	CARD11	2	0.31968083204325526	0.9471833015565518	0.4449946177538428
APC	CDKN2A	2	0.4695111713940813	0.4386059704172482	0.6004484891485745
APC	CSF1R	2	0.0707435352891087	2.589669503398684	0.17641578679510267
APC	DDR2	2	0.0707435352891087	2.589669503398684	0.17641578679510267
APC	EGFR	2	0.1253556011870691	1.9905396707509337	0.2412405531470366
APC	EIF4A2	2	0.017413687795981903	4.193307928880263	0.10186849913200986
APC	EP300	2	0.0707435352891087	2.589669503398684	0.17641578679510267
APC	EPHA5	2	0.5655054455738572	0.15030480597302445	0.6950646339025182
APC	EPHA7	2	0.23080848710125326	1.3291839108901615	0.35445598058958594
APC	EPHB1	3	0.038798096901930174	2.3639356214089378	0.13691300731205006
APC	ERBB4	2	0.20888628540362006	1.4409161311044494	0.3316036884995103
APC	ERG	2	0.02803053724542504	3.603699063302742	0.11730761706203105
APC	FGF3	2	0.017413687795981903	4.193307928880263	0.10186849913200986
APC	GLI1	2	0.25293418602983486	1.2248150836033038	0.37672287836395757
APC	GRIN2A	2	0.4895871297684543	0.3770043672842563	0.6141195675847032
APC	IRS1	2	0.20888628540362006	1.4409161311044494	0.3316036884995103
APC	JAK3	2	0.0707435352891087	2.589669503398684	0.17641578679510267
APC	KDM5C	2	0.16605640492545562	1.6915102794374424	0.28803885787337746
APC	KDR	2	0.10613734047096461	2.1652025911999093	0.22080662149425756
APC	KEAP1	7	0.22186136269221202	0.7165894581344218	0.3460348491833881
APC	KMT2D	3	0.10945894808492553	1.6196086435280475	0.22568495669517788
APC	KRAS	19	1.0	-10.0	1.0
APC	MED12	3	0.01965516724849462	2.837627933171405	0.10281896980128
APC	MGA	2	0.42819350288666796	0.5688842927075822	0.5637793983876154
APC	NF1	3	0.1931182028024504	1.1749256825006789	0.31657222070011676
APC	NFE2L2	2	0.18726612292937667	1.5611943347882065	0.3092424235204357
APC	NOTCH4	2	0.16605640492545562	1.6915102794374424	0.28803885787337746
APC	NTRK3	2	0.40701013166304345	0.6379808830206471	0.5396220393155514
APC	PHOX2B	2	0.017413687795981903	4.193307928880263	0.10186849913200986
APC	PPP2R1A	2	0.02803053724542504	3.603699063302742	0.11730761706203105
APC	PRDM14	3	0.010776960904563083	3.2620948453701795	0.08737711410090619
APC	PREX2	3	0.10945894808492553	1.6196086435280475	0.22568495669517788
APC	PTEN	2	0.10613734047096461	2.1652025911999093	0.22080662149425756
APC	PTPRD	6	0.004616305212218863	2.4105915942476517	0.06970448437552271
APC	PTPRT	2	0.4490376181650715	0.5025003405291834	0.5869239170763662
APC	RB1	2	0.10613734047096461	2.1652025911999093	0.22080662149425756
APC	RBM10	2	0.8212980434160357	-0.6577785660070943	0.9458523212712266
APC	RECQL4	2	0.0707435352891087	2.589669503398684	0.17641578679510267
APC	ROS1	3	0.014834849396750387	3.0349954213562036	0.09894997484224226
APC	SETD2	2	0.16605640492545562	1.6915102794374424	0.28803885787337746
APC	SMARCA4	2	0.7812577706148486	-0.5132267471222418	0.9068420839393739
APC	STK11	9	0.03926770237469966	1.3902549563218678	0.13691300731205006
APC	TBX3	2	0.3637744186023947	0.7853659182845462	0.4925953303385295
APC	TERT	2	0.1253556011870691	1.9905396707509337	0.2412405531470366
APC	TET1	2	0.02803053724542504	3.603699063302742	0.11730761706203105
APC	TP53	10	0.445581413656155	0.2534483570045959	0.5838029286086246
APC	TSHR	2	0.0707435352891087	2.589669503398684	0.17641578679510267
APC	ZFHX3	2	0.297447195502578	1.0345276831282708	0.42037644274829167
AR	ARID1A	3	0.010845382616770432	3.36870486555681	0.08770638405909745
AR	CDKN2A	2	0.10377830038847691	2.263034405833794	0.2187555545680081
AR	EP300	2	0.010067486624849761	4.4105220181563505	0.08329493409562398
AR	EPHA3	3	0.004836492798255298	3.8564255286255307	0.06970448437552271
AR	FAT1	2	0.10377830038847691	2.263034405833794	0.2187555545680081
AR	KMT2C	2	0.03514134450293966	3.263034405833794	0.12962628217446956
AR	KRAS	7	1.0	-10.0	1.0
AR	NOTCH4	2	0.026646481524608714	3.5132610353669675	0.11402297319062062
AR	PTPRD	2	0.13188309716082114	2.029544275614015	0.2484626361713913
AR	PTPRT	2	0.09709336803891554	2.3267290811511834	0.21089512803528226
AR	RBM10	2	0.29318758676166634	1.1718865177755984	0.4149001938643878
AR	SETD2	2	0.026646481524608714	3.5132610353669675	0.11402297319062062
AR	SOX17	2	0.01917819130065888	3.8119276518474283	0.10281896980128
AR	TP53	6	0.051367200873679006	2.7182290315846203	0.15274555489891697
AR	TP63	3	0.0008875495245070561	4.893301530860564	0.05317079095889493
AR	ZFHX3	2	0.054921735532925675	2.8573956045571998	0.15524370399187745
ARHGAP35	IGF1R	2	0.0010787752555104797	6.759333407194661	0.05699160242082836
ARHGAP35	KRAS	4	1.0	-10.0	1.0
ARHGAP35	POLE	2	0.01237353417714639	4.487265826834022	0.09318213106060036
ARHGAP35	TP53	3	0.28905411685719784	1.690572688681755	0.4137566672712545
ARID1A	ARID1B	2	0.14146431611923413	1.8979018123812639	0.2580049006305099
